X,Y,OBJECTID,FACILITY_TYPE,Type
-77.123704,38.923099,3,Restroom,2
-77.150229,38.882104,4,Restroom,2
-77.121099,38.919427,1,Restroom,2
-77.108465,38.914913,2,Restroom/Water Fountain,4
-77.100131,38.849325,7,Restroom/Water Fountain,4
-77.10224,38.850553,6,Restroom,2
-77.137283,38.878755,5,Restroom/Water Fountain,4
-77.086724,38.862986,10,Bike Repair,1
-77.063218,38.863766,9,Bike Repair,
-77.088267,38.843537,8,Restroom/Water Fountain,4
-77.095742,38.886697,11,Water Fountain,3
-77.091611,38.88952,12,Bike Repair,1
-77.096095,38.896708,13,Bike Repair,1
-77.1049,38.891198,14,Water Fountain,3
-77.063166,38.859998,15,Water Fountain,3
-77.131202,38.869297,18,Restroom/Water Fountain,4
-77.073048,38.898827,17,Water Fountain,3
-77.133859,38.873521,16,Restroom/Water Fountain,4
-77.122914,38.865451,19,Water Fountain,3
-77.118821,38.862125,20,Water Fountain,3
-77.119086,38.863821,21,Restroom/Water Fountain,4
-77.103282,38.84879,22,Water Fountain,3
-77.106042,38.884465,23,Water Fountain,3
-77.125894,38.921413,24,Water Fountain,3
-77.107246,38.879675,27,Bike Repair,1
-77.085485,38.829386,25,Bike Repair,1
-77.1226,38.850603,26,Bike Repair,1
-77.134158,38.853753,28,Bike Repair,1
