objectid,id,data_source,add_date,lat,lng,structure_name,structure_address,structure_city,structure_st,structure_zip,state_ansi,county_ansi,base_elevation,structure_height,structure_type,owner_type,zoom_level,ip_address,structure_owner_name,structure_owner_address,structure_owner_po_box,structure_owner_city,structure_owner_st,structure_owner_zip,structure_owner_phone,structure_owner_email,structure_manager_name,structure_manager_address,structure_manager_po_box,structure_manager_city,structure_manager_st,structure_manager_zip,structure_manager_phone,structure_manager_email,comments,done
"1225204","1234067","FCC: Antenna Structure Registration (GIS)","9/8/2011","38.8485","-77.110799","","4901 S. Chesterfield Road WA23XC412G","ARLINGTON","VA","","51","013","54.534435","30.5","","5","","","APC Realty and Equipment Company, LLC","","","","","","","","","","","","","","","","",""
"1224758","1201831","FCC: Antenna Structure Registration (GIS)","9/27/2005","38.8848","-77.0969","","1025 North Irving St.","Arlington","VA","","51","013","78.665603","29.9","","5","","","Verizon Virginia Inc.","","","","","","","","","","","","","","","","",""
"1224037","1018169","FCC: Antenna Structure Registration (GIS)","7/27/2010","38.8917","-77.1317","","5217 19TH RD N","ARLINGTON","VA","","51","013","111.749229","150","","","","","GREATER WASHINGTON EDUCATIONAL TELECOMMUNICATIONS ASSN  DBA =  WETA FM","","","","","","","","","","","","","","","","",""
"1224510","1048852","FCC: Antenna Structure Registration (GIS)","5/8/2012","38.8467","-77.0808","","I395 AT GLEBE RD","ARLINGTON","VA","","51","013","20.964876","35.1","","5","","","New Cingular Wireless PCS, LLC","","","","","","","","","","","","","","","","",""
"1225848","1267970","FCC: Antenna Structure Registration (GIS)","4/16/2009","38.8666","-77.069","","1426 Columbia Pike  Arlington, Virginia","Arlington","VA","","51","013","41.755729","56.4","","2","","","Virginia Department of State Police","","","","","","","","","","","","","","","","",""
"1224314","1030706","FCC: Antenna Structure Registration (GIS)","3/11/2011","38.8593","-77.070699","","Army Navy Site, 2400 18th Street","ARLINGTON","VA","","51","013","23.829957","22.8","","5","","","CROWN ATLANTIC COMPANY, LLC","","","","","","","","","","","","","","","","",""
"1223671","1016111","FCC: Antenna Structure Registration (GIS)","3/10/1997","38.8667","-77.068899","","1426 COLUMBIA PK","ARLINGTON","VA","","51","013","43.184772","49.4","","2","","","VIRGINIA, COMMONWEALTH OF","","","","","","","","","","","","","","","","",""
"1224020","1018044","FCC: Antenna Structure Registration (GIS)","12/5/2006","38.8956","-77.1342","","SW CORNER LEE HWY &amp; G M DR","ARLINGTON","VA","","51","013","119.44519","139.2","","5","","","WAVA Building Limited Partnership","","","","","","","","","","","","","","","","",""
"1224514","1049508","FCC: Antenna Structure Registration (GIS)","12/15/2011","38.8958","-77.1352","","5301 22ND STREET (088278)","ARLINGTON","VA","","51","013","122.699516","83.5","","5","","","American Towers, LLC.","","","","","","","","","","","","","","","","",""
"1224823","1205509","FCC: Antenna Structure Registration (GIS)","11/1/1999","38.8667","-77.1047","","111 South George Mason Drive","Arlington","VA","","51","013","63.535034","14.6","","","","","National Guard Bureau","","","","","","","","","","","","","","","","",""
"1224822","1205508","FCC: Antenna Structure Registration (GIS)","11/1/1999","38.8667","-77.1047","","111 South George Mason Drive","Arlington","VA","","51","013","63.535034","34.1","","","","","National Guard Bureau","","","","","","","","","","","","","","","","",""
"1225538","1251723","FCC: Antenna Structure Registration (GIS)","1/17/2006","38.881","-77.1091","","901 N. Pollard Street","Arlington","VA","","51","013","80.581176","77.1","","5","","","Smith Property Holdings, Ballston Place LLC","","","","","","","","","","","","","","","","",""
"1243258","0","FCC: Land Mobile - Private (GIS)","","38.8975","-77.0706","","1919 NORTH LYNN ST","ARLINGTON","VA","","51","013","18.048727","81.7","BANT","5","","","MRI WATERVIEW LLC","","","","","","","","","","","","","","","","",""
"1243221","0","FCC: Land Mobile - Private (GIS)","","38.89","-77.0847","","2300 CLARENDON BLVD","ARLINGTON","VA","","51","013","71.21199","46","B","3","","","ARLINGTON, COUNTY OF","","","","","","","","","","","","","","","","",""
