OBJECTID,GEOID10,DP0180001,TotalPop,PopSqMi,LandSqMi
1,51810045421,1170,3656,2661.26641033,1.37378204
2,51810045422,1598,4972,3074.36495821,1.61724455
3,51810046015,1775,5403,2286.83637026,2.36265264
4,51810045423,2793,8805,559.76467828,15.72982423
5,51810046016,1076,3447,1502.64320523,2.29395773
6,51810045424,1500,4442,694.03608832,6.40024355
7,51810045412,1727,1658,224.07774331,7.39921767
8,51810045807,756,1518,10319.7877667,0.14709604
10,51810040200,1944,5283,2692.96286272,1.96177974
11,51810046014,1387,4342,5142.49570999,0.84433711
12,51810046221,1494,3716,8405.85713949,0.4420727
13,51810046220,2019,4683,5444.47054134,0.86013873
14,51810046223,1009,2731,5275.49510731,0.51767652
15,51810046222,1932,5424,4610.95945974,1.17632784
16,51810040404,2963,6718,3756.92877711,1.78816272
17,51810040402,3320,6995,10360.9710633,0.67512976
18,51810040600,2596,5879,4367.00827282,1.34623056
19,51810041004,1458,3963,5849.2427213,0.6775236
20,51810041002,879,2043,2803.0574078,0.728847
21,51810041200,2824,5997,2583.48255227,2.32128527
22,51810046225,1612,4780,4491.33093871,1.06427249
23,51810046224,1522,4446,8565.91175727,0.51903406
24,51810045603,1037,1689,5261.24652807,0.32102658
25,51810045425,1002,2976,5495.10239629,0.54157316
26,51810041400,1961,5145,2240.86475544,2.29598863
27,51810041600,1431,3325,2676.98144328,1.24207061
28,51810042201,1464,3625,3306.11539545,1.09645295
29,51810042000,1285,3502,1575.73816668,2.22245045
30,51810042202,1748,4468,2950.04765477,1.5145518
31,51810042400,1945,4837,5033.81733918,0.96090097
32,51810042600,1132,2488,2417.47746857,1.02917194
33,51810043002,1558,4259,1629.37249132,2.61388971
34,51810040801,1724,4107,6248.03195594,0.65732698
35,51810043200,293,1134,165.75780069,6.84130698
36,51810043400,1497,2055,3755.47830541,0.5472006
37,51810043600,1071,1724,3552.30945577,0.48531807
38,51810043800,2242,3714,2187.49036232,1.69783605
39,51810044001,3136,5535,8930.5368819,0.61978356
40,51810045000,27,1298,156.59326139,8.28899014
41,51810044401,1402,3628,2141.82963152,1.69387889
42,51810044402,2616,5881,4238.31365546,1.38758017
43,51810044600,2422,5999,1907.03490104,3.14572113
44,51810044807,2608,5762,7189.1742902,0.80148286
45,51810044805,1704,3277,5398.34455589,0.60703794
46,51810044806,1697,3758,3424.63593147,1.09734292
47,51810044808,1971,3986,7054.46819176,0.56503196
48,51810045414,2271,6161,8347.07313052,0.73810303
49,51810045200,906,3734,807.43719303,4.62450829
50,51810045415,646,1974,5461.90317225,0.36141248
51,51810045405,1797,4651,7379.13179854,0.63029095
52,51810045406,3383,9254,5335.11995064,1.73454394
53,51810045407,1556,4434,1254.42752818,3.53468008
54,51810045408,2418,6415,1733.40114226,3.70081676
55,51810045417,3097,9169,2604.39839851,3.52058272
56,51810045810,759,2067,7723.9119964,0.2676105
57,51810045601,1115,2795,3529.58671408,0.79187741
58,51810045805,489,1344,5484.44427078,0.24505673
59,51810045801,1744,4525,3593.47751565,1.25922591
60,51810045803,1464,3202,4602.77225907,0.6956677
61,51810046009,1906,4932,3267.51506675,1.5094039
62,51810046002,1962,5126,3516.63319578,1.4576442
63,51810046005,3031,6605,4989.06804601,1.32389455
64,51810046006,1628,4510,3722.20170132,1.21164847
65,51810046211,1111,3063,3713.9458802,0.8247293
66,51810046012,2854,7772,8273.41265694,0.93939469
67,51810046013,1789,4397,8387.87594857,0.52420899
68,51810046204,1864,4639,2531.94004073,1.83219188
69,51810046206,1891,5185,4578.21724452,1.1325369
70,51810046213,2586,6149,10196.8880232,0.60302711
71,51810046207,2597,7044,2851.66734301,2.47013383
72,51810046400,1936,4998,57.08993774,87.5460755
73,51810040000,405,3976,1423.85660377,2.79241602
74,51810040403,1787,3810,5062.07353145,0.75265599
75,51810040802,1810,4771,5430.23338762,0.87859943
76,51810041003,1400,3512,4042.08885537,0.86885769
77,51810041801,2175,4334,5632.34957974,0.76948348
78,51810041802,3010,5788,3684.4406577,1.57093044
79,51810042802,2082,4549,6157.18276009,0.73881191
80,51810042801,2055,5775,5159.99898574,1.11918626
81,51810044200,3037,6587,2602.53167323,2.53099705
82,51810045420,1666,4636,2310.22191951,2.00673362
83,51810045806,1465,4086,7713.07862935,0.52974955
84,51810045808,868,2330,6664.7288462,0.34960161
85,51810045809,2633,6293,8260.98664966,0.76177341
86,51810046010,1137,3132,6205.4291032,0.50471932
87,51810046011,622,1515,3855.34546319,0.39296089
88,51810046212,1472,4062,4112.66862986,0.98767986
89,51810046214,1765,5208,6746.08273351,0.77200357
90,51810046216,1971,5939,4401.10807307,1.34943289
91,51810046219,1369,3733,7220.04347966,0.51703289
92,51810046217,1456,4354,2411.86506244,1.80524195
93,51810044004,1475,2069,4011.90778733,0.51571474
94,51810045604,3200,6335,7382.40243867,0.85812173
95,51810043003,3127,4228,7054.01940384,0.59937459
96,51810043004,1847,3803,4598.51478476,0.82700614
97,51810044003,3394,5469,5023.56840559,1.08866836
98,51810045426,2335,6739,3391.20907606,1.98719685
99,51810045427,2303,6281,3791.86753405,1.65643972
100,51810045428,886,1462,984.66851193,1.48476363
