X,Y,Stop,Descrip,Place,District,CoordXdiv,CoordYdiv,Shelt,Bench,Public,COORDX,COORDY,OBJECTID
-75.989434,36.892565,1268,ATLANTIC & 68TH,ATL68,08,122170120,34942050,0,0,-1,12217012,3494205,1017
-75.988618,36.89055,1269,ATLANTIC & 65TH, ,08,122172702,34934780,0,0,-1,12217270.2,3493478,1018
-75.987376,36.886508,1270,ATLANTIC & 61ST, ,08,122176724,34920163,0,0,-1,12217672.4,3492016.3,1019
-75.98643,36.883447,1271,ATLANTIC & 57TH, ,08,122179785,34909096,0,0,-1,12217978.5,3490909.6,1020
-75.984914,36.878537,1272,ATLANTIC & 51ST, ,08,122184695,34891345,0,0,-1,12218469.5,3489134.5,1021
-75.983496,36.87405,1273,ATLANTIC & 46TH, ,08,122189277,34875125,0,0,-1,12218927.7,3487512.5,1022
-75.982815,36.871352,1275,ATLANTIC & 43RD, ,08,122191530,34865360,0,0,-1,12219153,3486536,1023
-75.972429,36.83446,1285,PACIFIC & 6TH, ,08,122225495,34731900,0,0,-1,12222549.5,3473190,1024
-75.973864,36.839252,1286,PACIFIC & 11TH, ,08,122220831,34749230,0,0,-1,12222083.1,3474923,1025
-75.975178,36.844064,1287,PACIFIC & 16TH, ,08,122216519,34766640,0,0,-1,12221651.9,3476664,1026
-76.263008,36.803441,1288,ATLANTIC & NARROW, ,02,121378030,34597540,0,0,-1,12137803,3459754,1027
-76.266117,36.817287,1289,LIBERTY & OLD ATLANTIC, ,02,121367740,34647720,0,0,-1,12136774,3464772,1028
-76.192216,36.851615,1290,KEMPSVILLE & KEMPSVILLE CIRCLE,LHSPT,05,121580950,34777870,0,0,-1,12158095,3477787,1029
-76.263723,36.816299,1291,LIBERTY & GREER, ,02,121374830,34644290,0,0,-1,12137483,3464429,1030
-76.264046,36.816341,1292,LIBERTY & JEFFERSON, ,02,121373880,34644420,0,0,-1,12137388,3464442,1031
-76.189386,36.843094,1294,KEMPSVILLE & BANGOR, ,05,121589986,34747058,0,0,-1,12158998.6,3474705.8,1032
-76.187142,36.84213,1295,NEWTOWN & KEMPSVILLE,PRNTWN,08,121596637,34743707,0,0,-1,12159663.7,3474370.7,1033
-76.184506,36.844153,1296,NEWTOWN & GREENWICH, ,08,121604169,34751262,0,0,-1,12160416.9,3475126.2,1034
-76.193349,36.85391,1302,KEMPSVILLE & WELLVILLE,LHSPT,05,121577430,34786140,0,0,-1,12157743,3478614,1035
-76.067657,36.910229,1303,GREAT NECK & WILLOW OAK, ,08,121939790,35000350,0,0,-1,12193979,3500035,1036
-76.067928,36.910003,1304,GREAT NECK & WILLOW OAK,SHDGN,08,121939020,34999510,0,0,-1,12193902,3499951,1037
-76.179461,36.849518,1305,NEWTOWN & LARRY, ,08,121618446,34771151,0,0,-1,12161844.6,3477115.1,1038
-76.178555,36.851284,1307,NEWTOWN & ELAM, ,08,121620938,34777642,0,0,-1,12162093.8,3477764.2,1039
-76.179601,36.849813,1308,NEWTOWN & ETHAN ALLEN, ,05,121618011,34772213,0,0,-1,12161801.1,3477221.3,1040
-76.185317,36.843644,1309,NEWTOWN & GREENWICH,PRNTWN,05,121601840,34749350,0,0,-1,12160184,3474935,1041
-76.189003,36.843181,1310,KEMPSVILLE & BANGOR, ,05,121591100,34747400,0,0,-1,12159110,3474740,1042
-76.189971,36.844043,1311,KEMPSVILLE & BLACKSTONE, ,05,121588190,34750470,0,0,-1,12158819,3475047,1043
-76.052499,36.842075,1312,VIRGINIA BEACH & BYRD, ,08,121990525,34753441,0,0,-1,12199052.5,3475344.1,1044
-76.176848,36.857008,1315,NEWTOWN & REDSTONE, ,08,121625420,34798600,0,0,-1,12162542,3479860,1045
