OBJECTID,ID,NAME,STATE,TYPE,STATUS,COUNTY,COUNTYFIPS,COUNTRY,LATITUDE,LONGITUDE,NAICS_CODE,NAICS_DESC,SOURCE,SOURCEDATE,VAL_METHOD,VAL_DATE,WEBSITE,WELLIDNO,API,PERMITNO,OPERATOR,OPERATORID,PRODTYPE,COORDTYPE,SURF_LAT,SURF_LONG,BOT_LAT,BOT_LONG,POSREL,FIELD,COMPDATE,TOTDEPTH
282001,W510001071,NOT AVAILABLE,VA,OIL & NATURAL GAS WELL,NON-ACTIVE WELL,BUCHANAN,51027,USA,37.261670000000002,-81.869829999999993,213111,DRILLING OIL AND GAS WELLS,VIRGINIA DEPARTMENT OF MINES MINERALS AND ENERGY,2014/01/01 00:00:00.000,OTHER,2014/11/12 00:00:00.000,http://www.dmme.virginia.gov,NOT AVAILABLE,NOT AVAILABLE,-999,CNX GAS COMPANY LLC,-999,UNKNOWN WELL,T,37.261670000000002,-81.869829999999993,-999,-999,THIRD PARTY,NOT AVAILABLE,2014/12/03 00:00:00.000,2375
282002,W510001072,NOT AVAILABLE,VA,OIL & NATURAL GAS WELL,NON-ACTIVE WELL,BUCHANAN,51027,USA,37.256129999999999,-81.869489999999999,213111,DRILLING OIL AND GAS WELLS,VIRGINIA DEPARTMENT OF MINES MINERALS AND ENERGY,2014/01/01 00:00:00.000,OTHER,2014/11/12 00:00:00.000,http://www.dmme.virginia.gov,NOT AVAILABLE,NOT AVAILABLE,-999,CNX GAS COMPANY LLC,-999,UNKNOWN WELL,T,37.256129999999999,-81.869489999999999,-999,-999,THIRD PARTY,NOT AVAILABLE,2014/12/03 00:00:00.000,2322
282003,W510001073,NOT AVAILABLE,VA,OIL & NATURAL GAS WELL,NON-ACTIVE WELL,BUCHANAN,51027,USA,37.252839999999999,-81.866380000000007,213111,DRILLING OIL AND GAS WELLS,VIRGINIA DEPARTMENT OF MINES MINERALS AND ENERGY,2014/01/01 00:00:00.000,OTHER,2014/11/12 00:00:00.000,http://www.dmme.virginia.gov,NOT AVAILABLE,NOT AVAILABLE,-999,CNX GAS COMPANY LLC,-999,UNKNOWN WELL,T,37.252839999999999,-81.866380000000007,-999,-999,THIRD PARTY,NOT AVAILABLE,2014/12/03 00:00:00.000,2261
282004,W510001074,NOT AVAILABLE,VA,OIL & NATURAL GAS WELL,NON-ACTIVE WELL,BUCHANAN,51027,USA,37.255890000000001,-81.863699999999994,213111,DRILLING OIL AND GAS WELLS,VIRGINIA DEPARTMENT OF MINES MINERALS AND ENERGY,2014/01/01 00:00:00.000,OTHER,2014/11/12 00:00:00.000,http://www.dmme.virginia.gov,NOT AVAILABLE,NOT AVAILABLE,-999,CNX GAS COMPANY LLC,-999,UNKNOWN WELL,T,37.255890000000001,-81.863699999999994,-999,-999,THIRD PARTY,NOT AVAILABLE,2014/12/03 00:00:00.000,1809
282005,W510001075,NOT AVAILABLE,VA,OIL & NATURAL GAS WELL,NON-ACTIVE WELL,BUCHANAN,51027,USA,37.251539999999999,-81.870239999999995,213111,DRILLING OIL AND GAS WELLS,VIRGINIA DEPARTMENT OF MINES MINERALS AND ENERGY,2014/01/01 00:00:00.000,OTHER,2014/11/12 00:00:00.000,http://www.dmme.virginia.gov,NOT AVAILABLE,NOT AVAILABLE,-999,CNX GAS COMPANY LLC,-999,UNKNOWN WELL,T,37.251539999999999,-81.870239999999995,-999,-999,THIRD PARTY,NOT AVAILABLE,2014/12/03 00:00:00.000,2275
282006,W510001076,NOT AVAILABLE,VA,OIL & NATURAL GAS WELL,NON-ACTIVE WELL,BUCHANAN,51027,USA,37.250860000000003,-81.859939999999995,213111,DRILLING OIL AND GAS WELLS,VIRGINIA DEPARTMENT OF MINES MINERALS AND ENERGY,2014/01/01 00:00:00.000,OTHER,2014/11/12 00:00:00.000,http://www.dmme.virginia.gov,NOT AVAILABLE,NOT AVAILABLE,-999,CNX GAS COMPANY LLC,-999,UNKNOWN WELL,T,37.250860000000003,-81.859939999999995,-999,-999,THIRD PARTY,NOT AVAILABLE,2014/12/03 00:00:00.000,1596
282007,W510001077,NOT AVAILABLE,VA,OIL & NATURAL GAS WELL,NON-ACTIVE WELL,BUCHANAN,51027,USA,37.243989999999997,-81.856629999999996,213111,DRILLING OIL AND GAS WELLS,VIRGINIA DEPARTMENT OF MINES MINERALS AND ENERGY,2014/01/01 00:00:00.000,OTHER,2014/11/12 00:00:00.000,http://www.dmme.virginia.gov,NOT AVAILABLE,NOT AVAILABLE,-999,CNX GAS COMPANY LLC,-999,UNKNOWN WELL,T,37.243989999999997,-81.856629999999996,-999,-999,THIRD PARTY,NOT AVAILABLE,2014/12/03 00:00:00.000,2264
282008,W510001078,NOT AVAILABLE,VA,OIL & NATURAL GAS WELL,NON-ACTIVE WELL,BUCHANAN,51027,USA,37.205779999999997,-81.922269999999997,213111,DRILLING OIL AND GAS WELLS,VIRGINIA DEPARTMENT OF MINES MINERALS AND ENERGY,2014/01/01 00:00:00.000,OTHER,2014/11/12 00:00:00.000,http://www.dmme.virginia.gov,NOT AVAILABLE,NOT AVAILABLE,-999,CNX GAS COMPANY LLC,-999,UNKNOWN WELL,T,37.205779999999997,-81.922269999999997,-999,-999,THIRD PARTY,NOT AVAILABLE,2014/12/03 00:00:00.000,1474
282009,W510001079,NOT AVAILABLE,VA,OIL & NATURAL GAS WELL,NON-ACTIVE WELL,BUCHANAN,51027,USA,37.203180000000003,-81.923310000000001,213111,DRILLING OIL AND GAS WELLS,VIRGINIA DEPARTMENT OF MINES MINERALS AND ENERGY,2014/01/01 00:00:00.000,OTHER,2014/11/12 00:00:00.000,http://www.dmme.virginia.gov,NOT AVAILABLE,NOT AVAILABLE,-999,CNX GAS COMPANY LLC,-999,UNKNOWN WELL,T,37.203180000000003,-81.923310000000001,-999,-999,THIRD PARTY,NOT AVAILABLE,2014/12/03 00:00:00.000,1710
282010,W510001080,NOT AVAILABLE,VA,OIL & NATURAL GAS WELL,NON-ACTIVE WELL,BUCHANAN,51027,USA,37.203730000000000,-81.923770000000005,213111,DRILLING OIL AND GAS WELLS,VIRGINIA DEPARTMENT OF MINES MINERALS AND ENERGY,2014/01/01 00:00:00.000,OTHER,2014/11/12 00:00:00.000,http://www.dmme.virginia.gov,NOT AVAILABLE,NOT AVAILABLE,-999,CNX GAS COMPANY LLC,-999,UNKNOWN WELL,T,37.203730000000000,-81.923770000000005,-999,-999,THIRD PARTY,NOT AVAILABLE,2014/12/03 00:00:00.000,1754
282011,W510001081,NOT AVAILABLE,VA,OIL & NATURAL GAS WELL,NON-ACTIVE WELL,BUCHANAN,51027,USA,37.173319999999997,-82.036230000000003,213111,DRILLING OIL AND GAS WELLS,VIRGINIA DEPARTMENT OF MINES MINERALS AND ENERGY,2014/01/01 00:00:00.000,OTHER,2014/11/12 00:00:00.000,http://www.dmme.virginia.gov,NOT AVAILABLE,NOT AVAILABLE,-999,CNX GAS COMPANY LLC,-999,UNKNOWN WELL,T,37.173319999999997,-82.036230000000003,-999,-999,THIRD PARTY,NOT AVAILABLE,2014/12/03 00:00:00.000,2250
282012,W510001082,NOT AVAILABLE,VA,OIL & NATURAL GAS WELL,NON-ACTIVE WELL,BUCHANAN,51027,USA,37.204529999999998,-82.052729999999997,213111,DRILLING OIL AND GAS WELLS,VIRGINIA DEPARTMENT OF MINES MINERALS AND ENERGY,2014/01/01 00:00:00.000,OTHER,2014/11/12 00:00:00.000,http://www.dmme.virginia.gov,NOT AVAILABLE,NOT AVAILABLE,-999,CNX GAS COMPANY LLC,-999,UNKNOWN WELL,T,37.204529999999998,-82.052729999999997,-999,-999,THIRD PARTY,NOT AVAILABLE,2014/12/03 00:00:00.000,2138
282013,W510001083,NOT AVAILABLE,VA,OIL & NATURAL GAS WELL,NON-ACTIVE WELL,BUCHANAN,51027,USA,37.246090000000002,-81.869380000000007,213111,DRILLING OIL AND GAS WELLS,VIRGINIA DEPARTMENT OF MINES MINERALS AND ENERGY,2014/01/01 00:00:00.000,OTHER,2014/11/12 00:00:00.000,http://www.dmme.virginia.gov,NOT AVAILABLE,NOT AVAILABLE,-999,CNX GAS COMPANY LLC,-999,UNKNOWN WELL,T,37.246090000000002,-81.869380000000007,-999,-999,THIRD PARTY,NOT AVAILABLE,2014/12/03 00:00:00.000,1782
282014,W510001084,NOT AVAILABLE,VA,OIL & NATURAL GAS WELL,NON-ACTIVE WELL,BUCHANAN,51027,USA,37.263339999999999,-81.857519999999994,213111,DRILLING OIL AND GAS WELLS,VIRGINIA DEPARTMENT OF MINES MINERALS AND ENERGY,2014/01/01 00:00:00.000,OTHER,2014/11/12 00:00:00.000,http://www.dmme.virginia.gov,NOT AVAILABLE,NOT AVAILABLE,-999,CNX GAS COMPANY LLC,-999,UNKNOWN WELL,T,37.263339999999999,-81.857519999999994,-999,-999,THIRD PARTY,NOT AVAILABLE,2014/12/03 00:00:00.000,2205
282015,W510001085,NOT AVAILABLE,VA,OIL & NATURAL GAS WELL,NON-ACTIVE WELL,BUCHANAN,51027,USA,37.245410000000000,-81.852010000000007,213111,DRILLING OIL AND GAS WELLS,VIRGINIA DEPARTMENT OF MINES MINERALS AND ENERGY,2014/01/01 00:00:00.000,OTHER,2014/11/12 00:00:00.000,http://www.dmme.virginia.gov,NOT AVAILABLE,NOT AVAILABLE,-999,CNX GAS COMPANY LLC,-999,UNKNOWN WELL,T,37.245410000000000,-81.852010000000007,-999,-999,THIRD PARTY,NOT AVAILABLE,2014/12/03 00:00:00.000,1813
282016,W510001086,NOT AVAILABLE,VA,OIL & NATURAL GAS WELL,NON-ACTIVE WELL,BUCHANAN,51027,USA,37.247740000000000,-81.860860000000002,213111,DRILLING OIL AND GAS WELLS,VIRGINIA DEPARTMENT OF MINES MINERALS AND ENERGY,2014/01/01 00:00:00.000,OTHER,2014/11/12 00:00:00.000,http://www.dmme.virginia.gov,NOT AVAILABLE,NOT AVAILABLE,-999,CNX GAS COMPANY LLC,-999,UNKNOWN WELL,T,37.247740000000000,-81.860860000000002,-999,-999,THIRD PARTY,NOT AVAILABLE,2014/12/03 00:00:00.000,1569
