FID,ELEVATION,SHAPE_STLe
1,30,18.207804
2,30,1.422817
3,10,41.451126
4,40,108.654403
5,10,13.742701
6,20,21.926405
7,10,33.164036
8,30,81.895393
9,10,7.879714
10,10,10.717258
11,10,110.962781
12,20,4.639995
13,30,12.757211
14,40,14.92155
15,10,4.48905
16,30,229.525483
17,20,0.163899
18,20,28.439295
19,20,1.492602
20,20,28.065421
21,20,31.737546
22,20,74.613298
23,10,48.589362
24,0,40.555356
25,20,2.309431
26,10,29.610794
27,10,98.189056
28,10,44.771297
29,20,122.834067
30,20,24.875112
31,10,13.054183
32,10,1.674227
33,20,0.480969
34,20,22.598441
35,20,0.601981
36,20,0.039659
37,20,0.092758
38,20,0.021435
39,10,0.318429
40,20,166.612172
41,20,0.413346
42,20,6.84397
43,20,0.102386
44,20,23.72677
45,10,162.755475
46,240,8.691363
47,230,22.693121
48,230,5.431529
49,260,491.649148
50,240,6.731351
51,190,0.577202
52,90,38.309366
53,200,21.19114
54,200,18.381457
55,60,14.844371
56,60,25.496881
57,60,4.272287
58,60,12.760248
59,70,16.07858
60,70,22.458297
61,70,11.893052
62,80,16.812643
63,10,0.112605
64,20,0.195449
65,10,0.148164
66,20,0.119508
67,10,0.084454
68,150,99.117328
69,20,0.004843
70,20,57.159588
71,10,0.084679
72,30,47.695823
73,20,0.330951
74,10,34.554238
75,10,0.293878
76,40,35.452764
77,20,0.082857
78,40,72.655841
79,10,9.144514
80,10,0.353705
81,10,14.850286
82,30,47.596504
83,10,0.072834
84,30,14.04953
85,250,63.996356
86,30,22.045054
87,160,158.220755
88,10,0.082961
89,130,0.004075
90,30,30.83769
91,10,0.010188
92,70,49.229261
93,30,39.011906
94,20,0.25674
95,90,20.178654
96,20,84.395254
97,90,8.638866
98,10,0.092066
99,160,9.418073
100,90,126.468832
101,10,0.091993
102,130,1.904485
103,110,121.25128
104,160,3.435712
105,240,96.583119
106,20,0.015066
107,170,28.879803
108,240,22.089868
109,20,0.117154
110,170,32.900752
111,230,12.421403
112,150,81.683244
113,20,0.047552
114,20,0.014596
115,130,33.978143
116,230,4.90659
117,150,63.648416
118,240,65.416114
119,20,0.029014
120,110,3.581481
121,210,26.046498
122,60,3.805192
123,20,0.101533
124,240,155.771095
125,100,66.545455
126,250,43.68257
127,100,1.995894
128,20,0.029817
129,250,34.312035
130,150,84.883339
131,250,46.818759
132,20,0.00655
133,150,125.431659
134,250,93.326839
135,250,38.490689
136,120,48.336609
137,10,0.83946
138,230,61.671364
139,110,17.580246
140,230,0.978046
141,10,13.062555
142,140,2.16886
143,250,70.373941
144,70,0.964468
145,250,293.622399
146,10,38.709808
147,110,0.470918
148,210,0.138804
149,10,0.548599
150,110,0.71127
151,210,0.18222
152,20,0.012293
153,210,0.647087
154,110,0.179444
155,20,0.516019
156,210,1.826724
157,110,0.173857
158,20,0.031565
159,210,1.490894
160,70,110.869452
161,210,0.978936
162,20,0.027308
163,150,5.527746
164,210,0.041495
165,20,0.194167
166,60,27.839526
167,210,1.216725
168,20,0.026802
169,60,30.998233
170,210,0.082795
171,20,0.391411
172,40,14.054482
173,190,8.320026
174,40,150.397837
175,20,0.205064
176,40,98.226253
177,40,2.088805
178,10,16.018748
179,170,2.76272
180,50,29.065843
181,40,69.255302
182,30,30.074743
