OBJECTID,Hpoly_ID,Subtype,Name,WaterElv,Editor,DateModify,Hidden,Creator,DateCreated,ShapeSTArea,ShapeSTLength
198,195,3,UNKNOWN,,LYNCHBURGVA\gisusr1@PWK-GIS-USR1,2011-02-22T15:03:18.000Z,0,,,15903.375,496.781317884216
200,197,3,UNKNOWN,,LYNCHBURGVA\gisusr1@PWK-GIS-USR1,2011-02-22T15:03:18.000Z,0,,,55169.375,1143.112874263
199,196,3,UNKNOWN,,LYNCHBURGVA\gisusr1@PWK-GIS-USR1,2011-02-22T15:03:18.000Z,0,,,39967.25,832.049712741283
201,198,3,UNKNOWN,,LYNCHBURGVA\gisusr1@PWK-GIS-USR1,2011-02-22T15:03:18.000Z,0,,,7140.75,346.857867118715
202,199,3,UNKNOWN,,LYNCHBURGVA\gisusr1@PWK-GIS-USR1,2011-02-22T15:03:18.000Z,0,,,5846.625,307.460724763493
203,200,3,UNKNOWN,,LYNCHBURGVA\gisusr1@PWK-GIS-USR1,2011-02-22T15:03:18.000Z,0,,,7034.125,450.641601135358
205,202,3,UNKNOWN,,LYNCHBURGVA\gisusr1@PWK-GIS-USR1,2011-02-22T15:03:18.000Z,0,,,16851.375,545.800181270722
206,203,3,UNKNOWN,,LYNCHBURGVA\gisusr1@PWK-GIS-USR1,2011-02-22T15:03:18.000Z,0,,,11175.25,474.163124155638
207,204,3,UNKNOWN,,LYNCHBURGVA\gisusr1@PWK-GIS-USR1,2011-02-22T15:03:18.000Z,0,,,61847,1081.6197939435
208,205,3,UNKNOWN,,LYNCHBURGVA\gisusr1@PWK-GIS-USR1,2011-02-22T15:03:18.000Z,0,,,14700.375,461.583826657545
209,206,3,UNKNOWN,,LYNCHBURGVA\gisusr1@PWK-GIS-USR1,2011-02-22T15:03:18.000Z,0,,,10959.75,474.4425352915
210,207,3,UNKNOWN,,LYNCHBURGVA\gisusr1@PWK-GIS-USR1,2011-02-22T15:03:18.000Z,0,,,12717.375,536.945283139877
211,208,3,UNKNOWN,,LYNCHBURGVA\gisusr1@PWK-GIS-USR1,2011-02-22T15:03:18.000Z,0,,,11876.75,446.984045028378
213,210,3,UNKNOWN,,LYNCHBURGVA\gisusr1@PWK-GIS-USR1,2011-02-22T15:03:18.000Z,0,,,113055.875,1863.09706488381
214,211,3,UNKNOWN,,LYNCHBURGVA\gisusr1@PWK-GIS-USR1,2011-02-22T15:03:18.000Z,0,,,15231.125,494.213846367596
215,212,3,UNKNOWN,,LYNCHBURGVA\gisusr1@PWK-GIS-USR1,2011-02-22T15:03:18.000Z,0,,,11820,412.583454103334
217,214,3,UNKNOWN,,LYNCHBURGVA\gisusr1@PWK-GIS-USR1,2011-02-22T15:03:18.000Z,0,,,57201.5496128196,1217.57297227869
216,213,3,UNKNOWN,,LYNCHBURGVA\gisusr1@PWK-GIS-USR1,2011-02-22T15:03:18.000Z,0,,,53835.0228023371,1501.17753495206
218,215,3,UNKNOWN,,LYNCHBURGVA\gisusr1@PWK-GIS-USR1,2011-02-22T15:03:18.000Z,0,,,115175.041498377,1326.19338665484
219,216,3,UNKNOWN,,LYNCHBURGVA\conwasc@GIS-SCC1,2013-02-05T11:20:17.000Z,0,,,128651.875474516,1951.95497419534
220,217,3,UNKNOWN,,LYNCHBURGVA\gisusr1@PWK-GIS-USR1,2011-02-22T15:03:18.000Z,0,,,145872.374752045,2107.96444070316
222,219,3,UNKNOWN,,LYNCHBURGVA\gisusr1@PWK-GIS-USR1,2011-02-22T15:03:18.000Z,0,,,16187.1212680385,510.321099470266
221,218,3,UNKNOWN,,LYNCHBURGVA\gisusr1@PWK-GIS-USR1,2011-02-22T15:03:18.000Z,0,,,175503.278724903,2253.75161720911
223,220,3,UNKNOWN,,LYNCHBURGVA\gisusr1@PWK-GIS-USR1,2011-02-22T15:03:18.000Z,0,,,7229.25,437.976961122266
224,221,3,UNKNOWN,,LYNCHBURGVA\gisusr1@PWK-GIS-USR1,2011-02-22T15:03:18.000Z,0,,,15430.9231646514,461.258731355248
225,222,3,UNKNOWN,,LYNCHBURGVA\gisusr1@PWK-GIS-USR1,2011-02-22T15:03:18.000Z,0,,,85642.75,1297.30299772122
226,223,3,UNKNOWN,,LYNCHBURGVA\gisusr1@PWK-GIS-USR1,2011-02-22T15:03:18.000Z,0,,,326405.861304789,2729.17685899066
227,224,3,UNKNOWN,,LYNCHBURGVA\gisusr1@PWK-GIS-USR1,2011-02-22T15:03:18.000Z,0,,,55558.0705174856,1000.69047480083
229,226,3,UNKNOWN,,LYNCHBURGVA\gisusr1@PWK-GIS-USR1,2011-02-22T15:03:18.000Z,0,,,55591.75,1129.15854360258
230,227,3,UNKNOWN,,LYNCHBURGVA\gisusr1@PWK-GIS-USR1,2011-02-22T15:03:18.000Z,0,,,24496.125,638.42097281257
231,228,3,UNKNOWN,,LYNCHBURGVA\gisusr1@PWK-GIS-USR1,2011-02-22T15:03:18.000Z,0,,,73001.375,1360.4877703242
232,229,3,UNKNOWN,,LYNCHBURGVA\gisusr1@PWK-GIS-USR1,2011-02-22T15:03:18.000Z,0,,,41394.8580690282,1149.25379012118
234,231,3,UNKNOWN,,LYNCHBURGVA\gisusr1@PWK-GIS-USR1,2011-02-22T15:03:18.000Z,0,,,103494.75,1617.61473118069
233,230,3,UNKNOWN,,LYNCHBURGVA\gisusr1@PWK-GIS-USR1,2011-02-22T15:03:18.000Z,0,,,27483.4230147519,747.555313774605
235,232,3,UNKNOWN,,LYNCHBURGVA\gisusr1@PWK-GIS-USR1,2011-02-22T15:03:18.000Z,0,,,47599.9835897775,1150.51919987165
236,233,3,UNKNOWN,,LYNCHBURGVA\gisusr1@PWK-GIS-USR1,2011-02-22T15:03:18.000Z,0,,,8713.12325314173,463.207273825089
237,234,3,UNKNOWN,,LYNCHBURGVA\gisusr1@PWK-GIS-USR1,2011-02-22T15:03:18.000Z,0,,,42124.25,1069.9310717451
238,235,3,UNKNOWN,,LYNCHBURGVA\gisusr1@PWK-GIS-USR1,2011-02-22T15:03:18.000Z,0,,,9545.375,395.268035878286
239,236,3,UNKNOWN,,LYNCHBURGVA\gisusr1@PWK-GIS-USR1,2011-02-22T15:03:18.000Z,0,,,1754.04779226316,158.372052157981
240,237,3,UNKNOWN,,LYNCHBURGVA\gisusr1@PWK-GIS-USR1,2011-02-22T15:03:18.000Z,0,,,12406.875,510.323707050212
241,238,3,UNKNOWN,,LYNCHBURGVA\gisusr1@PWK-GIS-USR1,2011-02-22T15:03:18.000Z,0,,,27445.95311403,795.343425681527
242,239,3,UNKNOWN,,LYNCHBURGVA\gisusr1@PWK-GIS-USR1,2011-02-22T15:03:18.000Z,0,,,33535.25,859.15082666168
243,240,3,UNKNOWN,,LYNCHBURGVA\gisusr1@PWK-GIS-USR1,2011-02-22T15:03:18.000Z,0,,,4622,306.266738953773
244,241,3,UNKNOWN,,LYNCHBURGVA\gisusr1@PWK-GIS-USR1,2011-02-22T15:03:18.000Z,0,,,23545.3209822286,583.819488103025
248,245,3,UNKNOWN,,LYNCHBURGVA\gisusr1@PWK-GIS-USR1,2011-02-22T15:03:18.000Z,0,,,7901.21585047695,411.54962486069
250,247,3,UNKNOWN,,LYNCHBURGVA\gisusr1@PWK-GIS-USR1,2011-02-22T15:03:18.000Z,0,,,37651.875,748.580068884637
253,250,3,UNKNOWN,,LYNCHBURGVA\gisusr1@PWK-GIS-USR1,2011-02-22T15:03:18.000Z,0,,,55063.125,944.40641984965
256,253,3,UNKNOWN,,LYNCHBURGVA\gisusr1@PWK-GIS-USR1,2011-02-22T15:03:18.000Z,0,,,35934.064033286,721.558977629066
261,258,3,UNKNOWN,,LYNCHBURGVA\gisusr1@PWK-GIS-USR1,2011-02-22T15:03:18.000Z,0,,,10814.375,451.719605267529
262,259,3,UNKNOWN,,LYNCHBURGVA\gisusr1@PWK-GIS-USR1,2011-02-22T15:03:18.000Z,0,,,2827.83669736134,208.26042714259
295,292,3,UNKNOWN,,LYNCHBURGVA\gisusr1@PWK-GIS-USR1,2011-02-22T15:03:18.000Z,0,,,16939.375,503.949419132154
296,293,3,UNKNOWN,,LYNCHBURGVA\gisusr1@PWK-GIS-USR1,2011-02-22T15:03:18.000Z,0,,,19114.125,610.70230741747
297,294,3,UNKNOWN,,LYNCHBURGVA\gisusr1@PWK-GIS-USR1,2011-02-22T15:03:18.000Z,0,,,36997.75,976.803678914359
298,295,3,UNKNOWN,,LYNCHBURGVA\gisusr1@PWK-GIS-USR1,2011-02-22T15:03:18.000Z,0,,,38711.625,1027.77555358471
299,296,3,UNKNOWN,,LYNCHBURGVA\gisusr1@PWK-GIS-USR1,2011-02-22T15:03:18.000Z,0,,,30165,724.521331244777
308,305,3,UNKNOWN,,LYNCHBURGVA\gisusr1@PWK-GIS-USR1,2011-02-22T15:03:18.000Z,0,,,5539.26890684076,310.357999518137
309,306,3,UNKNOWN,,LYNCHBURGVA\gisusr1@PWK-GIS-USR1,2011-02-22T15:03:18.000Z,0,,,14128.75,525.933761063454
