X,Y,OBJECTID,PRECNAME,PRECNUM,POLLPLACE,ADDRESS
-76.194856831522202,36.92661225697735,1,East Ocean View,503,East Ocean View Recreation Center,20th Bay Street and Pretty Lake Avenue
-76.220340343120981,36.925661163717955,2,Tarrallton,509,Tarrallton Recreation Center,2100 Tarrallton Drive
-76.238634084661442,36.919482540823068,3,Third Presbyterian,510,Third Presbyterian Church,8065 Carlton Street
-76.266357720292717,36.917481569670365,4,Wesley,217,Wesley Memorial Methodist Church,288 E. Little Creek Road
-76.209397040627934,36.91715811693841,5,Little Creek,505,Little Creek Elementary School,7900 Tarpon Place
-76.300637220415751,36.916357952611961,6,Zion Grace,106,Zion Grace Methodist Church,1440 W. Little Creek Road
-76.221883477212003,36.912122310164996,7,Larrymore,504,Larrymore Elementary School,7600 Halprin Drive
-76.210987306437715,36.911407155674183,8,Azalea Gardens,401,Azalea Gardens Middle School,7721 Azalea Garden Road
-76.280855448738592,36.907888294842977,9,Granby,101,Granby Elementary School,7101 Newport Avenue
-76.268214522454755,36.90566877208849,10,Suburban Park,215,Suburban Park Elementary School,310 Thole Street
-76.237195608226742,36.905627036088838,11,Rosemont,310,Rosemont Middle School,1401 Auburn Avenue
-76.235262482933152,36.901952909420764,12,Barron Black,406,Barron Black Branch Library,6700 E. Tanners Creek Drive
-76.233090094537161,36.900404948604468,13,Tanners Creek,302,Tanners Creek Elementary School,1335 Longdale Drive
-76.266971418122537,36.887943794419982,14,Willard,218,Willard Model School Lakewood,1511 Willow Wood Drive
-76.302753330227389,36.890575141336981,15,Old Dominion,201,Larchmont Recreation Center,1167 Bolling Avenue
-76.262915583594008,36.88351754010538,16,Lafayette Winona,305,Lafayette Winona Middle School,1701 Alsace Avenue
-76.291177473705503,36.875944073734715,17,Park Place,212,Park Place Multi-purpose Center,606 W. 29th Street
-76.270647691988529,36.868769589826726,18,Lindenwood,306,Lindenwood Elementary School,2700 Ludlow Street
-76.30448213074564,36.868908845032465,20,Taylor Elementary,213,Taylor Elementary School,1122 W. Princess Anne Road
-76.251290955232037,36.864941686266029,21,Ballentine,301,Ballentine Elementary School,2415 Ballentine Boulevard
-76.290705272898563,36.865155222087232,22,Maury,210,Maury High School,322 Shirley Avenue
-76.194232153771424,36.857216960892799,24,Fairlawn,409,Fairlawn Elementary School,1132 Wade Street
-76.252575356662717,36.857483745964558,25,Bowling Park,303,Bowling Park Elementary School,2861 E. Princess Anne Road
-76.291197648433297,36.859167670390526,26,Ghent Square,203,Ghent Square Community Center,852 Mowbray Arch
-76.237260691015479,36.851337059331591,28,Ingleside,412,Ingleside Recreation Center,948 Ingleside Road
-76.266252069660297,36.851644765839211,29,Brambleton,403,Jordan Newby Branch Library,961 Park Avenue
-76.213090328639126,36.844997664211107,31,Poplar Halls,413,Poplar Halls Elementary School,5523 Pebble Lane
-76.251213434632504,36.84449341899716,32,Chesterfield,405,Chesterfield Heights Elementary School,2915 Westminster Avenue
-76.195457728198349,36.840623858111037,33,Easton,408,Easton Preschool,6045 Curlew Drive
-76.283530264241733,36.83172203200894,34,Berkley,402,Berkley Recreation Center,89 Liberty Street
-76.304158669300989,36.901218560973192,36,Larchmont Library,208,Larchmont Branch Library,6525 Hampton Boulevard
-76.258827356679205,36.934584246322999,37,Northside,103,Therapeutic Rec Center,180 E Evans Street
-76.294797942440866,36.886680090108584,38,Immanuel,204,Immanuel Presbyterian Church,4700 Colley Avenue
-76.267162722594477,36.861007987633919,39,Union Chapel,313,Union Chapel A.M.E. Church,1200 St. Julian Avenue
-76.25982174642084,36.955124751500264,40,Ocean View School,102,Ocean View  Elementary School,9501 Mason Creek Road
-76.252016657427831,36.918784503302291,41,Crossroads,202,Crossroads Elementary School,7920 Tidewater Drive
-76.238086017978674,36.877657265209862,42,Sherwood,311,Sherwood Forest Rec Center,4537 Little John Drive
-76.293704449115424,36.915442289136571,43,Titustown,104,Titustown Art/Recreation Center,7549 Diven Street
-76.246108047481982,36.949504983487863,44,Ocean View Center,506,Ocean View Center,600 E. Ocean View Avenue
-76.251144153048443,36.952927107078139,45,Pretlow,507,Pretlow Library,111 W. Ocean View Avenue
-76.240996523742069,36.870208133306825,47,Coleman Place School,304,Coleman Place Elementary School,2245 Palmyra
-76.235116776309482,36.935160169982289,48,Bayview,501,Bayview Recreation Center,8613 Willow Terrace
-76.304168275478801,36.88157466141169,49,Lamberts Point,207,Lamberts Point,1251 W 42nd Street
-76.242005698232262,36.893947115097774,50,Norview,309,Norview Middle School,6325 Sewells Point Road
-76.19813407453087,36.870593803215243,19,Lake Taylor High,407,Lake Taylor High School,1384 Kempsville Road
-76.292359673689887,36.855338549404102,23,Chrysler Museum,211,Chysler Museum Glass Studio,745 Duke Street
-76.275825128894411,36.847535731882346,30,Ruffner Academy,411,Ruffner Academy,610 May Avenue
-76.276282021632696,36.876602798522264,46,Virginia Zoo,214,The Virginia Zoo,3500 Granby Street
-76.282927666010394,36.855173100024274,27,Young Park,414,Young Terrace Community Center,804 Whitaker Lane
-76.260021322136822,36.823290067671849,35,Campostella,404,Southside Aquatics Center,1750 Campostella Road
