code	r	g	b	text
5.2.1	201	255	201	Meta-argillite
5.2.2	230	205	255	Slate
5.2.3	159	255	159	Quartzite
5.2.4	233	255	233	Metaconglomerate
5.2.5	0	0	255	Marble
5.3	255	87	255	Metavolcanic rock
5.3.1	255	141	255	Felsic metavolcanic rock
5.3.1.1	255	167	255	Metarhyolite
5.3.1.2	254	103	0	Keratophyre
5.3.2	255	0	0	Intermediate metavolcanic rock
5.3.3	185	59	104	Mafic metavolcanic rock
5.3.3.1	135	43	76	Metabasalt
5.3.3.2	201	85	126	Spilite
5.3.3.3	0	128	0	Greenstone
5.4	180	207	228	Phyllite
5.5	219	219	231	Schist
5.5.1	237	237	243	Greenschist
5.5.2	192	192	192	Blueschist
5.5.3	177	177	177	Mica schist
5.5.4	202	202	220	Pelitic schist
5.5.5	162	162	192	Quartz-feldspar schist
5.5.6	182	182	206	Calc-silicate schist
5.5.7	150	150	150	Amphibole schist
5.6	163	55	253	Granofels
5.7	236	214	254	Gneiss
5.7.1	224	188	254	Felsic gneiss
5.7.1.1	213	164	254	Granitic gneiss
5.7.1.1.1	200	134	254	Biotite gneiss
5.7.2	204	183	255	Mafic gneiss
5.7.3	179	149	255	Orthogneiss
5.7.4	144	99	255	Paragneiss
5.7.5	159	0	202	Migmatite
5.8	123	0	156	Amphibolite
5.9	106	0	106	Granulite
6	132	97	62	Tectonite
6.1	208	203	176	Tectonic mélange
6.2	176	167	120	Tectonic breccia
6.3	136	127	80	Cataclasite
6.4	172	127	80	Phyllonite
6.5	109	80	51	Mylonite
6.6	100	2	11	Flaser gneiss
6.7	136	127	80	Augen gneiss
ice	255	255	255	ice
water	153	204	255	water
	255	213	157	Agglomerate
	255	209	220	Alaskite
	133	79	43	Basanite
	107	195	255	Dolomite
	160	53	0	Komatiite

