FID,TRAILTYPE,STATUS,SHARROW
1,Off Street,Existing,Yes
2,Off Street,Existing,Yes
3,Off Street,Existing,Yes
4,Off Street,Existing,Yes
5,Off Street,Existing,Yes
6,Off Street,Existing,Yes
9,Off Street,Existing,Yes
8,Off Street,Existing,Yes
7,Off Street,Existing,Yes
10,Off Street,Existing,Yes
13,Off Street,Future,Yes
16,Off Street,Existing,Yes
11,Off Street,Existing,Yes
15,Off Street,Future,Yes
17,Off Street,Existing,Yes
12,Off Street,Future,Yes
20,On Street,Existing,No
19,Off Street,Existing,Yes
14,Off Street,Future,Yes
18,Off Street,Future,Yes
21,On Street,Existing,No
22,On Street,Existing,No
23,On Street,Existing,No
24,On Street,Existing,No
26,On Street,Existing,No
27,On Street,Existing,No
25,On Street,Existing,No
29,On Street,Existing,No
30,On Street,Existing,No
28,On Street,Existing,No
31,On Street,Existing,No
33,On Street,Existing,No
32,On Street,Existing,No
34,On Street,Existing,No
35,On Street,Existing,No
36,On Street,Existing,No
38,On Street,Existing,No
40,On Street,Existing,No
39,On Street,Existing,No
42,On Street,Existing,No
41,On Street,Existing,No
37,On Street,Existing,No
44,On Street,Existing,No
46,On Street,Existing,No
45,On Street,Existing,No
47,On Street,Existing,No
48,On Street,Existing,No
43,On Street,Existing,No
49,On Street,Existing,No
50,On Street,Existing,No
52,On Street,Existing,No
51,On Street,Existing,No
53,On Street,Existing,No
54,On Street,Existing,No
56,On Street,Existing,No
55,On Street,Existing,No
59,On Street,Existing,No
58,On Street,Existing,No
57,On Street,Existing,No
60,On Street,Existing,No
62,On Street,Existing,No
61,On Street,Existing,No
63,On Street,Existing,No
65,On Street,Existing,No
64,On Street,Existing,No
66,On Street,Existing,No
68,On Street,Existing,No
69,On Street,Existing,No
70,Off Street,Existing,No
67,On Street,Existing,No
74,Off Street,Existing,No
71,Off Street,Existing,No
73,Off Street,Existing,No
72,Off Street,Existing,No
75,Off Street,Existing,No
77,Off Street,Existing,No
76,Off Street,Existing,No
79,Off Street,Existing,No
81,Off Street,Existing,No
83,Off Street,Existing,No
82,Off Street,Existing,No
84,Off Street,Existing,No
80,Off Street,Existing,No
78,Off Street,Existing,No
85,Off Street,Existing,No
86,Off Street,Existing,No
87,Off Street,Existing,No
88,Off Street,Existing,No
90,Off Street,Existing,No
89,Off Street,Existing,No
91,Off Street,Existing,No
94,Off Street,Existing,No
96,Off Street,Existing,No
92,Off Street,Existing,No
97,Off Street,Existing,No
93,Off Street,Existing,No
95,Off Street,Existing,No
98,Off Street,Existing,No
99,Off Street,Existing,No
100,Off Street,Existing,No
101,Off Street,Existing,No
103,Off Street,Existing,No
107,Off Street,Existing,No
106,Off Street,Existing,No
104,Off Street,Existing,No
102,Off Street,Existing,No
108,Off Street,Existing,No
105,Off Street,Existing,No
110,Off Street,Existing,No
109,Off Street,Existing,No
111,Off Street,Existing,No
112,Off Street,Existing,No
113,Off Street,Existing,No
115,Off Street,Existing,No
114,Off Street,Existing,No
118,Off Street,Existing,No
117,Off Street,Existing,No
119,Off Street,Existing,No
124,Off Street,Existing,No
121,Off Street,Existing,No
122,Off Street,Existing,No
116,Off Street,Existing,No
123,Off Street,Existing,No
120,Off Street,Existing,No
125,On Street,Existing,No
126,Off Street,Existing,No
127,Off Street,Existing,No
129,Off Street,Future,No
128,Off Street,Existing,No
130,Off Street,Future,No
131,Off Street,Future,No
132,Off Street,Future,No
134,Off Street,Future,No
133,Off Street,Future,No
135,Off Street,Future,No
138,Off Street,Future,No
137,Off Street,Future,No
136,Off Street,Future,No
139,Off Street,Future,No
141,Off Street,Future,No
140,Off Street,Future,No
142,Off Street,Future,No
143,Off Street,Future,No
145,Off Street,Future,No
144,Off Street,Future,No
146,Off Street,Future,No
149,Off Street,Future,No
150,Off Street,Future,No
147,Off Street,Future,No
151,Off Street,Future,No
152,Off Street,Future,No
148,Off Street,Future,No
154,Off Street,Future,No
153,Off Street,Future,No
155,On Street,Existing,No
156,On Street,Existing,No
157,On Street,Existing,No
158,On Street,Existing,No
159,Off Street,Future,No
160,Off Street,Existing,No
161,Off Street,Existing,No
163,On Street,Existing,No
162,Off Street,Future,No
164,On Street,Existing,No
165,Off Street,Existing,No
166,On Street,Existing,No
167,On Street,Existing,No
169,On Street,Existing,No
170,On Street,Existing,No
168,On Street,Existing,No
171,Off Street,Existing,No
174,On Street,Existing,No
176,On Street,Future,No
173,On Street,Existing,No
175,On Street,Future,No
172,Off Street,Existing,No
177,On Street,Future,No
178,Off Street,Existing,No
