OBJECTID,Car_Sector,Precinct,Label,Shapearea,Shapelen
16,322,3,Sector 322,344867884.099309,101502.389348479
10,323,3,Sector 323,77104160.7676992,41462.6321399362
23,134,1,Sector 134,43477970.4305021,32901.9244403236
22,122,1,Sector 122,32305590.7075748,26708.8850214722
4,233,2,Sector 233,70842697.1452058,40549.7856672784
13,324,3,Sector 324,39945728.1090922,40957.4462178106
7,223,2,Sector 223,26052730.3372048,26826.5448548339
6,222,2,Sector 222,46930046.1818573,39614.964519619
27,124,1,Sector 124,101931047.256887,56971.0064086107
28,123,1,Sector 123,68804671.9311455,44606.2099214846
17,232,2,Sector 232,138268454.161254,79399.188828675
20,133,1,Sector 133,27698821.9924481,29666.3663743429
14,326,3,Sector 326,33665511.7914018,26802.1214887222
15,325,3,Sector 325,48930662.8857119,35808.5124055726
1,234,2,Sector 234,45435577.0701619,29533.6000860235
9,335,3,Sector 335,80859103.3499123,46355.0003458423
12,333,3,Sector 333,24117381.8493373,25902.5207388361
11,332,3,Sector 332,92396638.5241764,56665.9121339401
19,334,3,Sector 334,48646261.4697549,33120.2460244437
21,132,1,Sector 132,24624972.4388996,23367.0717584665
41,225,2,Sector 225,46186477.3408915,35982.0948274118
3,235,2,Sector 235,46274216.8416017,31696.2954828935
25,143,1,Sector 153,15112526.2187916,25153.4582418761
29,142,1,Sector 142,11542362.5993569,15242.3274714215
24,135,1,Sector 135,59929304.6834395,39839.5838860351
5,236,2,Sector 236,50705680.0559732,39053.0164679071
8,224,2,Sector 224,123763111.865013,51713.5034968881
26,125,1,Sector 125,78602425.6172166,44039.7749779451
