OBJECTID_1,GEOID10,Status,Near_City
1,51810045810,Qualified Census Tract,Green Run
2,51810044200,Qualified Census Tract,Seatack
3,51810044004,Qualified Census Tract,Virginia Beach
4,51810045000,Redesignated Tract Area,Ocean Pines Mh Park
