X,Y,OBJECTID,ID,NAME,GRID
-76.028681330541986,36.67963567436923,1,1,"65,000 GALLON WATER TOWER",K16
-75.991365648711266,36.666329451683218,2,2,6- 7 DRAFTING SOURCE,L17
-75.985981809854948,36.673657467346004,3,3,6- 9 DRAFTING SOURCE,M17
-75.987775060961084,36.667287025251333,4,4,6- 8 DRAFTING SOURCE,M17
-75.994298040852783,36.666322058709753,5,5,6- 6 DRAFTING SOURCE,L17
-76.024754885164938,36.678018353842752,6,6,6- 5 DRY DRAFT HYDRANT,K16
-76.028623618276569,36.67981866542442,7,7,6- 4  FIRE HYDRANT CONNECTED TO WATER TOWER,K16
-75.993629899097286,36.556536759204349,8,8,6-33 DRAFTING SOURCE,M24
-76.008075672146916,36.558063949606357,9,9,6-32 DRAFTING SOURCE,L24
-75.994376695542442,36.565660818798683,10,10,6-31 DRAFTING SOURCE,L23
-75.993268740420476,36.568020837019979,11,11,6-30 DRAFTING SOURCE,L23
-75.983808267753062,36.679746789615706,12,12,6- 3 DRY DRAFT HYDRANT,M16
-76.028084160185529,36.575520694912768,13,13,6-29 DRAFTING SOURCE,K23
-76.038300806811336,36.582329678211686,14,14,6-28 DRAFTING SOURCE,J22
-75.993291560323613,36.5905619497643,15,15,6-27 DRAFTING SOURCE,L22
-76.043172956298676,36.592897586758546,16,16,6-26 DRAFTING SOURCE,J22
-75.995453905823808,36.605982602620585,17,17,6-25 DRAFTING SOURCE,L21
-76.026921314406437,36.60498199381064,18,18,6-24 DRAFTING SOURCE,K21
-75.994530438610056,36.623757679734616,19,19,6-23 DRAFTING SOURCE,L20
-76.027067667034203,36.618956796170544,20,20,6-22 CISTERN,K20
-76.047390297724277,36.617737414035041,21,21,6-21 CAPT GEORGES DRAFTING SOURCE,J20
-76.040021429126739,36.620675577354675,22,22,6-20 DRAFTING SOURCE,J20
-75.999249046252416,36.678683428720319,23,23,6- 2 DRAFTING SOURCE,L16
-76.041583161926283,36.624213255845483,24,24,6-19 SALMONS FARM DRAFTING SOURCE,J20
-75.991407548831063,36.63330123337186,25,25,6-18 DRAFTING SOURCE,L19
-75.994690067439407,36.635700928447392,26,26,6-17 DRAFTING SOURCE,L19
-75.980800406347882,36.657091419229381,27,27,6-16 DRAFTING SOURCE,M18
-75.989970880383709,36.658066437680205,28,28,6-15 DRAFTING SOURCE,M18
