FID,BNAME,BCAMPUS,BSIZE,BUNITS,BHOTEL,STORIES,YEARBLT,COMMENTS,BTYPE,BUSE,OWNERSHIP,GF_RETAIL
2032, , ,21800,0,0,1,1974, ,Detached structure,Commercial, , 
2033, , ,2341,2,0,2.25,1940, ,Duplex,Residential, , 
2034, , ,2091,1,0,2,1935, ,Detached house,Residential, , 
2035, , ,2360,0,0,0,0, ,Detached structure,Commercial, , 
2036, , ,0,0,0,1,0, ,Garage or shed,Other, , 
2037, , ,1886,1,0,1.75,1940, ,Detached house,Residential, , 
2038, , ,0,0,0,4,0, ,Garage or shed,Other, , 
2039, , ,0,0,0,0,0, ,Garage or shed,Other, , 
2040, , ,17010,0,0,1,1968, ,Detached structure,Commercial, , 
2041, , ,1522,1,0,1.25,1925, ,Detached house,Residential, , 
2042, , ,0,0,0,2,0, ,Garage or shed,Other, , 
2043, , ,2368,2,0,2,1925, ,Duplex,Residential, , 
2044, , ,0,0,0,0,0, ,Garage or shed,Other, , 
2045, , ,701,0,0,1,0, ,Detached structure,Industrial, , 
2046, ,Cameron Run Regional Park,2697,0,0,0,0, ,Garage or shed,Other, , 
2047, , ,1067,1,0,1,1925, ,Detached house,Residential, , 
2048, , ,1654,1,0,2,1958, ,Detached house,Residential, , 
2049, , ,1728,1,0,2,1938, ,Detached house,Residential, , 
2050, , ,0,0,0,0,0, ,Garage or shed,Other, , 
2051, , ,0,0,0,2,0, ,Garage or shed,Other, , 
2052, , ,10160,0,0,1,1974, ,Detached structure,Industrial, , 
2053, , ,2030,1,0,2,1957, ,Detached house,Residential, , 
2054, , ,1271,1,0,1.5,1920, ,Detached house,Residential, , 
2055, , ,2722,1,0,2.25,1920, ,Detached house,Residential, , 
2056, ,Cameron Run Regional Park,273,0,0,0,0, ,Garage or shed,Other, , 
2057, , ,3640,0,0,1,1989,Self Storage,Detached structure,Industrial, , 
2058, , ,0,0,0,2,0, ,Garage or shed,Other, , 
2059, , ,2460,1,0,2,1940, ,Detached house,Residential, , 
2060, , ,3074,1,0,2,1965, ,Detached house,Residential, , 
2061, , ,25158,0,0,2,0, ,Detached structure,Commercial, , 
2062, , ,1365,1,0,1.75,1930, ,Detached house,Residential, , 
2063, , ,1853,1,0,1.75,1940, ,Detached house,Residential, , 
2064, , ,1918,1,0,2,1940, ,Detached house,Residential, , 
2065, , ,15798,0,0,2,0, ,Detached structure,Commercial, , 
2066, , ,0,0,0,2,0, ,Garage or shed,Other, , 
2067, , ,1533,1,0,2.25,1935, ,Detached house,Residential, , 
2068, , ,0,0,0,1,0, ,Garage or shed,Other, , 
2069, , ,4448,1,0,2.25,1989, ,Detached house,Residential, , 
2070, , ,1922,1,0,2,1930, ,Detached house,Residential, , 
2071, , ,4860,0,0,1,1987, ,Detached structure,Commercial, ,No
2072, , ,2036,1,0,2,1940, ,Detached house,Residential, , 
2073, , ,0,0,0,0,0, ,Garage or shed,Other, , 
2074, , ,1585,1,0,1.5,1956, ,Detached house,Residential, , 
2075, , ,0,0,0,0,0, ,Garage or shed,Other, , 
2076, , ,13375,0,0,0,1984, ,Detached structure,Commercial, , 
2077, , ,1500,1,0,1.5,1957, ,Detached house,Residential, , 
2078, , ,0,0,0,1.25,0, ,Garage or shed,Other, , 
2079, , ,2096,1,0,2,1956, ,Detached house,Residential, , 
2080, ,Alexandria Hospital,0,0,0,3,0, ,Garage or shed,Transportation, , 
2081, , ,1770,1,0,1.25,1930, ,Detached house,Residential, , 
2082, , ,0,0,0,2,0, ,Garage or shed,Other, , 
2083, , ,1504,1,0,1.75,1940, ,Detached house,Residential, , 
2084, , ,0,0,0,0,0, ,Garage or shed,Other, , 
2085, , ,1503,1,0,1.75,1983, ,Detached house,Residential, , 
2086, , ,1120,1,0,1.25,1935, ,Detached house,Residential, , 
2087, , ,0,0,0,1,0, ,Garage or shed,Other, , 
2088, , ,2030,1,0,2,1951, ,Detached house,Residential, , 
2089, , ,1176,1,0,1,1964, ,Detached house,Residential, , 
2090, , ,1680,1,0,2,1920, ,Detached house,Residential, , 
2091, , ,1631,1,0,2.25,1925, ,Detached house,Residential, , 
2092, , ,1489,1,0,1,1933, ,Detached house,Residential, , 
2093, , ,1519,1,0,1,1962, ,Detached house,Residential, , 
2094, , ,9203,0,0,2,0, ,Attached structure,Multiple or Mixed, , 
2095, , ,0,0,0,2,0, ,Garage or shed,Other, , 
2096, , ,1344,1,0,2,1939, ,Detached house,Residential, , 
2097, , ,2461,1,0,2,1970, ,Detached house,Residential, , 
2098, , ,1176,1,0,1,1964, ,Detached house,Residential, , 
2099, , ,792,1,0,1,1920, ,Detached house,Residential, , 
2100, , ,2268,1,0,2,1962, ,Detached house,Residential, , 
2101, , ,2248,1,0,2,1971, ,Detached house,Residential, , 
2102, , ,1176,1,0,2,1960, ,Detached house,Residential, , 
2103, ,EPISCOPAL HIGH SCHOOL,0,1,0,2,0, ,Detached house,Residential, , 
2104, , ,0,0,0,2,0, ,Garage or shed,Other, , 
2105, , ,1908,1,0,2.25,1933, ,Detached house,Residential, , 
2106, , ,1176,1,0,1,1965, ,Detached house,Residential, , 
2107, , ,1272,0,0,1,0, ,Garage or shed,Mass Assembly, , 
2108, , ,1803,1,0,1.25,1920, ,Detached house,Residential, , 
2109, , ,1582,1,0,1,1962, ,Detached house,Residential, , 
2110, , ,0,0,0,2,0, ,Garage or shed,Other, , 
2111, , ,0,0,0,0,0, ,Garage or shed,Other, , 
2112, , ,0,4,0,2,0, ,Detached structure,Residential, , 
2113, , ,0,0,0,2.25,0, ,Garage or shed,Other, , 
2114, , ,1936,1,0,2,1941, ,Detached house,Residential, , 
2115, , ,2059,1,0,2,1958, ,Detached house,Residential, , 
2116, , ,962,1,0,1,1930, ,Detached house,Residential, , 
2117, , ,1948,1,0,1.5,1956, ,Detached house,Residential, , 
2118, , ,0,0,0,0,0, ,Garage or shed,Other, , 
2119, , ,1674,1,0,2.25,1920, ,Detached house,Residential, , 
2120, , ,0,0,0,1.75,0, ,Garage or shed,Other, , 
2121, , ,1,1,0,1,2007, ,Detached house,Residential, , 
2122, , ,1092,1,0,1,1956, ,Detached house,Residential, , 
2123, , ,1720,1,0,1,1977, ,Detached house,Residential, , 
2124, , ,0,0,0,1.5,0, ,Garage or shed,Other, , 
2125, , ,1105,1,0,1.25,1933, ,Detached house,Residential, , 
2126, , ,1611,1,0,2.25,1931, ,Detached house,Residential, , 
2127, , ,1784,1,0,2,1925, ,Detached house,Residential, , 
2128, , ,0,0,0,2,0, ,Garage or shed,Other, , 
2129,Abundant Life United Holy Church, ,3284,0,0,1,0, ,Detached structure,Mass Assembly, , 
2130, , ,1664,2,0,2,1930, ,Duplex,Residential, , 
2131, , ,918,1,0,1,1930, ,Detached house,Residential, , 
2132, , ,1092,1,0,1,1956, ,Detached house,Residential, , 
2133, , ,1320,1,0,2,1913, ,Detached house,Residential, , 
2134, , ,1911,1,0,1.5,1925, ,Detached house,Residential, , 
2135, , ,1368,1,0,2,1939, ,Detached house,Residential, , 
2136, , ,0,0,0,0,0, ,Garage or shed,Other, , 
2137, , ,0,0,0,1.75,0, ,Garage or shed,Other, , 
2138, , ,2902,1,0,2,1930, ,Detached house,Residential, , 
2139, , ,0,0,0,1.75,0, ,Garage or shed,Other, , 
2140, , ,0,0,0,2,0, ,Garage or shed,Other, , 
2141, , ,2814,1,0,2,1971, ,Detached house,Residential, , 
2142, , ,850,1,0,1,1920, ,Detached house,Residential, , 
2143, , ,2154,1,0,2,1958, ,Detached house,Residential, , 
2144, , ,0,0,0,1.75,0, ,Garage or shed,Other, , 
2145, , ,907,1,0,1,1938, ,Detached house,Residential, , 
2146, , ,2595,1,0,2.25,1927, ,Detached house,Residential, , 
2147, , ,0,0,0,1,0, ,Garage or shed,Other, , 
2148, , ,2106,1,0,2.25,1925, ,Detached house,Residential, , 
2149, , ,0,0,0,2,0, ,Garage or shed,Other, , 
2150, , ,1748,1,0,2,1961, ,Detached house,Residential, , 
2151, , ,1957,1,0,1,1954, ,Detached house,Residential, , 
2152, , ,3441,1,0,2,1968, ,Detached house,Residential, , 
2153, , ,0,0,0,0,0, ,Garage or shed,Other, , 
2154, , ,2933,1,0,2,1950, ,Detached house,Residential, , 
2155, , ,4102,1,0,2,1973, ,Detached house,Residential, , 
2156, , ,1286,1,0,1,1946, ,Detached house,Residential, , 
2157, , ,0,0,0,0,0, ,Garage or shed,Other, , 
2158, , ,0,0,0,2,0, ,Garage or shed,Other, , 
2159, , ,1500,1,0,2,1958, ,Detached house,Residential, , 
2160, , ,1664,2,0,2,1930, ,Duplex,Residential, , 
2161, , ,1599,1,0,2,1958, ,Detached house,Residential, , 
2162, , ,1668,1,0,1.5,1956, ,Detached house,Residential, , 
2163, , ,0,0,0,1,0, ,Garage or shed,Other, , 
2164, , ,2312,1,0,2,1962, ,Detached house,Residential, , 
2165, , ,3392,1,0,2,1947, ,Detached house,Residential, , 
2166, , ,1344,1,0,1,1927, ,Detached house,Residential, , 
2167, , ,0,0,0,2,0, ,Garage or shed,Other, , 
2168, , ,2849,1,0,2,1977, ,Detached house,Residential, , 
2169, , ,3167,1,0,2,1964, ,Detached house,Residential, , 
2170, ,EPISCOPAL HIGH SCHOOL,0,0,0,1,0, ,Garage or shed,Other, , 
2171, , ,0,0,0,0,0, ,Garage or shed,Other, , 
2172, , ,1467,1,0,1.5,1926, ,Detached house,Residential, , 
2173, , ,962,1,0,1,1950, ,Detached house,Residential, , 
2174, , ,876,1,0,1,1928, ,Detached house,Residential, , 
2175, , ,0,0,0,1.25,0, ,Garage or shed,Other, , 
2176, , ,1416,1,0,1,1964, ,Detached house,Residential, , 
2177, , ,2284,1,0,1.5,1971, ,Detached house,Residential, , 
2178, , ,0,0,0,2,0, ,Garage or shed,Other, , 
2179, , ,0,0,0,2,0, ,Garage or shed,Other, , 
2180, , ,1354,1,0,1.5,1956, ,Detached house,Residential, , 
2181, , ,0,0,0,1.75,0, ,Garage or shed,Other, , 
2182, , ,2216,1,0,2,1963, ,Detached house,Residential, , 
2183, , ,0,0,0,1.5,0, ,Garage or shed,Other, , 
2184, , ,1700,2,0,2,1940, ,Duplex,Residential, , 
2185, , ,2312,2,0,2,1944, ,Duplex,Residential, , 
2186, , ,0,0,0,1,0, ,Garage or shed,Other, , 
2187, , ,1175,1,0,1,1956, ,Detached house,Residential, , 
2188, , ,2915,1,0,2,1941, ,Detached house,Residential, , 
2189, , ,8275,0,0,2,1997, ,Detached structure,Commercial, , 
2190, , ,1981,1,0,1.75,1938, ,Detached house,Residential, , 
2191, , ,1190,1,0,2,1962, ,Detached house,Residential, , 
2192, , ,4742,1,0,3.5,1820, ,Townhouse or row house,Residential, , 
2193, , ,0,0,0,2,0, ,Garage or shed,Other, , 
2194, , ,1876,1,0,2,1938, ,Detached house,Residential, , 
2195, , ,2087,2,0,2,1840, ,Townhouse or row house,Multiple or Mixed, , 
2196, , ,2150,1,0,2.25,1940, ,Detached house,Residential, , 
2197, , ,1904,1,0,2,1935, ,Detached house,Residential, , 
2198, , ,57780,0,0,4,1999, ,Detached structure,Commercial, , 
2199, , ,0,0,0,1,0, ,Garage or shed,Other, , 
2200, , ,3119,0,0,1,1971, ,Detached structure,Commercial, , 
2201, , ,0,0,0,0,0, ,Garage or shed,Other, , 
2202, , ,8690,0,0,1,0, ,Detached structure,Commercial, , 
2203, , ,1714,1,0,2,1949, ,Detached house,Residential, , 
2204, , ,2772,1,0,2,1977, ,Detached house,Residential, , 
2205, , ,1350,1,0,2,1949, ,Detached house,Residential, , 
2206, , ,2114,1,0,1,1954, ,Detached house,Residential, , 
2207, , ,2772,1,0,2,1976, ,Detached house,Residential, , 
2208, , ,0,0,0,1,0, ,Garage or shed,Other, , 
2209, , ,1332,1,0,2,1910, ,Detached house,Residential, , 
2210, , ,0,0,0,1,0, ,Garage or shed,Other, , 
2211, , ,1248,1,0,2,1952, ,Detached house,Residential, , 
2212, , ,9162,0,0,1,1950, ,Detached structure,Commercial, ,Yes
2213, , ,3764,1,0,3,1840, ,Detached house,Residential, , 
2214, , ,1723,1,0,2,1931, ,Detached house,Residential, , 
2215, , ,1714,1,0,2,1949, ,Detached house,Residential, , 
2216, , ,2064,1,0,1,1972, ,Detached house,Residential, , 
2217, , ,3208,0,0,2.5,1920, ,Detached structure,Commercial, , 
2218, , ,2649,1,0,2.5,1770, ,Townhouse or row house,Residential, , 
2219, , ,2244,2,0,2,1955, ,Duplex,Residential, , 
2220, , ,1622,1,0,1.75,1934, ,Detached house,Residential, , 
2221, , ,1380,1,0,2,1949, ,Detached house,Residential, , 
2222, , ,2032,1,0,1,1950, ,Detached house,Residential, , 
2223, , ,2178,1,0,3,1820, ,Detached house,Residential, , 
2224, , ,0,0,0,0,0, ,Garage or shed,Other, , 
2225, , ,0,0,0,2,0, ,Garage or shed,Other, , 
2226, , ,4892,1,0,3,1815, ,Townhouse or row house,Residential, , 
2227, , ,0,0,0,1,0, ,Garage or shed,Other, , 
2228, , ,2255,1,0,2,1941, ,Detached house,Residential, , 
2229, , ,2352,1,0,2.25,1846, ,Detached house,Residential, , 
2230, , ,1202,0,0,1,1920, ,Detached structure,Commercial, , 
2231, , ,1368,1,0,2,1981, ,Detached structure,Residential, , 
2232, , ,2723,1,0,2,1940, ,Detached house,Residential, , 
2233, , ,0,0,0,2.5,0, ,Garage or shed,Other, , 
2234, , ,1470,1,0,1,1959, ,Detached house,Residential, , 
2235, , ,1584,1,0,2,1940, ,Detached house,Residential, , 
2236, , ,26937,0,0,2.5,1984, ,Attached structure,Commercial, , 
2237, , ,0,0,0,2,0, ,Garage or shed,Other, , 
2238, , ,2380,1,0,2,1959, ,Detached house,Residential, , 
2239, , ,0,0,0,2,0, ,Garage or shed,Other, , 
2240, , ,1198,1,0,1,1925, ,Detached house,Residential, , 
2241, , ,8000,0,0,2,1974, ,Attached structure,Commercial, , 
2242, , ,2470,1,0,2,1992, ,Detached house,Residential, , 
2243, , ,1654,1,0,2,1958, ,Detached house,Residential, , 
2244, , ,9040,0,0,1,1945, ,Detached structure,Multiple or Mixed, , 
2245, , ,1530,1,0,1.5,1956, ,Detached house,Residential, , 
2246, , ,2722,1,0,2.5,1986, ,Detached house,Residential, , 
2247, , ,19500,0,0,1.5,0, ,Detached structure,Mass Assembly, , 
2248, , ,965,1,0,1,1958, ,Detached house,Residential, , 
2249, , ,1488,1,0,2,1947, ,Detached house,Residential, , 
2250, , ,0,0,0,2,0, ,Garage or shed,Other, , 
2251, , ,1306,1,0,1.25,1950, ,Detached house,Residential, , 
2252, , ,1660,1,0,1.75,1941, ,Detached house,Residential, , 
2253, , ,1688,1,0,2,1948, ,Detached house,Residential, , 
2254, , ,0,0,0,2,0, ,Garage or shed,Other, , 
2255, , ,2558,1,0,1.75,1950, ,Detached house,Residential, , 
2256, , ,1320,1,0,2,1941, ,Detached house,Residential, , 
2257, , ,1764,1,0,2,1960, ,Detached house,Residential, , 
2258, , ,0,0,0,0,0, ,Garage or shed,Other, , 
2259, , ,0,0,0,1.5,0, ,Garage or shed,Other, , 
2260, , ,912,0,0,1,1948, ,Detached structure,Mass Assembly,Condo, 
2261, , ,10910,0,0,1,1977, ,Detached structure,Commercial, , 
2262, , ,1534,1,0,2,1956, ,Detached house,Residential, , 
2263, , ,0,0,0,0,0, ,Garage or shed,Other, , 
2264, , ,2550,2,0,2,1931, ,Duplex,Residential, , 
2265, , ,1524,1,0,1.5,1956, ,Detached house,Residential, , 
2266, , ,1490,1,0,2,1937, ,Detached house,Residential, , 
2267, , ,882,1,0,2,1940, ,Detached house,Residential, , 
2268, , ,0,0,0,1.5,0, ,Garage or shed,Other, , 
2269, , ,0,0,0,2,0, ,Garage or shed,Other, , 
2270, , ,1607,1,0,1.75,1941, ,Detached house,Residential, , 
2271, , ,1304,1,0,2,1942, ,Detached house,Residential, , 
2272, , ,1404,1,0,1,1956, ,Detached house,Residential, , 
2273, , ,1100,1,0,1,1925, ,Detached house,Residential, , 
2274, , ,1525,1,0,1,1948, ,Detached house,Residential, , 
2275, , ,0,0,0,0,0, ,Garage or shed,Other, , 
2276, , ,1308,1,0,2,1935, ,Detached house,Residential, , 
2277, , ,1200,1,0,2,1820, ,Detached house,Residential, , 
2278,Potomac Yards Shopping Center, ,283000,0,0,1,1997, ,Detached structure,Commercial, , 
2279, , ,2448,2,0,2,1931, ,Duplex,Residential, , 
2280, , ,23906,0,0,1,1981, ,Attached structure,Multiple or Mixed, , 
2281, , ,782,1,0,1,1930, ,Detached house,Residential, , 
2282, , ,1188,1,0,1.5,1937, ,Detached house,Residential, , 
2283, , ,0,0,0,3,1818, ,Attached structure,Commercial, , 
2284, , ,0,0,0,1.75,0, ,Garage or shed,Other, , 
2285, , ,1664,1,0,2,1954, ,Detached house,Residential, , 
2286, , ,18280,0,0,3,0, ,Detached structure,Mass Assembly, , 
2287, , ,0,0,0,2,0, ,Garage or shed,Other, , 
2288, , ,0,0,0,2,0, ,Garage or shed,Other, , 
2289, , ,0,0,0,2,0, ,Garage or shed,Other, , 
2290, , ,2382,1,0,2,1941, ,Detached house,Residential, , 
2291, , ,2304,2,0,2,1950, ,Duplex,Residential, , 
2292, , ,3704,1,0,2,1994, ,Detached house,Residential, , 
2293, , ,5183,0,0,1,0, ,Detached structure,Transportation, , 
2294, , ,2016,2,0,2,1981, ,Duplex,Residential, , 
2295, , ,1352,1,0,2,1940, ,Detached house,Residential, , 
2296, , ,3730,1,0,3,1835, ,Detached house,Residential, , 
2297, , ,0,0,0,1,0, ,Garage or shed,Other, , 
2298, , ,1631,1,0,1.75,1938, ,Detached house,Residential, , 
2299, , ,1002,1,0,1.25,1935, ,Detached house,Residential, , 
2300, , ,3520,1,0,1.5,1960, ,Detached house,Residential, , 
2301, , ,0,0,0,1,0, ,Garage or shed,Other, , 
2302, , ,2786,1,0,2,1963, ,Detached house,Residential, , 
2303, , ,3138,1,0,2,1958, ,Detached house,Residential, , 
2304, , ,2465,1,0,2,1935, ,Detached house,Residential, , 
2305, , ,0,0,0,2,0, ,Garage or shed,Other, , 
2306, , ,2189,1,0,2,1960, ,Detached house,Residential, , 
2307, , ,0,0,0,1,0, ,Garage or shed,Other, , 
2308, ,EPISCOPAL HIGH SCHOOL,2500,1,0,2,0, ,Detached house,Residential, , 
2309, , ,638,1,0,1,1939, ,Detached house,Residential, , 
2310, , ,0,0,0,0,0, ,Garage or shed,Other, , 
2311, ,EPISCOPAL HIGH SCHOOL,0,2,0,2.5,0, ,Detached house,Residential, , 
2312, ,Foxchase Apartments,0,11,0,4,1950, ,Detached structure,Residential,Apartment, 
2313, , ,1204,1,0,1,1959, ,Detached house,Residential, , 
2314, , ,0,0,0,2,0, ,Garage or shed,Other, , 
2315, , ,1285,1,0,1,1958, ,Detached house,Residential, , 
2316, , ,2088,1,0,2,1940, ,Detached house,Residential, , 
2317, , ,2140,1,0,2,1958, ,Detached house,Residential, , 
2318, , ,2060,1,0,2.25,1940, ,Detached house,Residential, , 
2319, , ,0,0,0,1,0, ,Garage or shed,Other, , 
2320, , ,1500,0,0,1,1965, ,Detached structure,Mass Assembly, , 
2321, , ,1222,1,0,1,1958, ,Detached house,Residential, , 
2322, , ,0,0,0,2,0, ,Garage or shed,Other, , 
2323, , ,1170,1,0,1,1958, ,Detached house,Residential, , 
2324, , ,1215,1,0,1,1958, ,Detached house,Residential, , 
2325, , ,2758,1,0,2,1973, ,Detached house,Residential, , 
2326, , ,1270,1,0,1,1958, ,Detached house,Residential, , 
2327, , ,0,0,0,0,0, ,Garage or shed,Other, , 
2328, , ,1022,1,0,1,1929, ,Detached house,Residential, , 
2329, , ,1950,1,0,2,1956, ,Detached house,Residential, , 
2330, , ,0,0,0,1,0, ,Garage or shed,Other, , 
2331, , ,1232,0,0,1,1952, ,Detached structure,Commercial, , 
2332, , ,1392,1,0,1.5,1930, ,Detached house,Residential, , 
2333, , ,2978,1,0,1,1953, ,Detached house,Residential, , 
2334, , ,1677,1,0,1,1962, ,Detached house,Residential, , 
2335, , ,1253,1,0,1,1951, ,Detached house,Residential, , 
2336, , ,1268,1,0,1,1957, ,Detached house,Residential, , 
2337, , ,1600,2,0,2,1925, ,Detached house,Residential, , 
2338, , ,3841,1,0,1,1967, ,Detached house,Residential, , 
2339, , ,0,0,0,0,0, ,Garage or shed,Other, , 
2340, , ,695,0,0,1,1950, ,Detached structure,Institutional, , 
2341, , ,1342,1,0,1,1961, ,Detached house,Residential, , 
2342, , ,0,0,0,0,0, ,Garage or shed,Other, , 
2343, , ,1032,1,0,1,1962, ,Detached house,Residential, , 
2344, , ,2388,1,0,2,1938, ,Detached house,Residential, , 
2345, , ,0,0,0,1,0, ,Garage or shed,Other, , 
2346, , ,0,0,0,0,0, ,Garage or shed,Other, , 
2347, , ,0,0,0,2,0, ,Garage or shed,Other, , 
2348, ,SOUTHERN TOWERS APARTMENTS,0,580,0,16,1960, ,Detached structure,Residential,Apartment, 
2349, , ,1796,1,0,2,1940, ,Detached house,Residential, , 
2350, , ,0,0,0,0,0, ,Garage or shed,Other, , 
2351, , ,0,0,0,0,0, ,Garage or shed,Other, , 
2352, , ,2220,1,0,2,1962, ,Detached house,Residential, , 
2353, , ,1702,1,0,1,1962, ,Detached house,Residential, , 
2354, , ,1693,1,0,1.25,1955, ,Detached house,Residential, , 
2355, , ,1389,1,0,1.5,1937, ,Detached house,Residential, , 
2356, , ,2034,1,0,1,1970, ,Detached house,Residential, , 
2357, , ,1486,1,0,1,1951, ,Detached house,Residential, , 
2358, , ,0,0,0,5,0, ,Garage or shed,Transportation, , 
2359, , ,2946,1,0,2.25,1918, ,Detached house,Residential, , 
2360, , ,1680,1,0,2,1920, ,Detached house,Residential, , 
2361, , ,0,0,0,0,0, ,Garage or shed,Other, , 
2362, , ,2496,1,0,1.5,1952, ,Detached house,Residential, , 
2363, , ,1276,1,0,2,1937, ,Detached house,Residential, , 
2364, ,EPISCOPAL THEOLOGICAL SEMINARY,0,0,0,0,0, ,Garage or shed,Other, , 
2365, , ,2682,1,0,2,1953, ,Detached house,Residential, , 
2366, , ,1629,1,0,1,1960, ,Detached house,Residential, , 
2367, , ,2368,1,0,1.75,1940, ,Detached house,Residential, , 
2368, , ,0,0,0,2,0, ,Garage or shed,Other, , 
2369, , ,2353,1,0,2,1959, ,Detached house,Residential, , 
2370, , ,1238,1,0,1,1956, ,Detached house,Residential, , 
2371, , ,0,0,0,2,0, ,Garage or shed,Other, , 
2372, , ,2240,2,0,2,1935, ,Duplex,Residential, , 
2373, , ,0,0,0,2,0, ,Garage or shed,Other, , 
2374, , ,0,0,0,2,0, ,Garage or shed,Other, , 
2375, , ,0,0,0,1,0, ,Garage or shed,Other, , 
2376, , ,0,0,0,2,0, ,Garage or shed,Other, , 
2377, ,Fort Ward Park,0,0,0,1,0, ,Detached structure,Mass Assembly, , 
2378, , ,2112,1,0,2,1962, ,Detached house,Residential, , 
2379, , ,1683,1,0,1.75,1950, ,Detached house,Residential, , 
2380, , ,0,0,0,2,0, ,Garage or shed,Other, , 
2381, , ,975,1,0,1,1952, ,Detached house,Residential, , 
2382, ,St Agnes Episcopal School (Lower Campus),0,0,0,3,0, ,Detached structure,Institutional, , 
2383, , ,0,0,0,0,0, ,Garage or shed,Other, , 
2384, , ,1763,1,0,1.5,1952, ,Detached house,Residential, , 
2385, , ,2312,2,0,2,1968, ,Duplex,Residential, , 
2386, , ,0,0,0,0,0, ,Garage or shed,Other, , 
2387, , ,3307,1,0,2.25,1941, ,Detached house,Residential, , 
2388, , ,1248,1,0,1,1963, ,Detached house,Residential, , 
2389, , ,1170,1,0,1,1956, ,Detached house,Residential, , 
2390, , ,1548,1,0,2,1959, ,Detached house,Residential, , 
2391, , ,950,1,0,1,1956, ,Detached house,Residential, , 
2392, , ,2148,1,0,2,1960, ,Detached house,Residential, , 
2393, , ,0,0,0,0,0, ,Garage or shed,Other, , 
2394, , ,0,0,0,2,0, ,Garage or shed,Other, , 
2395, , ,2322,1,0,1.5,1945, ,Detached house,Residential, , 
2396, , ,1442,1,0,2,1949, ,Detached house,Residential, , 
2397, , ,0,0,0,2,0, ,Garage or shed,Other, , 
2398, , ,1690,1,0,1.5,1952, ,Detached house,Residential, , 
2399,Penick Hall,EPISCOPAL HIGH SCHOOL,0,0,0,2,0, ,Detached structure,Institutional, , 
2400, , ,1950,1,0,2,1960, ,Detached house,Residential, , 
2401, , ,1478,1,0,2,1940, ,Detached house,Residential, , 
2402, , ,756,1,0,1,1915, ,Detached house,Residential, , 
2403, , ,0,0,0,0,0, ,Garage or shed,Other, , 
2404, , ,0,0,0,2,0, ,Garage or shed,Other, , 
2405, , ,0,0,0,2,0, ,Garage or shed,Other, , 
2406, , ,0,0,0,2,0, ,Garage or shed,Other, , 
2407, , ,0,0,0,1.25,0, ,Garage or shed,Other, , 
2408, , ,0,0,0,1.5,0, ,Garage or shed,Other, , 
2409, , ,2296,1,0,2,1958, ,Detached house,Residential, , 
2410, , ,1274,1,0,1,1960, ,Detached house,Residential, , 
2411, , ,0,0,0,1.25,0, ,Garage or shed,Other, , 
2412, , ,2312,1,0,2,1962, ,Detached house,Residential, , 
2413, , ,0,0,0,2,0, ,Garage or shed,Other, , 
2414, , ,1274,1,0,1,1960, ,Detached house,Residential, , 
2415, , ,1230,1,0,1.25,1930, ,Detached house,Residential, , 
2416, , ,0,0,0,0,0, ,Garage or shed,Other, , 
2417, , ,1712,1,0,2,1945, ,Detached house,Residential, , 
2418, , ,1352,1,0,2,1918, ,Detached house,Residential, , 
