FID,BNAME,BCAMPUS,BSIZE,BUNITS,BHOTEL,STORIES,YEARBLT,COMMENTS,BTYPE,BUSE,OWNERSHIP,GF_RETAIL
2001, , ,2896,1,0,2,1979, ,Detached house,Residential, , 
2002, , ,2688,1,0,2,1979, ,Detached house,Residential, , 
2003, , ,0,0,0,0,0, ,Garage or shed,Other, , 
2004, , ,0,0,0,0,0, ,Garage or shed,Other, , 
2005, , ,6080,1,0,2,1990, ,Detached house,Residential, , 
2006, , ,0,0,0,0,0, ,Garage or shed,Other, , 
2007, ,Towngate,63134,0,0,5,1986, ,Detached structure,Commercial, , 
2008, , ,0,0,0,0,0, ,Garage or shed,Other, , 
2009, , ,1320,1,0,2,1948, ,Detached house,Residential, , 
2010, , ,4898,0,0,1,1989,Self Storage,Detached structure,Industrial, , 
2011, , ,1483,1,0,1.5,1952, ,Detached house,Residential, , 
2012, , ,1680,1,0,2,1955, ,Detached house,Residential, , 
2013, , ,12500,0,0,1,1962, ,Detached structure,Industrial, , 
2014, , ,1912,1,0,1.5,1957, ,Detached house,Residential, , 
2015, , ,0,0,0,0,0, ,Garage or shed,Other, , 
2016, , ,2023,0,0,1,1962, ,Detached structure,Industrial, , 
2017, , ,1025,1,0,1,1960, ,Detached house,Residential, , 
2018, , ,0,0,0,2,0, ,Garage or shed,Other, , 
2019, , ,8530,0,0,1,0, ,Detached structure,Transportation, , 
2020, , ,1031,1,0,1.25,1925, ,Detached house,Residential, , 
2021, , ,2883,1,0,2,1959, ,Detached house,Residential, , 
2022, , ,567,0,0,0,0,Restrooms and consessions,Detached structure,Mass Assembly, , 
2023, , ,0,0,0,2,0, ,Garage or shed,Other, , 
2024, , ,95922,0,0,3,0, ,Garage or shed,Industrial, , 
2025, , ,1965,1,0,2,1940, ,Detached house,Residential, , 
2026, , ,1850,1,0,1.25,1957, ,Detached house,Residential, , 
2027, , ,1506,1,0,1,1955, ,Detached house,Residential, , 
2028, , ,1654,1,0,2,1958, ,Detached house,Residential, , 
2029, , ,98864,0,0,4,1989,Self Storage,Detached structure,Industrial, , 
2030, , ,1291,1,0,1.25,1935, ,Detached house,Residential, , 
2031, , ,0,0,0,0,0, ,Garage or shed,Other, , 
