,,
,Files Provided Data Dictionary,List Number of records
,,
,SBDD File Geodatabase,1
,BB_Service_Address,
,BB_Service_Road_Segment,80711
,BB_Service_CensusBlock,422434
,BB_Service_CAInstitutions,6361
,BB_Service_Wireless,45
,BB_Service_Overview,
,BB_ConnectionPoint_LastMile,
,BB_ConnectionPoint_MiddleMile,414
