FID,HEIGHT_DIS,COMMENTS
1,HD6,By Zone
3,HD3,30/50
2,HD5,"77, 82 if 60% of first floor used for retail"
4,HD4,66
5,HD4,50
9,HD4,50
8,HD4,50
6,HD4,45
7,HD4,66
10,HD4,77 Max. 50 Avg.
11,HD4,30
12,HD4,30
14,HD4,30
13,HD4,77
15,HD4,50
18,HD4,30
16,HD4,77 Max. 50 Avg.
17,HD4,100
20,HD2,50
19,HD4,66
21,HD4,50
22,HD4,77
23,HD4,77 (50 along N. Royal)
24,HD4,45
25,HD4,45
26,HD4,50
27,HD4,100
28,HD6,By Zone
29,HD1,50
30,HD6,By Zone
