OBJECTID,UNITID,UNITID2,COMPKEY,UNITTYPE,MOS_ID,NAME,ADDRESS,COMMENTS,FEATURE_TO,FEATURE_FR,COMPTYPE,MAINCOMP1,MAINCOMP2,DITCH_LENGTH,MAINT_ZONE,MAP_NO,HUC,BASE_WID,CHAN_WID,BANK_HT,REC_WATER,COMMENTS2,CATEGORY
1001,0520-2864-R,0520-5427-R,765618,DITCH,NA, , , ,ASSET_STORM_NODE,ASSET_STORM_NODE,28,32,32,,,G05,CB25,2,6,3,,,
2001,S1184,S1185,1264195,ORD,NA,Viking Drive, , ,ASSET_STORM_NODE,ASSET_STORM_NODE,28,32,32,,,H07,CB25,6,15,3.5,,,
2002,S1185,S1186,1264196,ORD,NA,Viking Drive, , ,ASSET_STORM_NODE,ASSET_STORM_NODE,28,32,32,,,H07,CB25,5,8,2,,,
1002,0520-3772-R,0520-0701-R,765624,DITCH,NA, , , ,ASSET_STORM_NODE,ASSET_STORM_NODE,28,32,32,,,G05,CB25,0.5,4,3,,,
2003,S1186,S1187,1264197,ORD,NA, , , ,ASSET_STORM_NODE,ASSET_STORM_NODE,28,32,32,,,H07,CB25,5,8,2.5,,,
1003,0520-5427-R,0520-0851-R,765620,DITCH,NA, , , ,ASSET_STORM_NODE,ASSET_STORM_NODE,28,32,32,,,G05,CB25,2,6,3,,,
2004,S1188,S1189,1264198,MOS,NA, , , ,ASSET_STORM_NODE,ASSET_STORM_NODE,28,32,32,,,H07,CB25,4,6,4,,,
2005,S1189,S1190,1264199,MOS,NA, , , ,ASSET_STORM_NODE,ASSET_STORM_NODE,28,32,32,,,H07,CB25,6,10,4,,,
1004,0520-END-R,0520-5531-R,765613,DITCH,NA, , , ,ASSET_STORM_NODE,ASSET_STORM_NODE,28,32,32,,,G05,CB25,1,3,2,,,
2006,S1191,S1192,1264200,MOS,NA,Grumman Square, , ,ASSET_STORM_NODE,ASSET_STORM_NODE,28,32,32,,,H07,CB25,8,20,10,,,
1005,0520-5531-R,0520-2864-R,765616,DITCH,NA, , , ,ASSET_STORM_NODE,ASSET_STORM_NODE,28,32,32,,,G05,CB25,1,3,2,,,
2007,S1192,S1193,1264201,MOS,NA,Grumman Square, , ,ASSET_STORM_NODE,ASSET_STORM_NODE,28,32,32,,,H07,CB25,8,20,10,,,
1006,0521-0542-L,0521-5978-L,764252,DITCH,NA, , , ,ASSET_STORM_NODE,ASSET_STORM_NODE,28,32,32,,,A08,JK54,0.5,4,1,,,
2008,S1193,S1194,1264202,MOS,NA,Grumman Square, , ,ASSET_STORM_NODE,ASSET_STORM_NODE,28,32,32,,,H07,CB25,5,22,10,,,
1007,0521-0542-L,0521-5978-L,764252,DITCH,NA, , , ,ASSET_STORM_NODE,ASSET_STORM_NODE,28,32,32,,,A08,JK54,0.5,4,1,,,
2009,S1194,S1195,1264203,MOS,NA,Grumman Square, , ,ASSET_STORM_NODE,ASSET_STORM_NODE,28,32,32,,,H07,CB25,6,20,8,,,
1008,0521-3912-L,0521-1041-L,764256,DITCH,NA, , , ,ASSET_STORM_NODE,ASSET_STORM_NODE,28,32,32,,,A08,JK54,0.5,3,0.5,,,
2010,S1195,S1196,1264204,MOS,NA,Grumman Square, , ,ASSET_STORM_NODE,ASSET_STORM_NODE,28,32,32,,,H07,CB25,6,20,8,,,
1009,0521-3912-R,0521-1041-R,764262,DITCH,NA, , , ,ASSET_STORM_NODE,ASSET_STORM_NODE,28,32,32,,,A08,JK54,0.5,3,1,,,
2011,S1196,S1197,1264205,MOS,NA,Grumman Square, , ,ASSET_STORM_NODE,ASSET_STORM_NODE,28,32,32,,,H07,CB25,7,15,3,,,
1010,0521-5296-R,0521-0542-R,764259,DITCH,NA, , , ,ASSET_STORM_NODE,ASSET_STORM_NODE,28,32,32,,,A08,JK54,1,5,1,,,
2012,S1207,S1208,1264214,ORD,NA,Grumman Square, , ,ASSET_STORM_NODE,ASSET_STORM_NODE,28,32,32,,,H07,CB25,15,20,4,,,
1011,0521-5978-L,0521-3912-L,764254,DITCH,NA, , , ,ASSET_STORM_NODE,ASSET_STORM_NODE,28,32,32,,,A08,JK54,0.5,3,0.5,,,
2013,S1208,S1215,1264215,ORD,NA, , , ,ASSET_STORM_NODE,ASSET_STORM_NODE,28,32,32,,,H07,CB25,10,12,2,,,
1012,0525-0353-L,0525-0306-L,766822,DITCH,NA, , , ,ASSET_STORM_NODE,ASSET_STORM_NODE,28,32,32,,,M07,AO23,1,5,2,,,
2014,S1209,S1210,1264216,ORD,NA,Grumman Square, , ,ASSET_STORM_NODE,ASSET_STORM_NODE,28,32,32,,,H07,CB25,15,20,4,,,
1013,0525-0353-R,0525-0306-R,766825,DITCH,NA, , , ,ASSET_STORM_NODE,ASSET_STORM_NODE,28,32,32,,,M07,AO23,1,2,1,,,
2015,S1210,S1211,1264217,ORD,NA,Grumman Square, , ,ASSET_STORM_NODE,ASSET_STORM_NODE,28,32,32,,,H07,CB25,10,18,3.5,,,
1014,0525-0530-R,0525-0353-R,766838,DITCH,NA, , , ,ASSET_STORM_NODE,ASSET_STORM_NODE,28,32,32,,,M07,AO23,1,2,2,,,
1015,0530-0001-R,0530-0133-R,766645,DITCH,NA, , , ,ASSET_STORM_NODE,ASSET_STORM_NODE,28,32,32,,,M06,CB25,1,7,3,,,
2016,S1212,S1213,1264218,ORD,NA,Grumman Square, , ,ASSET_STORM_NODE,ASSET_STORM_NODE,28,32,32,,,H07,CB25,16,20,3,,,
1016,0530-0002-L,0530-0003-L,766658,DITCH,NA, , , ,ASSET_STORM_NODE,ASSET_STORM_NODE,28,32,32,,,M06,CB25,2,4,2,,,
2017,S1213,S1214,1264219,ORD,NA,Grumman Square, , ,ASSET_STORM_NODE,ASSET_STORM_NODE,28,32,32,,,H07,CB25,12,16,2,,,
1017,0530-0002-L,0530-0003-L,766658,DITCH,NA, , , ,ASSET_STORM_NODE,ASSET_STORM_NODE,28,32,32,,,M06,CB25,2,4,2,,,
2018,S1214,S1208,1264220,ORD,NA,Grumman Square, , ,ASSET_STORM_NODE,ASSET_STORM_NODE,28,32,32,,,H07,CB25,10,12,2,,,
1018,0530-0002-R,0530-0003-R,766649,DITCH,NA, , , ,ASSET_STORM_NODE,ASSET_STORM_NODE,28,32,32,,,M06,CB25,1,4,2,,,
2019,S1215,S1216,1264221,ORD,NA, , , ,ASSET_STORM_NODE,ASSET_STORM_NODE,28,32,32,,,H07,CB25,10,12,3,,,
1019,0530-0002-R,0530-0003-R,766649,DITCH,NA, , , ,ASSET_STORM_NODE,ASSET_STORM_NODE,28,32,32,,,M06,CB25,1,4,2,,,
2020,S1216,S1217,1264222,ORD,NA, , , ,ASSET_STORM_NODE,ASSET_STORM_NODE,28,32,32,,,H07,CB25,10,12,3,,,
1020,0530-0003-L,0530-0134-L,766660,DITCH,NA, , , ,ASSET_STORM_NODE,ASSET_STORM_NODE,28,32,32,,,M06,CB25,2,4,2,,,
2021,S1217,S1218,1264223,ORD,NA, , , ,ASSET_STORM_NODE,ASSET_STORM_NODE,28,32,32,,,H07,CB25,8,12,2.5,,,
1021,0530-0003-L,0530-0134-L,766660,DITCH,NA, , , ,ASSET_STORM_NODE,ASSET_STORM_NODE,28,32,32,,,M06,CB25,2,4,2,,,
2022,S1218,S1219,1264224,ORD,NA, , , ,ASSET_STORM_NODE,ASSET_STORM_NODE,28,32,32,,,H07,CB25,12,14,3,,,
1022,0530-0003-R,0530-0134-R,766651,DITCH,NA, , , ,ASSET_STORM_NODE,ASSET_STORM_NODE,28,32,32,,,M06,CB25,1,4,2,,,
2023,S1219,S1220,1264225,ORD,NA, , , ,ASSET_STORM_NODE,ASSET_STORM_NODE,28,32,32,,,H07,CB25,16,24,7,,,
1023,0530-0003-R,0530-0134-R,766651,DITCH,NA, , , ,ASSET_STORM_NODE,ASSET_STORM_NODE,28,32,32,,,M06,CB25,1,4,2,,,
2024,S1221,S1222,1264226,ORD,NA,Landmark Square, , ,ASSET_STORM_NODE,ASSET_STORM_NODE,28,32,32,,,H07,CB25,2,10,4,,,
1024,0530-0133-L,0530-0002-L,766656,DITCH,NA, , , ,ASSET_STORM_NODE,ASSET_STORM_NODE,28,32,32,,,M06,CB25,1,4,3,,,
2025,S1223,S1224,1264227,ORD,NA,Landmark Square, , ,ASSET_STORM_NODE,ASSET_STORM_NODE,28,32,32,,,H07,CB25,2,10,4,,,
1025,0530-0133-R,0530-0002-R,766647,DITCH,NA, , , ,ASSET_STORM_NODE,ASSET_STORM_NODE,28,32,32,,,M06,CB25,1,4,3,,,
2026,S1224,S1225,1264228,ORD,NA,Landmark Square, , ,ASSET_STORM_NODE,ASSET_STORM_NODE,28,32,32,,,H07,CB25,15,20,0.5,,,
1026,0530-0133-R,0530-0002-R,766647,DITCH,NA, , , ,ASSET_STORM_NODE,ASSET_STORM_NODE,28,32,32,,,M06,CB25,1,4,3,,,
2027,S1225,S1226,1264229,ORD,NA,Landmark Square, , ,ASSET_STORM_NODE,ASSET_STORM_NODE,28,32,32,,,H07,CB25,12,30,6,,,
1027,0530-0134-L,0530-0135-L,766662,DITCH,NA, , , ,ASSET_STORM_NODE,ASSET_STORM_NODE,28,32,32,,,M06,CB25,1,3,2,,,
2028,S1227,S1037,1264230,ORD,NA,South Lynnhaven Road, , ,ASSET_STORM_NODE,ASSET_STORM_NODE,28,32,32,,,H07,CB25,3,8,5,,,
1028,0530-0134-L,0530-0135-L,766662,DITCH,NA, , , ,ASSET_STORM_NODE,ASSET_STORM_NODE,28,32,32,,,M06,CB25,1,3,2,,,
2029,S1229,S1224,1264231,ORD,NA,Landmark Square, , ,ASSET_STORM_NODE,ASSET_STORM_NODE,28,32,32,,,H07,CB25,1,3,1.5,,,
1029,0530-0134-R,0530-0135-R,766653,DITCH,NA, , , ,ASSET_STORM_NODE,ASSET_STORM_NODE,28,32,32,,,M06,CB25,1,5,2,,,
2030,S1232,S1236,1264232,MOS,MD06-03C,Newsome,2009 JACK FROST RD, ,ASSET_STORM_NODE,ASSET_STORM_NODE,28,32,32,,,D03,CB26,8,15,6,,,
1030,0530-0135-L,0530-3214-L,766664,DITCH,NA, , , ,ASSET_STORM_NODE,ASSET_STORM_NODE,28,32,32,,,M06,CB25,1,3,2,,,
2031,S1238,S1239,1264237,MOS,MD03-06B,Newsome PS 310,2028 JACK FROST RD,REGULATORY,ASSET_STORM_NODE,ASSET_STORM_NODE,28,32,32,,,D03,CB26,6,8,3.5,,,
1031,0530-0304-L,0530-0733-L,766845,DITCH,NA, , , ,ASSET_STORM_NODE,ASSET_STORM_NODE,28,32,32,,,M07,AO23,2,5,2,,,
2032,S1240,S1244,1264239,MOS,MD03-06A,Newsome Tern,5200 TERN RD,REGULATORY,ASSET_STORM_NODE,ASSET_STORM_NODE,28,32,32,,,D03,CB26,4,6,2,,,
1032,0530-0304-R,0530-0733-R,766857,DITCH,NA, , , ,ASSET_STORM_NODE,ASSET_STORM_NODE,28,32,32,,,M07,AO23,1,4,2,,,
2033,S1249,S1245,1264244,REG,NA,509 HOLLY ROAD,509 HOLLY ROAD,REGULATORY,ASSET_STORM_NODE,ASSET_STORM_NODE,28,32,32,,,M06,CB25,4,6,3,,,
1033,0530-0365-L,0530-0525-L,766849,DITCH,NA, , , ,ASSET_STORM_NODE,ASSET_STORM_NODE,28,32,32,,,M07,AO23,1,4,3,,,
2034,S1251,S1249,1264249,REG,NA,525 26TH STREET,525 26TH STREET,REGULATORY,ASSET_STORM_NODE,ASSET_STORM_NODE,28,32,32,,,M06,CB25,10,15,3,,,
1034,0530-0446-L,0530-0304-L,766843,DITCH,NA, , , ,ASSET_STORM_NODE,ASSET_STORM_NODE,28,32,32,,,M07,AO23,1,4,2,,,
2035,S1252,S1257,1264250,MOS,MD03-06E,Newsome,5020 NEWSOME CIRCLE, ,ASSET_STORM_NODE,ASSET_STORM_NODE,28,32,32,,,D03,CB26,10,22,5,,,
1035,0530-0446-R,0530-0304-R,766855,DITCH,NA, , , ,ASSET_STORM_NODE,ASSET_STORM_NODE,28,32,32,,,M07,AO23,1,5,2,,,
1036,0530-0733-L,0530-0365-L,766847,DITCH,NA, , , ,ASSET_STORM_NODE,ASSET_STORM_NODE,28,32,32,,,M07,AO23,1,4,3,,,
2036,S1258,S1260,1264254,MOS,MD03-06E1,Newsome,5032 FINN RD, ,ASSET_STORM_NODE,ASSET_STORM_NODE,28,32,32,,,D03,CB26,12,20,3,,,
1037,0530-5192-L,0530-0446-L,766841,DITCH,NA, , , ,ASSET_STORM_NODE,ASSET_STORM_NODE,28,32,32,,,M07,AO23,1,6,2,,,
2037,S1261,S1272,1264257,MOS,MD03-06E,Newsome,2009 MEREDITH ROAD, ,ASSET_STORM_NODE,ASSET_STORM_NODE,28,32,32,,,D03,CB26,12,16,2,,,
1038,0530-5662-R,0530-5192-R,766852,DITCH,NA, , , ,ASSET_STORM_NODE,ASSET_STORM_NODE,28,32,32,,,M07,AO23,1,4,2,,,
2038,S1272,S1269,1264267,MOS,MD03-06,Newsome Shore,1932 HORSESHOE BEND,REGULATORY,ASSET_STORM_NODE,ASSET_STORM_NODE,28,32,32,,,D03,CB26,12,15,3,,,
1039,0537-0077-L,0537-0432-L,1158600,DITCH,NA,MUDDY CREEK RD,MUDDY CREEK RD, ,ASSET_STORM_NODE,ASSET_STORM_NODE,28,32,32,,,L18,AS20,0,0,0,,,
2039,S2000,S2002,774069,MOS,ML18-02,Nanneys Creek Road and Muddy Creek Road, , ,ASSET_STORM_NODE,ASSET_STORM_NODE,28,32,32,,,L18,AS20,0,0,0,,,
1040,0537-0077-R,0537-2164-R,1158589,DITCH,NA,MUDDY CREEK RD,MUDDY CREEK RD, ,ASSET_STORM_NODE,ASSET_STORM_NODE,28,32,32,,,L18,AS20,0,0,0,,,
2040,S2004,S2007,774071,ORD,NA,1548 Mill Landing Road,1548 Mill Landing Rd, ,ASSET_STORM_NODE,ASSET_STORM_NODE,28,32,32,,,L19,AS20,4,15,4,,,
1041,0537-0432-L,0537-BRIDGE-L,1158602,DITCH,NA,MUDDY CREEK RD,MUDDY CREEK RD, ,ASSET_STORM_NODE,ASSET_STORM_NODE,28,32,32,,,M17,AS19,0,0,0,,,
2041,S2010,S2011,774075,ORD,NA, , , ,ASSET_STORM_NODE,ASSET_STORM_NODE,28,32,32,,,L19,AS20,0,0,0,,,
2042,S2012,S2013,774076,ORD,NA,Stone Road,4836 STONE RD, ,ASSET_STORM_NODE,ASSET_STORM_NODE,28,32,32,,,L19,AS20,0,0,0,,,
1042,0537-0655-R,0537-BRIDGE-R,1158593,DITCH,NA,MUDDY CREEK RD,MUDDY CREEK RD, ,ASSET_STORM_NODE,ASSET_STORM_NODE,28,32,32,,,M17,AS19,0,0,0,,,
2043,S2013,S2016,774077,ORD,NA,Stone Road,4836 STONE RD, ,ASSET_STORM_NODE,ASSET_STORM_NODE,28,32,32,,,L19,AS20,0,0,0,,,
2044,S2018,S2021,774078,ORD,NA,Ray Way,RAY WAY, ,ASSET_STORM_NODE,ASSET_STORM_NODE,28,32,32,,,L20,AS20,0,0,0,,,
