OBJECTID,FCODE,SOURCE,MODIFIED_DATE,SHAPElen
4062,Sea Wall,Aerial 2004,2004-03-12T12:00:00.000Z,34.041641
4063,Sea Wall,Aerial 2004,2004-03-12T12:00:00.000Z,669.547906
4064,Sea Wall,Aerial 2004,2004-03-12T12:00:00.000Z,298.25079
4065,Sea Wall,Aerial 2004,2004-03-12T12:00:00.000Z,213.49311
4066,Sea Wall,Aerial 2004,2004-03-12T12:00:00.000Z,135.07305
4067,Sea Wall,Aerial 2004,2004-03-12T12:00:00.000Z,68.788336
4068,Sea Wall,Aerial 2004,2010-08-13T15:02:43.000Z,324.647659
4069,Sea Wall,Aerial 2004,2004-03-12T12:00:00.000Z,100.438174
4070,Sea Wall,Aerial 2004,2004-03-12T12:00:00.000Z,75.594482
4071,Sea Wall,Aerial 2004,2004-03-12T12:00:00.000Z,35.637389
4072,Sea Wall,Aerial 2004,2004-03-12T12:00:00.000Z,214.99089
4073,Sea Wall,Aerial 2004,2004-03-12T12:00:00.000Z,101.626294
4074,Sea Wall,Aerial 2004,2004-03-12T12:00:00.000Z,109.438955
4075,Sea Wall,Aerial 2004,2004-03-12T12:00:00.000Z,189.74551
4076,Sea Wall,Aerial 2004,2004-03-12T12:00:00.000Z,58.75524
4077,Sea Wall,Aerial 2004,2004-03-12T12:00:00.000Z,311.341254
4078,Sea Wall,Aerial 2004,2004-03-12T12:00:00.000Z,247.347941
4079,Sea Wall,Aerial 2004,2004-03-12T12:00:00.000Z,84.519145
4080,Sea Wall,Aerial 2004,2004-03-12T12:00:00.000Z,307.23347
4081,Sea Wall,Aerial 2004,2004-03-12T12:00:00.000Z,251.027438
4082,Sea Wall,Aerial 2004,2004-03-12T12:00:00.000Z,156.295867
4083,Sea Wall,Aerial 2004,2004-03-12T12:00:00.000Z,890.812209
4084,Sea Wall,Aerial 2004,2004-03-12T12:00:00.000Z,447.90053
4085,Sea Wall,Aerial 2004,2004-03-12T12:00:00.000Z,136.596093
4086,Sea Wall,Aerial 2004,2004-03-12T12:00:00.000Z,147.639159
4087,Sea Wall,Aerial 2004,2004-03-12T12:00:00.000Z,152.71907
4088,Sea Wall,Aerial 2004,2004-03-12T12:00:00.000Z,151.164524
4089,Sea Wall,Aerial 2004,2004-03-12T12:00:00.000Z,30.568797
4090,Sea Wall,Aerial 2004,2004-03-12T12:00:00.000Z,598.617053
4091,Sea Wall,Aerial 2004,2004-03-12T12:00:00.000Z,142.772379
4092,Sea Wall,Aerial 2004,2004-03-12T12:00:00.000Z,42.851592
4093,Sea Wall,Aerial 2004,2004-03-12T12:00:00.000Z,396.530408
4094,Sea Wall,Aerial 2004,2004-03-12T12:00:00.000Z,36.89649
4095,Sea Wall,Aerial 2004,2004-03-12T12:00:00.000Z,395.171715
4096,Sea Wall,Aerial 2004,2004-03-12T12:00:00.000Z,151.935464
4097,Sea Wall,Aerial 2004,2004-03-12T12:00:00.000Z,84.263668
4098,Sea Wall,Aerial 2004,2004-03-12T12:00:00.000Z,58.310803
4099,Sea Wall,Aerial 2004,2004-03-12T12:00:00.000Z,44.023257
4100,Sea Wall,Aerial 2004,2004-03-12T12:00:00.000Z,156.308573
4101,Sea Wall,Aerial 2004,2004-03-12T12:00:00.000Z,300.56438
4102,Sea Wall,Aerial 2004,2004-03-12T12:00:00.000Z,182.584633
4103,Sea Wall,Aerial 2004,2004-03-12T12:00:00.000Z,126.156964
4104,Sea Wall,Aerial 2004,2004-03-12T12:00:00.000Z,142.105986
4105,Sea Wall,Aerial 2004,2004-03-12T12:00:00.000Z,143.826495
4106,Sea Wall,Aerial 2004,2004-03-12T12:00:00.000Z,43.766975
4107,Sea Wall,Aerial 2004,2004-03-12T12:00:00.000Z,1396.596331
4108,Sea Wall,Aerial 2004,2004-03-12T12:00:00.000Z,52.841184
4109,Sea Wall,Aerial 2004,2004-03-12T12:00:00.000Z,94.640283
4110,Sea Wall,Aerial 2004,2004-03-12T12:00:00.000Z,747.208355
