OBJECTID,PRECINCTID,NAME,COUNTY,LASTUPDATE,LASTEDITOR,PRECINCTID_1,NAME_1,TOWNSHIP,WINPARTY,TOTBALLOTS,CANDIDATE1,PARTY1,NUMVOTES1,PERCVOTE1,CANDIDATE2,PARTY2,NUMVOTES2,PERCVOTE2,CANDIDATE3,PARTY3,NUMVOTES3,PERCVOTE3
1,623,ALBAN,Fairfax,2014-10-17T08:37:06.648Z,stulad,623,ALBAN,Fairfax County,Terry R. McAuliffe (D),1125,Terry R. McAuliffe (D),Terry R. McAuliffe (D),630,0.56,Robert C. Sarvis (L),Robert C. Sarvis (L),54,0.048,"Ken T. Cuccinelli, II (R)","Ken T. Cuccinelli, II (R)",379,0.336889
2,626,SARATOGA,Fairfax,2014-10-17T08:37:06.648Z,stulad,626,SARATOGA,Fairfax County,Terry R. McAuliffe (D),1623,Terry R. McAuliffe (D),Terry R. McAuliffe (D),849,0.523105,Robert C. Sarvis (L),Robert C. Sarvis (L),75,0.046211,"Ken T. Cuccinelli, II (R)","Ken T. Cuccinelli, II (R)",579,0.356747
3,421,KINGSTOWNE,Fairfax,2014-10-17T08:37:06.648Z,stulad,421,KINGSTOWNE,Fairfax County,Terry R. McAuliffe (D),1449,Terry R. McAuliffe (D),Terry R. McAuliffe (D),832,0.574189,Robert C. Sarvis (L),Robert C. Sarvis (L),58,0.040028,"Ken T. Cuccinelli, II (R)","Ken T. Cuccinelli, II (R)",388,0.267771
4,426,GREENSPRING,Fairfax,2014-10-17T08:37:06.648Z,stulad,426,GREENSPRING,Fairfax County,Terry R. McAuliffe (D),1290,Terry R. McAuliffe (D),Terry R. McAuliffe (D),746,0.578295,Robert C. Sarvis (L),Robert C. Sarvis (L),47,0.036434,"Ken T. Cuccinelli, II (R)","Ken T. Cuccinelli, II (R)",438,0.339535
5,840,WEST SPRINGFIELD,Fairfax,2014-10-17T08:37:06.648Z,stulad,840,WEST SPRINGFIELD,Fairfax County,Terry R. McAuliffe (D),1583,Terry R. McAuliffe (D),Terry R. McAuliffe (D),760,0.480101,Robert C. Sarvis (L),Robert C. Sarvis (L),96,0.060644,"Ken T. Cuccinelli, II (R)","Ken T. Cuccinelli, II (R)",576,0.363866
6,825,CHERRY RUN,Fairfax,2014-10-17T08:37:06.648Z,stulad,825,CHERRY RUN,Fairfax County,Terry R. McAuliffe (D),1484,Terry R. McAuliffe (D),Terry R. McAuliffe (D),725,0.488544,Robert C. Sarvis (L),Robert C. Sarvis (L),71,0.047844,"Ken T. Cuccinelli, II (R)","Ken T. Cuccinelli, II (R)",554,0.373315
7,812,VALLEY,Fairfax,2014-10-17T08:37:06.648Z,stulad,812,VALLEY,Fairfax County,Terry R. McAuliffe (D),1413,Terry R. McAuliffe (D),Terry R. McAuliffe (D),664,0.469922,Robert C. Sarvis (L),Robert C. Sarvis (L),54,0.038217,"Ken T. Cuccinelli, II (R)","Ken T. Cuccinelli, II (R)",545,0.385704
8,417,GARFIELD,Fairfax,2014-10-17T08:37:06.648Z,stulad,417,GARFIELD,Fairfax County,Terry R. McAuliffe (D),1248,Terry R. McAuliffe (D),Terry R. McAuliffe (D),691,0.553686,Robert C. Sarvis (L),Robert C. Sarvis (L),43,0.034455,"Ken T. Cuccinelli, II (R)","Ken T. Cuccinelli, II (R)",415,0.332532
9,842,PARKWAY,Fairfax,2014-10-17T08:37:06.648Z,stulad,842,PARKWAY,Fairfax County,Terry R. McAuliffe (D),1242,Terry R. McAuliffe (D),Terry R. McAuliffe (D),560,0.450886,Robert C. Sarvis (L),Robert C. Sarvis (L),54,0.043478,"Ken T. Cuccinelli, II (R)","Ken T. Cuccinelli, II (R)",493,0.39694
10,130,TERRA CENTRE,Fairfax,2014-10-17T08:37:06.648Z,stulad,130,TERRA CENTRE,Fairfax County,Terry R. McAuliffe (D),1268,Terry R. McAuliffe (D),Terry R. McAuliffe (D),649,0.51183,Robert C. Sarvis (L),Robert C. Sarvis (L),53,0.041798,"Ken T. Cuccinelli, II (R)","Ken T. Cuccinelli, II (R)",442,0.34858
11,129,KEENE MILL,Fairfax,2014-10-17T08:37:06.648Z,stulad,129,KEENE MILL,Fairfax County,Terry R. McAuliffe (D),861,Terry R. McAuliffe (D),Terry R. McAuliffe (D),430,0.499419,Robert C. Sarvis (L),Robert C. Sarvis (L),37,0.042973,"Ken T. Cuccinelli, II (R)","Ken T. Cuccinelli, II (R)",300,0.348432
