OBJECTID,CE_PLAT_NUM,CE_CHAIN_ID,CE_RIGHT_FROM,CE_LEFT_FROM,CE_RIGHT_TO,CE_LEFT_TO,CE_RF_SUB,CE_LF_SUB,CE_RT_SUB,CE_LT_SUB,CE_C_STAT,CE_LOUD_ID,CE_UPD_DATE,ST_CHAIN_ID,ST_FROM,ST_TO,ST_STR_NAME,ST_DIR_SUF,ST_STR_TYPE,ST_DIR_PREF,ST_PO,ST_SUBDV,ST_CDATE,ST_SUBDV_SEC,ST_JURIS,ST_STR_DIR,ST_RTNO
195018,2003-0510,6571,25217,0,25249,0,0,0,0,0,1,19703,2009-02-24T00:00:00.000Z,6571,RYAN RD,BRADDOCK RD,LOUDOUN COUNTY, ,PKWY, ,ASHBURN, ,2005-07-26T00:00:00.000Z, ,COUNTY,NS,606
195019, ,6571,0,25100,0,25148,0,0,0,0, ,15392,2008-10-24T00:00:00.000Z,6571,RYAN RD,BRADDOCK RD,LOUDOUN COUNTY, ,PKWY, ,ASHBURN, ,2005-07-26T00:00:00.000Z, ,COUNTY,NS,606
195020,2000-0156,6571,25401,0,25499,0,0,0,0,0, ,17036,2007-07-31T00:00:00.000Z,6571,RYAN RD,BRADDOCK RD,LOUDOUN COUNTY, ,PKWY, ,ASHBURN, ,2005-07-26T00:00:00.000Z, ,COUNTY,NS,606
195021,2000-0178,6571,25251,0,25399,0,0,0,0,0, ,17035,2007-07-31T00:00:00.000Z,6571,RYAN RD,BRADDOCK RD,LOUDOUN COUNTY, ,PKWY, ,ASHBURN, ,2005-07-26T00:00:00.000Z, ,COUNTY,NS,606
195022, ,6571,0,24900,0,25098,0,0,0,0, ,15393,2007-07-31T00:00:00.000Z,6571,RYAN RD,BRADDOCK RD,LOUDOUN COUNTY, ,PKWY, ,ASHBURN, ,2005-07-26T00:00:00.000Z, ,COUNTY,NS,606
195023, ,1236,0,22795,0,22898,0,0,0,0,1,18106,2007-07-31T00:00:00.000Z,1236,HARRY BYRD HWY,FAIRFAX COUNTY,SULLY, ,RD, ,STERLING, ,1911-01-01T00:00:00.000Z, ,COUNTY,NS,28
195024, ,6571,24901,0,25073,0,0,0,0,0,1,17031,2007-07-31T00:00:00.000Z,6571,RYAN RD,BRADDOCK RD,LOUDOUN COUNTY, ,PKWY, ,ASHBURN, ,2005-07-26T00:00:00.000Z, ,COUNTY,NS,606
195025, ,6571,25075,0,25099,0,0,0,0,0,1,18411,2007-07-31T00:00:00.000Z,6571,RYAN RD,BRADDOCK RD,LOUDOUN COUNTY, ,PKWY, ,ASHBURN, ,2005-07-26T00:00:00.000Z, ,COUNTY,NS,606
195026, ,1038,19501,19500,19965,19964,0,0,0,0,1,18584,2013-10-11T00:00:00.000Z,1038,TELEGRAPH SPRINGS RD,JEB STUART RD,GREGGSVILLE, ,RD, ,PURCELLVILLE, ,1998-07-30T00:00:00.000Z, ,COUNTY,NS,622
195027,2000-0395,4882,22651,22650,22657,22656,0,0,0,0, ,8992,,4882,STATE ST,LAMOREAUX LANDING SQ,NARRAGANSETT, ,TE, ,ASHBURN,LOUDOUN PARKWAY CENTER,2001-04-18T00:00:00.000Z,27B,COUNTY,NS,PAE-U
