OBJECTID,HS_NAME,HS_ADDRESS,HS_PHONE,HS_Website
5,Granby High School,7101 Granby Street,(757) 451-4110,http://schools.nps.k12.va.us/ghs/
6,Norview High School,6501 Chesapeake Boulevard,(757) 852-4500,http://schools.nps.k12.va.us/nhs/
3,Lake Taylor High School,1384 Kempsville Road,(757) 892-3200,http://schools.nps.k12.va.us/lths/
9,Lake Taylor High School,1384 Kempsville Road,(757) 892-3200,http://schools.nps.k12.va.us/lths/
7,Booker T. Washington High School,1111 Park Avenue,(757) 628-3575,http://schools.nps.k12.va.us/btw/
4,Maury High School,322 Shirley Avenue,(757) 628-3344,http://schools.nps.k12.va.us/mhs/
8,Booker T. Washington High School,1111 Park Avenue,(757) 628-3575,http://schools.nps.k12.va.us/btw/
2,Norview High School,6501 Chesapeake Boulevard,(757) 852-4500,http://schools.nps.k12.va.us/nhs/
1,Granby High School,7101 Granby Street,(757) 451-4110,http://schools.nps.k12.va.us/ghs/
