FID,STPFX,STNAME,STTYPE,L_F_ADD,L_T_ADD,R_F_ADD,R_T_ADD,FULLNAME,BLK_NUM,RD_CLASS,FLOW,OWNER,SPEED_P
1,N,ARMISTEAD,ST,N/A,N/A,N/A,N/A,N ARMISTEAD ST,0,Local,Normal,City,25
1001,N,LANGLEY,ST,310,322,309,327,N LANGLEY ST,300,Local,Normal,City,25
2,N,ARMISTEAD,ST,600,698,601,671,N ARMISTEAD ST,600,Local,Normal,Private,25
3,E,LURAY,AV,200,216,201,217,E LURAY AV,200,Local,Normal,City,25
4,E,LURAY,AV,100,114,101,113,E LURAY AV,100,Local,Normal,City,25
5,E,LURAY,AV,2,10,1,7,E LURAY AV,1,Local,Normal,City,25
6,N,PEGRAM,ST,700,708,701,741,N PEGRAM ST,700,Local,Normal,City,25
3001, ,SWANN,AV,432,444,437,445,SWANN AV,400,Local,Normal,City,25
7,N,JORDAN,ST,700,712,701,713,N JORDAN ST,700,Residential Collector,Normal,City,25
8, ,DUKE,ST,N/A,N/A,3360,3300,DUKE ST,3300,Arterial,Divided,City,35
9,E,GLENDALE,AV,300,310,301,311,E GLENDALE AV,300,Local,Normal,City,25
10,N,QUAKER,LA,N/A,N/A,701,703,N QUAKER LA,700,Arterial,Normal,City,35
11,N,PAXTON,ST,600,610,601,617,N PAXTON ST,600,Local,Normal,City,25
12,W,ALEXANDRIA,AV,204,214,203,205,W ALEXANDRIA AV,200,Local,Normal,City,25
13,E,GLENDALE,AV,200,216,201,217,E GLENDALE AV,200,Local,Normal,City,25
14,E,GLENDALE,AV,100,124,101,127,E GLENDALE AV,100,Local,Normal,City,25
15,N,PEGRAM,ST,500,520,501,541,N PEGRAM ST,500,Local,Normal,City,25
4001, ,HOLLAND,LA,N/A,N/A,N/A,N/A,HOLLAND LA,0,Arterial,Circle,City,25
16,N,LATHAM,ST,484,498,485,495,N LATHAM ST,400,Local,Normal,City,25
17,N,PATRICK,ST,932,960,931,959,N PATRICK ST,900,Arterial,One Way,City,25
18,E,SPRING,ST,2,16,3,17,E SPRING ST,1,Local,Normal,City,25
19,N,PICKETT,ST,328,332,327,327,N PICKETT ST,300,Local,Normal,City,25
20, ,POWHATAN,ST,N/A,N/A,1320,1314,POWHATAN ST,1300,Residential Collector,Divided,City,25
21,S,BRAGG,ST,N/A,N/A,N/A,N/A,S BRAGG ST,0,Local,Normal,City,25
22,N,PAXTON,ST,332,360,331,359,N PAXTON ST,300,Residential Collector,Normal,City,25
23,N,ROYAL,ST,1000,1072,1001,1059,N ROYAL ST,1000,Local,Normal,City,25
24,N,GORDON,ST,400,428,401,417,N GORDON ST,400,Local,Normal,City,25
25,E,MYRTLE,ST,2,28,1,31,E MYRTLE ST,1,Local,Normal,City,25
26,N,LATHAM,ST,330,336,309,327,N LATHAM ST,300,Local,Normal,City,25
27,N,PAXTON,ST,300,330,301,329,N PAXTON ST,300,Residential Collector,Normal,City,25
28,E,MASONIC VIEW,AV,200,204,201,205,E MASONIC VIEW AV,200,Local,Normal,City,25
29,N,PAXTON,ST,200,230,201,229,N PAXTON ST,200,Residential Collector,Normal,City,25
30,N,VAN DORN,ST,N/A,N/A,10,20,N VAN DORN ST,1,Arterial,Divided,City,25
31,N,GORDON,ST,300,334,301,321,N GORDON ST,300,Local,Normal,City,25
32,N,PATRICK,ST,800,860,801,859,N PATRICK ST,800,Arterial,One Way,City,25
33,S,VAN DORN,ST,N/A,N/A,N/A,N/A,S VAN DORN ST,0,Ramp,One Way,City,25
34,E,OAK,ST,N/A,N/A,N/A,N/A,E OAK ST,0,Local,Normal,City,25
35,E,OAK,ST,100,106,101,107,E OAK ST,100,Local,Normal,City,25
36,N,WEST,ST,700,760,701,759,N WEST ST,700,Primary Collector,Normal,City,25
37,N,ROYAL,ST,800,860,801,859,N ROYAL ST,800,Local,Normal,City,25
38,N,FRENCH,ST,128,148,113,147,N FRENCH ST,100,Local,Normal,City,25
