FID,STPFX,STNAME,STTYPE,L_F_ADD,L_T_ADD,R_F_ADD,R_T_ADD,FULLNAME,BLK_NUM,RD_CLASS,FLOW,OWNER,SPEED_P
39,N,PICKETT,ST,200,200,285,311,N PICKETT ST,200,Residential Collector,Normal,City,25
40,N,PAYNE,ST,600,660,601,659,N PAYNE ST,600,Local,Normal,City,25
41,N,ROYAL,ST,700,760,701,759,N ROYAL ST,700,Local,Normal,City,25
42,E,MAPLE,ST,100,124,101,123,E MAPLE ST,100,Local,Normal,City,25
43,N,JORDAN,ST,N/A,N/A,N/A,N/A,N JORDAN ST,0,Primary Collector,Normal,City,25
44,E,MAPLE,ST,2,34,1,35,E MAPLE ST,1,Local,Normal,City,25
45,N,PICKETT,ST,N/A,N/A,N/A,N/A,N PICKETT ST,0,Local,Normal,City,25
46,N,IVERSON,ST,800,826,N/A,N/A,N IVERSON ST,800,Local,Normal,City,25
47,S,INGRAM,ST,N/A,N/A,N/A,N/A,S INGRAM ST,0,Local,Normal,City,25
48,N,PATRICK,ST,600,660,601,699,N PATRICK ST,600,Arterial,One Way,City,25
49,N,EARLY,ST,100,150,101,141,N EARLY ST,100,Local,Normal,City,25
50,N,GORDON,ST,2,90,1,91,N GORDON ST,1,Local,Normal,City,25
51,N,GORDON,ST,N/A,N/A,N/A,N/A,N GORDON ST,0,Local,Normal,City,25
52,N,COLUMBUS,ST,600,660,601,659,N COLUMBUS ST,600,Residential Collector,Normal,City,25
53,W,BRADDOCK,RD,N/A,N/A,3901,3921,W BRADDOCK RD,3900,Primary Collector,Divided,City,35
54,N,BEAUREGARD,ST,N/A,N/A,1401,1459,N BEAUREGARD ST,1400,Arterial,Divided,City,25
55,E,LINDEN,ST,100,124,101,129,E LINDEN ST,100,Local,Normal,City,25
56,N,WASHINGTON,ST,600,660,601,697,N WASHINGTON ST,600,Arterial,Normal,City,25
57,W,WALNUT,ST,300,306,301,307,W WALNUT ST,300,Local,Normal,City,25
58,S,HIGHVIEW,LA,1465,1469,N/A,N/A,S HIGHVIEW LA,1400,Local,Normal,Private,25
59,N,WEST,ST,500,566,501,559,N WEST ST,500,Primary Collector,Normal,City,25
60,N,QUAKER,LA,N/A,N/A,1301,1303,N QUAKER LA,1300,Arterial,Divided,City,25
61,N,PAYNE,ST,500,560,501,559,N PAYNE ST,500,Local,Normal,City,25
62,E,OXFORD,AV,200,222,201,223,E OXFORD AV,200,Local,Normal,City,25
63,W,BRADDOCK,RD,N/A,N/A,3601,3659,W BRADDOCK RD,3600,Primary Collector,Divided,City,35
64,S,INGRAM,ST,2,14,1,15,S INGRAM ST,1,Local,Normal,City,25
65,E,OXFORD,AV,100,112,101,111,E OXFORD AV,100,Local,Normal,City,25
66,S,ALFRED,ST,400,460,401,459,S ALFRED ST,400,Local,Normal,City,25
67,S,SAINT ASAPH,ST,400,460,401,459,S SAINT ASAPH ST,400,Local,Normal,City,25
68,N,ROYAL,ST,600,660,601,659,N ROYAL ST,600,Local,Normal,City,25
69,N,BEAUREGARD,ST,N/A,N/A,3003,3451,N BEAUREGARD ST,3400,Arterial,Divided,City,25
70,S,VAN DORN,ST,N/A,N/A,180,100,S VAN DORN ST,100,Arterial,Divided,City,25
71,W,CAMPUS,DR,N/A,N/A,N/A,N/A,W CAMPUS DR,0,Local,Normal,Private,25
72,S,FRENCH,ST,N/A,N/A,N/A,N/A,S FRENCH ST,0,Local,Normal,City,25
73, ,BESSLEY,PL,N/A,N/A,5264,5256,BESSLEY PL,5200,Local,Circle,Private,25
74, ,LIVERMORE,LA,N/A,N/A,365,371,LIVERMORE LA,300,Local,Normal,Private,25
75,E,TIMBER BRANCH,PY,N/A,N/A,709,719,E TIMBER BRANCH PY,700,Local,Normal,City,25
76,N,ROSSER,ST,3100,3126,3101,3127,N ROSSER ST,3100,Local,Normal,City,25
77,E,TIMBER BRANCH,PY,N/A,N/A,801,825,E TIMBER BRANCH PY,800,Local,Normal,City,25
78, ,SEMINARY,RD,N/A,N/A,N/A,N/A,SEMINARY RD,0,Arterial,Divided,City,25
79,W,GLENDALE,AV,200,208,201,209,W GLENDALE AV,200,Local,One Way,City,25
80,N,ROSSER,ST,2900,2918,N/A,N/A,N ROSSER ST,2900,Local,Normal,City,25
81,W,GLENDALE,AV,300,306,301,307,W GLENDALE AV,300,Local,One Way,City,25
82,W,MASONIC VIEW,AV,200,208,201,209,W MASONIC VIEW AV,200,Local,Normal,City,25
83,W,MASONIC VIEW,AV,300,310,301,311,W MASONIC VIEW AV,300,Local,Normal,City,25
84,N,QUAKER,LA,N/A,N/A,N/A,N/A,N QUAKER LA,2100,Ramp,One Way,City,25
85,N,HAMPTON,DR,N/A,N/A,N/A,N/A,N HAMPTON DR,3100,Primary Collector,Divided,City,25
1002, ,POWHATAN,ST,N/A,N/A,1026,1000,POWHATAN ST,1000,Residential Collector,Divided,City,25
86,W,WALNUT,ST,N/A,N/A,N/A,N/A,W WALNUT ST,0,Local,Normal,City,25
87,S,PATRICK,ST,107,101,106,100,S PATRICK ST,100,Arterial,One Way,City,25
88,N,HAMPTON,DR,N/A,N/A,N/A,N/A,N HAMPTON DR,0,Primary Collector,Divided,City,25
1003,W,DEL RAY,AV,N/A,N/A,N/A,N/A,W DEL RAY AV,0,Local,Normal,City,25
89,S,PATRICK,ST,129,109,130,108,S PATRICK ST,100,Arterial,One Way,City,25
1004,S,HENRY,ST,200,204,201,203,S HENRY ST,200,Arterial,One Way,City,25
90,S,OVERLOOK,DR,N/A,N/A,601,603,S OVERLOOK DR,600,Local,Normal,City,25
1005,W,DEL RAY,AV,N/A,N/A,N/A,N/A,W DEL RAY AV,0,Local,Normal,City,25
91,N,STEVENS,ST,N/A,N/A,N/A,N/A,N STEVENS ST,2800,Local,Normal,City,25
1006,E,DEL RAY,AV,N/A,N/A,N/A,N/A,E DEL RAY AV,0,Local,Normal,City,25
1007,N,VAIL,ST,1000,1014,1001,1015,N VAIL ST,1000,Local,Normal,City,25
92,S,ALFRED,ST,100,104,101,105,S ALFRED ST,100,Local,Normal,City,25
1008,S,HENRY,ST,206,222,205,223,S HENRY ST,200,Arterial,One Way,City,25
93,N,ROSSER,ST,N/A,N/A,N/A,N/A,N ROSSER ST,2800,Local,Normal,City,25
1009, ,FIRST,ST,N/A,N/A,N/A,N/A,FIRST ST,0,Local,Normal,City,25
94,E,REED,AV,14,60,11,53,E REED AV,1,Residential Collector,Normal,City,25
1010,E,DEL RAY,AV,N/A,N/A,N/A,N/A,E DEL RAY AV,0,Local,Normal,City,25
95,S,ALFRED,ST,106,160,107,159,S ALFRED ST,100,Local,Normal,City,25
1011, ,FIRST,ST,N/A,N/A,N/A,N/A,FIRST ST,0,Local,Normal,City,25
96,W,LINDEN,ST,2,20,1,21,W LINDEN ST,1,Local,Normal,City,25
1012,S,PATRICK,ST,203,201,204,200,S PATRICK ST,200,Arterial,One Way,City,25
97,S,OVERLOOK,DR,800,812,801,813,S OVERLOOK DR,800,Local,Normal,City,25
1013,N,TERRILL,ST,1000,1014,1001,1015,N TERRILL ST,1000,Local,Normal,City,25
98,S,FLOYD,ST,N/A,N/A,N/A,N/A,S FLOYD ST,0,Local,Normal,City,25
1014,N,GARLAND,ST,4101,4115,4100,4118,N GARLAND ST,4100,Local,Normal,City,25
99,S,OVERLOOK,DR,700,720,701,719,S OVERLOOK DR,700,Local,Normal,City,25
3002, ,HIGH,ST,400,406,401,405,HIGH ST,400,Residential Collector,Normal,City,25
1015, ,RAYBURN,AV,N/A,N/A,N/A,N/A,RAYBURN AV,0,Local,Circle,City,25
100,N,WEST,ST,400,460,401,459,N WEST ST,400,Primary Collector,Normal,City,25
1016,W,WYATT,AV,N/A,N/A,N/A,N/A,W WYATT AV,0,Local,Normal,City,25
101,S,FRENCH,ST,2,18,1,13,S FRENCH ST,1,Local,Normal,City,25
1017,S,PATRICK,ST,211,205,216,206,S PATRICK ST,200,Arterial,One Way,City,25
102,E,REED,AV,2,12,1,9,E REED AV,1,Residential Collector,Normal,City,25
3003, ,BAGGETT,PL,100,198,101,123,BAGGETT PL,100,Local,Normal,City,25
1018,S,PATRICK,ST,229,213,230,218,S PATRICK ST,200,Arterial,One Way,City,25
103,N,HAMPTON,DR,N/A,N/A,3101,3159,N HAMPTON DR,3100,Primary Collector,Divided,City,25
3004, ,RICHENBACHER,AV,5300,5318,5301,5313,RICHENBACHER AV,5300,Local,Normal,City,25
104,S,FAYETTE,ST,100,120,101,113,S FAYETTE ST,100,Local,Normal,City,25
3005, ,HIGH,ST,500,504,501,511,HIGH ST,500,Residential Collector,Normal,City,25
1019,W,WYATT,AV,N/A,N/A,N/A,N/A,W WYATT AV,0,Local,Normal,City,25
3006, ,CAMERON,ST,400,460,401,459,CAMERON ST,400,Local,Normal,City,25
105,N,LEE,ST,100,106,101,125,N LEE ST,100,Local,Normal,City,25
3007, ,BERNARD,ST,1000,1060,1001,1059,BERNARD ST,1000,Local,Normal,City,25
106,S,VAN DORN,ST,N/A,N/A,350,300,S VAN DORN ST,300,Arterial,Divided,City,25
1020, ,RAYBURN,AV,N/A,N/A,N/A,N/A,RAYBURN AV,0,Local,Circle,City,25
107,S,HENRY,ST,100,116,101,121,S HENRY ST,100,Arterial,One Way,City,25
3008, ,CAMERON,ST,300,360,301,359,CAMERON ST,300,Local,Normal,City,25
1021,N,QUAKER,LA,N/A,N/A,N/A,N/A,N QUAKER LA,0,Arterial,Divided,City,25
3009, ,CAMERON,ST,200,260,201,259,CAMERON ST,200,Local,Normal,City,25
1022,E,OXFORD,AV,N/A,N/A,N/A,N/A,E OXFORD AV,0,Local,Normal,City,25
108,S,VAN DORN,ST,N/A,N/A,250,200,S VAN DORN ST,200,Arterial,Divided,City,25
3010, ,RUSSELL,RD,1700,1706,1701,1709,RUSSELL RD,1700,Residential Collector,Normal,City,25
1023,S,HENRY,ST,224,240,225,239,S HENRY ST,200,Arterial,One Way,City,25
109,N,ROYAL,ST,100,160,101,159,N ROYAL ST,100,Local,Normal,City,25
1024,N,BEAUREGARD,ST,N/A,N/A,N/A,N/A,N BEAUREGARD ST,2100,Arterial,Divided,City,25
3011, ,CHINQUAPIN,DR,N/A,N/A,N/A,N/A,CHINQUAPIN DR,1,Local,Circle,City,25
110,S,FAYETTE,ST,122,160,115,159,S FAYETTE ST,100,Local,Normal,City,25
111,N,FAIRFAX,ST,800,860,801,859,N FAIRFAX ST,800,Primary Collector,Normal,City,25
3012, ,CAMERON,ST,100,160,101,159,CAMERON ST,100,Local,Normal,City,25
1025,E,OXFORD,AV,N/A,N/A,N/A,N/A,E OXFORD AV,0,Local,Normal,City,25
4002, ,MARK CENTER,AV,N/A,N/A,N/A,N/A,MARK CENTER AV,2000,Local,Divided,City,25
112,S,VAN DORN,ST,N/A,N/A,401,415,S VAN DORN ST,400,Arterial,Divided,City,25
1026,N,QUAKER,LA,N/A,N/A,N/A,N/A,N QUAKER LA,0,Arterial,Divided,City,25
3013, ,REINEKERS,LA,100,160,101,159,REINEKERS LA,100,Residential Collector,One Way,City,25
113,N,HENRY,ST,759,701,760,700,N HENRY ST,700,Arterial,One Way,City,25
1027,N,BEAUREGARD,ST,N/A,N/A,2001,2059,N BEAUREGARD ST,2000,Arterial,Divided,City,25
3014, ,ORMOND,AV,4200,4208,4201,4209,ORMOND AV,4200,Local,Normal,City,25
4003, ,EISENHOWER,AV,N/A,N/A,1760,1700,EISENHOWER AV,1700,Arterial,Circle,City,25
3015, ,KING,ST,900,960,901,959,KING ST,900,Primary Collector,Normal,City,25
114,N,CHAMBLISS,ST,2400,2406,2401,2407,N CHAMBLISS ST,2400,Local,Normal,City,25
1028,S,HENRY,ST,300,310,301,305,S HENRY ST,300,Arterial,One Way,City,25
4004, ,JOHN CARLYLE,ST,600,660,601,659,JOHN CARLYLE ST,600,Local,Normal,City,25
3016, ,RICHENBACHER,AV,5200,5208,5201,5217,RICHENBACHER AV,5200,Local,Normal,City,25
115,W,TAYLOR RUN,PY,N/A,N/A,N/A,N/A,W TAYLOR RUN PY,0,Residential Collector,Normal,City,25
1029,N,QUAKER,LA,N/A,N/A,N/A,N/A,N QUAKER LA,0,Arterial,Divided,City,25
3017, ,COMMERCE,ST,100,160,101,159,COMMERCE ST,100,Local,Normal,City,25
4005, ,LEE,CT,200,230,201,229,LEE CT,200,Local,Normal,City,25
116,N,ALFRED,ST,700,760,701,759,N ALFRED ST,700,Local,Normal,City,25
1030,W,CATON,AV,N/A,N/A,N/A,N/A,W CATON AV,0,Local,Normal,City,25
4006, ,EISENHOWER,AV,N/A,N/A,2801,2899,EISENHOWER AV,2800,Arterial,Divided,City,35
117,N,COLUMBUS,ST,N/A,N/A,N/A,N/A,N COLUMBUS ST,0,Local,Normal,City,25
1031,W,CATON,AV,N/A,N/A,N/A,N/A,W CATON AV,0,Local,Normal,City,25
3018, ,CALVERT,AV,326,446,401,455,CALVERT AV,400,Local,Normal,City,25
4007, ,PARK CENTER,DR,2601,2603,2600,2602,PARK CENTER DR,2600,Local,Normal,City,25
118, ,DUKE,ST,N/A,N/A,5880,5800,DUKE ST,5800,Arterial,Divided,City,35
1032,S,HENRY,ST,312,320,307,311,S HENRY ST,300,Arterial,One Way,City,25
3019, ,DUKE,ST,700,760,701,777,DUKE ST,700,Residential Collector,Normal,City,25
1033, ,KING,ST,N/A,N/A,N/A,N/A,KING ST,0,Arterial,Divided,City,35
119,N,SAINT ASAPH,ST,700,760,701,759,N SAINT ASAPH ST,700,Local,Normal,City,25
4008, ,FILLMORE,AV,4800,5034,5001,5033,FILLMORE AV,5000,Local,Normal,City,25
3020, ,HUME,AV,400,430,401,417,HUME AV,400,Local,Normal,City,25
4009, ,DOVER,PL,5200,5224,5201,5209,DOVER PL,5200,Local,Normal,City,25
120,N,WASHINGTON,ST,N/A,N/A,N/A,N/A,N WASHINGTON ST,0,Arterial,Normal,City,25
3021, ,JOHN CARLYLE,ST,420,460,421,459,JOHN CARLYLE ST,400,Local,Normal,City,25
1034,N,BEAUREGARD,ST,N/A,N/A,3000,3000,N BEAUREGARD ST,3100,Arterial,Divided,City,25
121,N,LEE,ST,216,260,217,259,N LEE ST,200,Local,Normal,City,25
4010, ,EISENHOWER,AV,N/A,N/A,2901,2999,EISENHOWER AV,2900,Arterial,Divided,City,35
3022, ,CHINQUAPIN,DR,N/A,N/A,N/A,N/A,CHINQUAPIN DR,1,Local,Circle,City,25
1035,E,UHLER,AV,N/A,N/A,N/A,N/A,E UHLER AV,0,Local,Normal,City,25
122,N,PITT,ST,700,760,701,759,N PITT ST,700,Local,Normal,City,25
4011, ,ECHOLS,AV,5000,5000,5001,5001,ECHOLS AV,5100,Local,Normal,City,25
3023, ,HOLLAND,LA,400,460,401,459,HOLLAND LA,400,Arterial,Normal,City,25
1036, ,DUKE,ST,N/A,N/A,1132,1100,DUKE ST,1100,Arterial,Divided,City,25
123,N,PAYNE,ST,300,360,301,359,N PAYNE ST,300,Local,Normal,City,25
4012, ,FOSTER,AV,2600,2658,2601,2641,FOSTER AV,2600,Local,Normal,City,25
1037,E,UHLER,AV,N/A,N/A,N/A,N/A,E UHLER AV,0,Local,Normal,City,25
3024, ,JAMIESON,AV,2100,2100,2191,2199,JAMIESON AV,2100,Local,Normal,City,25
124,N,FAYETTE,ST,600,660,601,659,N FAYETTE ST,600,Local,Normal,City,25
4013, ,SANGER,AV,5500,5560,5501,5559,SANGER AV,5500,Residential Collector,Normal,City,25
1038, ,KING,ST,N/A,N/A,N/A,N/A,KING ST,0,Arterial,Divided,City,35
125,N,LEE,ST,400,460,401,499,N LEE ST,400,Local,Normal,City,25
3025, ,POLK,AV,N/A,N/A,N/A,N/A,POLK AV,0,Local,Normal,City,25
4014, ,GARY,PL,5400,5420,5401,5421,GARY PL,5400,Local,Normal,City,25
1039,W,BRADDOCK,RD,N/A,N/A,N/A,N/A,W BRADDOCK RD,4900,Primary Collector,Divided,City,25
126,N,FAIRFAX,ST,700,760,701,759,N FAIRFAX ST,700,Primary Collector,Normal,City,25
4015, ,WHEELER,AV,4300,4318,4301,4317,WHEELER AV,4300,Local,Normal,City,25
3026, ,NEWCOMB,PL,4600,4628,4601,4615,NEWCOMB PL,4600,Local,Normal,City,25
1040, ,DUKE,ST,N/A,N/A,N/A,N/A,DUKE ST,0,Arterial,One Way,City,25
127,N,PEYTON,ST,100,108,101,109,N PEYTON ST,100,Local,Normal,City,25
4016, ,SAINT JOHN,PL,2500,2508,2501,2511,SAINT JOHN PL,2500,Local,Normal,City,25
1041,W,UHLER,AV,N/A,N/A,N/A,N/A,W UHLER AV,0,Local,Normal,City,25
3027, ,WOLFE,ST,900,960,901,959,WOLFE ST,900,Local,Normal,City,25
128,S,JENKINS,ST,200,238,201,235,S JENKINS ST,200,Local,Normal,City,25
4017, ,HARDING,AV,N/A,N/A,N/A,N/A,HARDING AV,0,Local,Normal,City,25
1042,W,BRADDOCK,RD,N/A,N/A,N/A,N/A,W BRADDOCK RD,4900,Primary Collector,Divided,City,25
129,N,UNION,ST,400,460,401,459,N UNION ST,400,Local,Normal,City,25
3028, ,RICHENBACHER,AV,5100,5104,5101,5105,RICHENBACHER AV,5100,Local,Normal,City,25
1043,W,UHLER,AV,N/A,N/A,N/A,N/A,W UHLER AV,0,Local,Normal,City,25
4018, ,WHEELER,AV,4400,4416,4401,4417,WHEELER AV,4400,Local,Normal,City,25
1044,S,WASHINGTON,ST,N/A,N/A,159,101,S WASHINGTON ST,100,Arterial,Divided,City,25
3029, ,WOLFE,ST,800,860,801,859,WOLFE ST,800,Local,Normal,City,25
130,N,VAN DORN,ST,2600,2622,2601,2645,N VAN DORN ST,2600,Arterial,Normal,City,25
4019, ,ANDERSON,CT,1500,1520,1501,1515,ANDERSON CT,1500,Local,Normal,City,25
131,S,EARLY,ST,N/A,N/A,11,21,S EARLY ST,1,Local,Normal,City,25
3030, ,LESLIE,AV,N/A,N/A,1501,1509,LESLIE AV,1500,Local,Normal,City,25
1045,N,QUAKER,LA,N/A,N/A,1601,1669,N QUAKER LA,1600,Arterial,Divided,City,25
132,N,WEST,ST,100,160,101,159,N WEST ST,100,Primary Collector,Normal,City,25
3031, ,TANEY,AV,5400,5448,5401,5447,TANEY AV,5400,Local,Normal,City,25
4020, ,WHEELER,AV,4200,4216,4201,4217,WHEELER AV,4200,Primary Collector,Normal,City,25
1046,N,BEAUREGARD,ST,N/A,N/A,N/A,N/A,N BEAUREGARD ST,0,Arterial,Divided,City,25
133,N,PATRICK,ST,300,360,301,359,N PATRICK ST,300,Arterial,One Way,City,25
4021, ,CHETWORTH,PL,701,711,700,710,CHETWORTH PL,700,Local,Normal,City,25
1047,W,MOUNT IDA,AV,N/A,N/A,N/A,N/A,W MOUNT IDA AV,0,Local,Normal,City,25
134,N,WASHINGTON,ST,400,460,401,459,N WASHINGTON ST,400,Arterial,Normal,City,25
3032, ,WOLFE,ST,700,760,701,759,WOLFE ST,700,Local,Normal,City,25
4022, ,DEVON,PL,701,709,700,710,DEVON PL,700,Local,Normal,City,25
1048,N,QUAKER,LA,N/A,N/A,N/A,N/A,N QUAKER LA,0,Arterial,Divided,City,25
135,S,WHITING,ST,400,412,401,411,S WHITING ST,400,Residential Collector,Normal,City,25
3033, ,ELIZABETH,LA,500,560,501,559,ELIZABETH LA,500,Local,Normal,City,25
4023, ,WHEELER,AV,4100,4116,4101,4119,WHEELER AV,4100,Primary Collector,Normal,City,25
4024, ,BERNARD,ST,N/A,N/A,731,739,BERNARD ST,700,Local,Normal,City,25
136,N,PAYNE,ST,100,160,101,159,N PAYNE ST,100,Local,Normal,City,25
1049,S,WASHINGTON,ST,N/A,N/A,201,209,S WASHINGTON ST,200,Arterial,Divided,City,25
3034, ,BAYLISS,DR,1300,1334,1301,1329,BAYLISS DR,1300,Local,Normal,City,25
3035, ,WILKES,ST,1400,1460,1501,1559,WILKES ST,1500,Local,Normal,City,25
1050,W,MOUNT IDA,AV,N/A,N/A,N/A,N/A,W MOUNT IDA AV,0,Local,Normal,City,25
4025, ,MARLEE,WY,N/A,N/A,N/A,N/A,MARLEE WY,0,Local,Normal,City,25
137,S,IRIS,ST,86,116,95,121,S IRIS ST,100,Local,Normal,City,25
3036, ,EISENHOWER,AV,N/A,N/A,2401,2423,EISENHOWER AV,2400,Arterial,Divided,City,25
1051,W,BRADDOCK,RD,N/A,N/A,N/A,N/A,W BRADDOCK RD,4900,Primary Collector,Divided,City,25
138,N,COLUMBUS,ST,300,360,301,359,N COLUMBUS ST,300,Local,Normal,City,25
4026, ,DUKE,ST,3752,3760,3747,3757,DUKE ST,3700,Arterial,Normal,City,35
3037, ,WOLFE,ST,600,660,601,659,WOLFE ST,600,Local,Normal,City,25
1052,S,WASHINGTON,ST,N/A,N/A,210,200,S WASHINGTON ST,200,Arterial,Divided,City,25
4027, ,DEVON,PL,800,818,801,817,DEVON PL,800,Local,Normal,City,25
3038, ,RICHENBACHER,AV,5000,5012,5001,5017,RICHENBACHER AV,5000,Local,Normal,City,25
1053,N,QUAKER,LA,N/A,N/A,N/A,N/A,N QUAKER LA,0,Arterial,Divided,City,25
3039, ,WOLFE,ST,500,560,501,559,WOLFE ST,500,Local,Normal,City,25
139,S,INGRAM,ST,100,128,101,129,S INGRAM ST,100,Local,Normal,City,25
4028, ,CHETWORTH,PL,800,810,801,819,CHETWORTH PL,800,Local,Normal,City,25
1054, ,GROVES,AV,N/A,N/A,N/A,N/A,GROVES AV,0,Local,Normal,City,25
3040, ,POLK,AV,4814,4829,4815,4827,POLK AV,4800,Local,Normal,City,25
140,N,LEE,ST,308,360,309,359,N LEE ST,300,Local,Normal,City,25
4029, ,PARK CENTER,DR,3101,3101,3100,3100,PARK CENTER DR,3100,Local,Normal,City,25
1055,W,BRADDOCK,RD,N/A,N/A,N/A,N/A,W BRADDOCK RD,0,Primary Collector,Divided,City,25
141,S,JENKINS,ST,110,122,109,123,S JENKINS ST,100,Local,Normal,City,25
3041, ,JOHN CARLYLE,ST,500,560,501,559,JOHN CARLYLE ST,500,Local,Normal,City,25
4030, ,PORTNER,RD,1400,1430,1401,1429,PORTNER RD,1400,Local,Normal,City,25
1056, ,KING,ST,N/A,N/A,N/A,N/A,KING ST,0,Primary Collector,Divided,City,25
142,S,EARLY,ST,N/A,N/A,23,31,S EARLY ST,1,Local,Normal,City,25
1057,S,WASHINGTON,ST,N/A,N/A,160,100,S WASHINGTON ST,100,Arterial,Divided,City,25
3042, ,ROAN,LA,1101,1117,1112,1124,ROAN LA,1100,Local,Normal,City,25
4031, ,JAY,AV,3837,3813,N/A,N/A,JAY AV,3800,Local,Normal,City,25
143,N,UNION,ST,332,360,331,359,N UNION ST,300,Local,Normal,City,25
4032, ,BASHFORD,LA,1000,1060,1001,1059,BASHFORD LA,1000,Primary Collector,Normal,City,25
3043, ,HOLLAND,LA,500,560,501,559,HOLLAND LA,500,Arterial,Normal,City,25
1058,N,BEAUREGARD,ST,N/A,N/A,N/A,N/A,N BEAUREGARD ST,0,Arterial,One Way,City,25
144,S,GORDON,ST,114,150,115,129,S GORDON ST,100,Local,Normal,City,25
3044, ,LESLIE,AV,1400,1416,1401,1423,LESLIE AV,1400,Local,Normal,City,25
1059,N,QUAKER,LA,N/A,N/A,1701,1711,N QUAKER LA,1700,Arterial,Divided,City,25
145,N,WEST,ST,300,360,301,359,N WEST ST,300,Primary Collector,Normal,City,25
4033, ,KELLER,AV,3921,3903,N/A,N/A,KELLER AV,3800,Local,Normal,City,25
3045, ,WOLFE,ST,400,460,401,459,WOLFE ST,400,Local,Normal,City,25
1060, ,GROVES,AV,N/A,N/A,N/A,N/A,GROVES AV,0,Local,Normal,City,25
4034, ,DOUGLAS,ST,1000,1060,1001,1059,DOUGLAS ST,1000,Local,Normal,City,25
3046, ,MAYFLOWER,CT,5900,5940,5901,5915,MAYFLOWER CT,5900,Local,Normal,Private,25
