objectid,id,data_source,add_date,lat,lng,structure_name,structure_address,structure_city,structure_st,structure_zip,state_ansi,county_ansi,base_elevation,structure_height,structure_type,owner_type,zoom_level,ip_address,structure_owner_name,structure_owner_address,structure_owner_po_box,structure_owner_city,structure_owner_st,structure_owner_zip,structure_owner_phone,structure_owner_email,structure_manager_name,structure_manager_address,structure_manager_po_box,structure_manager_city,structure_manager_st,structure_manager_zip,structure_manager_phone,structure_manager_email,comments,done
"1224547","1054987","FCC: Antenna Structure Registration (GIS)","8/6/1998","38.1539","-79.0786","","JEFFERSON ST.","STAUNTON","VA","","51","790","490.119567","59.4","","5","","","CFW WIRELESS, INC.  DBA =  VIRGINIA RSA 6 CELLULAR LIMITED PARTNERS","","","","","","","","","","","","","","","","",""
"1223935","1017557","FCC: Antenna Structure Registration (GIS)","4/29/2011","38.1832","-79.089499","","1911 Craigmont Drive","STAUNTON","VA","","51","790","519.416931","51.8","","5","","","Tower Assets Newco VIII, LLC (VA-8093)","","","","","","","","","","","","","","","","",""
"1224990","1220049","FCC: Antenna Structure Registration (GIS)","12/30/2003","38.1757","-79.069799","","291 Woodlee Road","Staunton","VA","","51","790","491.850463","77.7","","5","","","Clear Channel Broadcasting, Inc.","","","","","","","","","","","","","","","","",""
"1242955","0","FCC: Land Mobile - Private (GIS)","","38.1872","-79.0189","","9 TECHNOLOGY DR","STAUNTON","VA","","51","790","409.936553","9.8","BANT","5","","","Specialty Blades Inc","","","","","","","","","","","","","","","","",""
"1242914","0","FCC: Land Mobile - Private (GIS)","","38.1539","-79.0842","","","STAUNTON","VA","","51","790","471.661071","0","","3","","","STAUNTON, CITY OF","","","","","","","","","","","","","","","","",""
"1242444","0","FCC: Land Mobile - Private (GIS)","","38.1483","-79.060799","","","STAUTON","VA","","51","790","413.718994","0","","5","","","DURBIN &amp; GREENBRIER VALLEY RAILROAD INC DBA WEST VIRGINIA CENTRAL RAILROAD","","","","","","","","","","","","","","","","",""
"1242317","0","FCC: Land Mobile - Private (GIS)","","38.1872","-79.0189","","","STAUNTON","VA","","51","790","409.936553","0","","5","","","Specialty Blades Inc","","","","","","","","","","","","","","","","",""
"1242306","0","FCC: Land Mobile - Private (GIS)","","38.1458","-79.102199","","541-A Buttermilk Spring Rd","Staunton City","VA","","51","790","467.521728","15","POLE","5","","","Buckingham Branch Railroad Company","","","","","","","","","","","","","","","","",""
"1242305","0","FCC: Land Mobile - Private (GIS)","","38.1442","-79.0764","","650 C&amp;O Flats","Staunton City","VA","","51","790","425.118133","8","BANT","5","","","Buckingham Branch Railroad Company","","","","","","","","","","","","","","","","",""
"1241797","0","FCC: Land Mobile - Private (GIS)","","38.1411","-79.0939","","1110 MONTGOMERY AVE","STAUNTON","VA","","51","790","487.189453","15.5","TANK","5","","","PSYCHIATRIC SOLUTIONS INC OF VIRGINIA","","","","","","","","","","","","","","","","",""
"1241535","0","FCC: Land Mobile - Private (GIS)","","38.1392","-79.0392","","WESTERN STATE HOSPITAL, BUILDING &amp; GROUNDS BLDG","STAUNTON","VA","","51","790","432.045715","12","BMAST","2","","","VIRGINIA, COMMONWEALTH OF","","","","","","","","","","","","","","","","",""
