OBJECTID,GEOID10,MedianHhInc,MHhIncMOE,CV_HHIncMOE,ReliablCls
1,51810046224,65188,6704,6.2517333,Middle 1/3
2,51810045603,65865,16305,15.04874229,Bottom 1/3
3,51810045425,97175,9864,6.17067432,Middle 1/3
4,51810041400,95286,11325,7.22508907,Middle 1/3
5,51810041600,71806,6880,5.82454204,Top 1/3
6,51810042201,87390,8646,6.01433467,Middle 1/3
7,51810042000,161964,29044,10.90114307,Bottom 1/3
8,51810042202,73419,7207,5.9673314,Top 1/3
9,51810042400,63375,5486,5.26225566,Top 1/3
10,51810042600,61080,10893,10.84133052,Bottom 1/3
11,51810043002,119167,30486,15.55172348,Bottom 1/3
12,51810040801,49479,7763,9.53768062,Bottom 1/3
13,51810043200,54000,18112,20.38950729,Bottom 1/3
14,51810045421,116005,8685,4.55121374,Top 1/3
15,51810045422,95154,8308,5.30766534,Top 1/3
16,51810046015,68981,2949,2.59883904,Top 1/3
17,51810045423,96436,5490,3.46072626,Top 1/3
18,51810046016,120240,16357,8.26968193,Middle 1/3
19,51810045424,101458,14018,8.39912128,Middle 1/3
20,51810045412,97778,23081,14.34985733,Bottom 1/3
21,51810045807,46483,3366,4.40204095,Top 1/3
22,51810040200,44052,5581,7.70159149,Middle 1/3
23,51810046014,69730,13980,12.1876955,Bottom 1/3
24,51810046221,46064,11280,14.88612079,Bottom 1/3
25,51810046220,39000,10541,16.4305191,Bottom 1/3
26,51810046223,110000,29376,16.23431968,Bottom 1/3
27,51810046222,93368,7717,5.02440404,Top 1/3
28,51810040404,86357,5966,4.19971466,Top 1/3
29,51810040402,40754,4909,7.32245779,Middle 1/3
30,51810040600,49456,7902,9.71297168,Bottom 1/3
31,51810041004,54611,3280,3.65113425,Top 1/3
32,51810041002,45662,12389,16.49359893,Bottom 1/3
33,51810041200,64746,8578,8.05391788,Middle 1/3
34,51810046225,84013,4805,3.47681021,Top 1/3
35,51810043400,80463,16911,12.77636051,Bottom 1/3
36,51810043600,107457,20867,11.80482101,Bottom 1/3
37,51810043800,87759,14513,10.05309104,Bottom 1/3
38,51810044001,47602,5520,7.04933214,Middle 1/3
39,51810045000,64125,41346,39.19586181,Bottom 1/3
40,51810044401,101205,5672,3.40697026,Top 1/3
41,51810044402,59229,7150,7.33847379,Middle 1/3
42,51810044600,97198,18021,11.27082347,Bottom 1/3
43,51810044807,46129,3643,4.80086183,Top 1/3
44,51810045803,62835,7607,7.35945892,Middle 1/3
45,51810046009,73542,7561,6.24996948,Middle 1/3
46,51810046002,77768,7633,5.96662092,Top 1/3
47,51810046005,59734,6495,6.60985088,Middle 1/3
48,51810046006,79265,12058,9.24757575,Bottom 1/3
49,51810044805,52589,10885,12.58251953,Bottom 1/3
50,51810044806,40808,2742,4.08466291,Top 1/3
51,51810044808,49805,8908,10.87279891,Bottom 1/3
52,51810045414,60851,4633,4.62837648,Top 1/3
53,51810045200,49519,6422,7.88374423,Middle 1/3
54,51810045415,69290,6710,5.88689184,Top 1/3
55,51810045405,59336,4364,4.47095775,Top 1/3
56,51810045406,65815,5282,4.87873935,Top 1/3
57,51810045407,49722,10453,12.77987098,Bottom 1/3
58,51810045408,45048,9981,13.46891593,Bottom 1/3
59,51810045417,92449,4134,2.71833109,Top 1/3
60,51810045810,28319,6287,13.49583148,Bottom 1/3
61,51810045601,71776,9633,8.15861415,Middle 1/3
62,51810045805,73021,16365,13.62392807,Bottom 1/3
63,51810045801,57750,9401,9.89591979,Bottom 1/3
64,51810046211,79762,13348,10.1731224,Bottom 1/3
65,51810046012,69049,6574,5.78770542,Top 1/3
66,51810046013,51922,5432,6.35978507,Middle 1/3
67,51810046204,72699,6994,5.84832239,Top 1/3
68,51810044200,40194,5590,8.4544363,Middle 1/3
69,51810045420,96389,12966,8.17735099,Middle 1/3
70,51810045806,54671,7809,8.68305397,Middle 1/3
71,51810045808,65721,4363,4.03566551,Top 1/3
72,51810045809,60166,5077,5.12967824,Top 1/3
73,51810046010,68125,9338,8.33261775,Middle 1/3
74,51810046011,60500,11072,11.12512207,Bottom 1/3
75,51810046206,67532,8745,7.87198591,Middle 1/3
76,51810046213,50634,4950,5.94288158,Top 1/3
77,51810046207,60210,3440,3.47315287,Top 1/3
78,51810046400,80789,11845,8.91285705,Middle 1/3
79,51810040000,40379,5292,7.96706533,Middle 1/3
80,51810040403,47712,11415,14.54395103,Bottom 1/3
81,51810040802,52083,7936,9.26274585,Bottom 1/3
82,51810041003,52692,5966,6.88291931,Middle 1/3
83,51810041801,50827,7343,8.78239822,Middle 1/3
84,51810041802,66059,7458,6.86316585,Middle 1/3
85,51810042802,49772,4242,5.18107271,Top 1/3
86,51810042801,62640,3463,3.36073946,Top 1/3
87,51810046212,93125,11502,7.50829219,Middle 1/3
88,51810046214,84333,7722,5.56629657,Top 1/3
89,51810046216,93534,10624,6.90482473,Middle 1/3
90,51810046219,85833,6546,4.63613224,Top 1/3
91,51810046217,79589,10347,7.90306377,Middle 1/3
92,51810044004,55258,8976,9.8746519,Bottom 1/3
93,51810045604,50497,5736,6.90522241,Middle 1/3
94,51810043003,80903,14121,10.61047744,Bottom 1/3
95,51810043004,87262,21639,15.07461166,Bottom 1/3
96,51810044003,77012,10752,8.48721027,Middle 1/3
97,51810045426,88581,5764,3.95564675,Top 1/3
98,51810045427,79348,6954,5.32761478,Top 1/3
99,51810045428,53101,7015,8.03080463,Middle 1/3
100,51810990100,,,6666,Bottom 1/3
