OBJECTID,ZONECLASS,ZONEDESC,LASTUPDATE,LASTEDITOR,ACCOUNT,NOTES,SHAPE_Length,SHAPE_Area
42381,"R-MF,C","Residential - Multi Family, Conditional",2007-03-06T00:00:00.000Z,, 22I  2    127,,214.732893,2248.987115
42382,A-1,Agricultural,2005-07-01T00:00:00.000Z,, 59   A     32B,,2009.378611,179999.592238
42383,A-1,Agricultural,2005-07-01T00:00:00.000Z,, 29   A     26A, ,1540.190256,140495.943509
42384,A-1,Agricultural,2005-07-01T00:00:00.000Z,, 29   A     25, ,5421.922915,1181868.228181
42385,A-1,Agricultural,2005-07-01T00:00:00.000Z,, 17   6      2,,9542.769999,3950564.43829
42386,A-1,Agricultural,2005-07-01T00:00:00.000Z,, 17   6      1F1,,1357.173732,88402.892847
42387,I-H,Industrial - Heavy,2005-08-15T00:00:00.000Z,,  8   1      6C,,8224.224725,2942141.472962
42388,A-1,Agricultural,2005-07-01T00:00:00.000Z,,  9   A      1A,,1599.092242,114596.790403
42389,A-1,Agricultural,2005-07-01T00:00:00.000Z,,  9C  3      4,,1010.030258,50328.791179
42390,"R-MF,C","Residential - Multi Family, Conditional",2007-03-06T00:00:00.000Z,, 22I  3    107,,209.097703,1588.362396
42395,A-1,Agricultural,2005-07-01T00:00:00.000Z,, 81C  1  A  47,,562.345985,18690.943599
42397,R-SF,Residential - Single Family,2007-03-06T00:00:00.000Z,, 68G  5      5A,,472.654365,13533.787223
42398,A-1,Agricultural,2005-07-01T00:00:00.000Z,, 53   2      2E,,1170.002661,41181.131938
42413,R-SF,Residential - Single Family,2007-03-06T00:00:00.000Z,, 20J 10      9,,956.463542,33478.840615
42414,R-SF,Residential - Single Family,2007-03-06T00:00:00.000Z,, 20J 11     18,,629.951146,21497.128803
42415,R-SF,Residential - Single Family,2007-03-06T00:00:00.000Z,, 20J 10     34,,675.501061,22601.660396
42416,R-SF,Residential - Single Family,2007-03-06T00:00:00.000Z,, 20J 13     31,,769.474877,25215.183753
42417,R-SF,Residential - Single Family,2007-03-06T00:00:00.000Z,, 20J  2     19,,770.160341,36540.395225
42418,R-SF,Residential - Single Family,2007-03-06T00:00:00.000Z,, 20J 11     16,,678.103856,26606.901727
42419,R-SF,Residential - Single Family,2007-03-06T00:00:00.000Z,, 20J 10     35,,686.142981,23910.743246
42420,R-SF,Residential - Single Family,2007-03-06T00:00:00.000Z,, 20J 13     33,,815.484641,31903.566014
42421,R-SF,Residential - Single Family,2007-03-06T00:00:00.000Z,, 23F  2     15,,567.591792,16746.215948
42422,R-SF,Residential - Single Family,2007-03-06T00:00:00.000Z,, 20E  2     32,,744.116984,26965.103813
42423,B-GC,Business - General Commercial,2005-08-15T00:00:00.000Z,, 22C  3     30,,544.684251,6056.411831
42424,R-MF,Residential - Multi Family,2007-03-06T00:00:00.000Z,, 23E  2      9,,958.350095,36850.53959
42425,R-SF,Residential - Single Family,2007-03-06T00:00:00.000Z,, 20H  5EQD 155,,522.075105,13423.991547
42426,R-SF,Residential - Single Family,2007-03-06T00:00:00.000Z,, 21B  5      1,,699.757318,24818.799509
42427,R-SF,Residential - Single Family,2007-03-06T00:00:00.000Z,, 21B  5     27,,760.997983,22676.049453
42428,R-SF,Residential - Single Family,2007-03-06T00:00:00.000Z,, 20H  5EQD 153,,787.988015,29052.044253
42429,A-1,Agricultural,2005-07-01T00:00:00.000Z,, 23   A     81,,1406.967056,119163.44595
42430,R-SF,Residential - Single Family,2007-03-06T00:00:00.000Z,, 20J 13      4,,679.895996,24725.361073
42431,R-SF,Residential - Single Family,2007-03-06T00:00:00.000Z,, 21A  4    180,,447.485286,4958.172669
