OBJECTID,PERIMETER,SQ_MILES,CBG_ID,SHAPEarea,SHAPElen
103,27501.0678748,0.99318454,0454162,4015827.11377356,10471.1481667454
191,8999.58873402,0.13275048,0408011,538263.94231424,3435.70211975594
119,24908.4944937,0.68094704,0406002,2759340.93117136,9494.27259693419
32,20996.8839332,0.53025945,0422012,2149417.53722496,7998.76289042627
231,9075.96366,0.17999566,0428015,729015.18547088,3458.96089907337
89,12094.87105,0.19147189,0462143,774719.74883352,4604.28382585256
256,10310.261667,0.24351121,0440013,986843.15644592,3930.42726573074
33,6529.83567957,0.09213356,0458062,373106.59426816,2489.61501427002
284,19000.7075159,0.3843439,0460051,1556875.28529664,7239.09994013639
180,23672.6817051,0.45851483,0460021,1856665.97691776,9021.50218279373
20,22121.5558453,0.32286936,0460131,1306404.23018848,8424.6679492913
6,23740.6969482,0.51002842,0448063,2066409.76004032,9041.77020961823
65,19352.0909531,0.25100553,0438003,1017718.69450824,7385.99911398522
244,11064.9221758,0.16061184,0428022,650525.12367864,4218.62921777831
21,15392.5927187,0.18799562,0448074,761794.00417064,5871.90404214094
242,10177.803206,0.1849223,0418013,750423.7036864,3882.90766538445
10,11274.0804943,0.24215958,0462185,979648.70176416,4295.53880542004
129,90990.3713678,13.44159623,0454121,54295218.5404853,34640.0052407572
79,33152.8550476,1.52993863,0420001,6205236.95498176,12647.4058413011
228,5611.71855393,0.05998028,0462133,242709.1822352,2136.68219018212
163,12639.5823181,0.15482741,0460132,626480.01937072,4814.96045669714
248,39213.8070166,1.83953171,0460086,7438726.86928192,14934.9237187679
73,13635.8844676,0.3499075,0456021,1417616.93547488,5196.73528997999
176,40711.1649275,2.97477603,0430022,12068134.8761116,15522.6754186423
188,10295.6312934,0.21739028,0462114,879909.54495272,3921.9426325481
280,17460.9750135,0.42833741,0402003,1737155.79929344,6661.67381188385
116,9113.49449366,0.18201994,0422024,737658.24786816,3476.2249508715
243,16693.3200997,0.40318986,0460083,1630931.07627083,6357.60854719263
222,13371.7279748,0.33126467,0456012,1342334.7684624,5098.35003806938
144,16483.115395,0.25961631,0424001,1052169.51106,6285.1169943568
59,9279.93468491,0.14301545,0428012,579630.68667488,3550.81738454048
218,21204.7432269,0.72933799,0414003,2958159.2015776,8086.6306345731
156,16159.4489099,0.2930759,0418012,1189419.2674332,6172.14721355482
52,8654.78291119,0.14583519,0444022,591192.33987264,3300.10410304395
63,26059.7983645,1.10432133,0462041,4471848.1821015,9939.27029648953
14,6974.77149638,0.05948574,0454145,240859.76819904,2659.48927304025
120,13922.47686,0.2299118,0462121,930495.29165008,5302.86773543381
152,23840.0300338,1.14019254,0404041,4624130.77831304,9094.22960187415
137,24611.9626867,1.11205693,0454203,4494225.88591824,9371.86576798228
268,16086.0379034,0.50049406,0444012,2028776.62135904,6134.23340433694
27,19793.1405324,0.33033702,0462141,1336705.229428,7534.7245819878
220,84988.443849,8.02077661,0452009,32454693.1522957,32383.3668582517
125,25762.6372525,0.85618154,0460091,3468640.24826736,9816.97693469406
170,20376.0238747,0.30754948,0456022,1246037.58678644,7756.66066793518
175,7645.45215259,0.10939625,0462155,442548.68223456,2914.86537654214
77,10828.9137092,0.22778947,0422023,923003.52605536,4125.68704618992
3,11245.9410314,0.24553489,0440024,994586.7283904,4289.05149682518
82,20460.9919638,0.80524852,0436001,3266193.89166592,7803.25412913352
288,11881.7241021,0.25478181,0410043,1032419.19019104,4527.20829923319
136,8955.59626452,0.16752854,0408014,679124.6908704,3416.66232401539
86,9138.05828323,0.13941199,0458052,564625.7485696,3483.14259600537
41,11515.6513904,0.11402138,0404023,462299.02386288,4389.89336247638
104,16320.3875937,0.49869312,0462151,2017420.97075296,6215.59169296076
251,8209.94174766,0.14444664,0410041,585372.93982984,3129.17094531836
184,11278.5004296,0.2554731,0424003,1035127.36268608,4297.62045198817
28,15712.2975376,0.46451784,0462051,1880642.57295872,5986.55706162219
172,18137.06517,0.28427157,0462052,1150664.44366912,6913.65900979661
99,18561.9609714,0.52376169,0454193,2118031.92786448,7068.8751524013
221,10157.9760097,0.20747235,0460101,840384.82880224,3870.1977807105
142,15488.075225,0.38231754,0410021,1548958.27593616,5901.47893958678
90,11410.2495152,0.16337022,0448072,662112.05099856,4347.52056678492
31,7306.50991172,0.10160601,0454142,411373.91830904,2784.10070938487
208,10398.8363912,0.07284543,0460023,294934.08456576,3957.04572578336
249,14990.931021,0.336008,0462192,1358838.37961308,5709.55504011233
143,8341.47864348,0.13624897,0462142,551328.5630296,3177.31069878773
134,19280.7239552,0.48293162,0414002,1959285.55238016,7353.99045969372
269,21086.6013133,0.25331614,0434002,1027946.64902,8057.39682793144
253,19283.4890986,0.34729522,0436002,1408619.030464,7350.68682388995
42,16269.2149,0.39838174,0460094,1613502.56968452,6196.32157478494
226,8549.28011461,0.14898016,0440027,603495.6311274,3260.54280294523
215,18783.55683,0.35968844,0410033,1457646.8219308,7163.82458672402
36,9386.80426478,0.19264955,0448071,780769.09578016,3577.50459598764
261,22589.5187244,0.3816287,0444023,1546853.18540132,8608.15835339822
260,12190.4529157,0.14136963,0462182,571954.73515928,4642.81406048417
286,16953.2937076,0.31350271,0422011,1270969.0136848,6464.61094644442
69,31885.3719765,1.21934599,0454181,4934352.24602048,12155.1895793134
181,8495.3657425,0.12668903,0454061,512759.85530016,3237.44057745028
