objectid,id,data_source,add_date,lat,lng,structure_name,structure_address,structure_city,structure_st,structure_zip,state_ansi,county_ansi,base_elevation,structure_height,structure_type,owner_type,zoom_level,ip_address,structure_owner_name,structure_owner_address,structure_owner_po_box,structure_owner_city,structure_owner_st,structure_owner_zip,structure_owner_phone,structure_owner_email,structure_manager_name,structure_manager_address,structure_manager_po_box,structure_manager_city,structure_manager_st,structure_manager_zip,structure_manager_phone,structure_manager_email,comments,done
"1225322","1240223","FCC: Antenna Structure Registration (GIS)","9/9/2003","36.8428","-76.1331","","222 CENTRAL PARK AVENUE","VIRGINIA BEACH","VA","","51","810","3.357996","93.1","","5","","","TOWN CENTER ASSOCIATES, L.L.C.","","","","","","","","","","","","","","","","",""
"1223642","1015000","FCC: Antenna Structure Registration (GIS)","9/5/2003","36.8604","-76.350199","","3201A LOMBARDY AVE","PORTSMOUTH","VA","","51","740","4.084986","45.7","","5","","","CROWN ATLANTIC COMPANY, LLC","","","","","","","","","","","","","","","","",""
"1223688","1016155","FCC: Antenna Structure Registration (GIS)","9/27/2005","37.0267","-76.342499","","131 E QUEEN ST","HAMPTON","VA","","51","650","1.911338","80.8","","5","","","Verizon Virginia Inc.","","","","","","","","","","","","","","","","",""
"1224307","1029351","FCC: Antenna Structure Registration (GIS)","9/25/1997","36.8156","-76.7586","","ON US HWY 460, .5 MI. NW OF INT. OF HWY 460 &amp; CR 258.","WINDSOR","VA","","51","093","25.367994","97.2","","5","","","NORFOLK SOUTHERN CORP.","","","","","","","","","","","","","","","","",""
"1224785","1203474","FCC: Antenna Structure Registration (GIS)","9/23/1999","36.8635","-76.2796","","509 East 18th St.","Norfolk","VA","","51","710","3.66706","58","","","","","Tidewater Transportantion District Commission","","","","","","","","","","","","","","","","",""
"1225918","1270333","FCC: Antenna Structure Registration (GIS)","9/2/2009","37.2678","-76.7128","","500 Jamestown Rd.","Williamsburg","VA","","51","830","23.952117","46.6","","7","","","Williamsburg United Methodist Church","","","","","","","","","","","","","","","","",""
"1224493","1047860","FCC: Antenna Structure Registration (GIS)","9/2/1999","36.8395","-76.3314","","1001 VIRGINIA AVENUE","PORTSMOUTH","VA","","51","740","2.792691","92.3","","5","","","COX COMMUNICATIONS, INC.","","","","","","","","","","","","","","","","",""
"1223545","1002425","FCC: Antenna Structure Registration (GIS)","9/18/1996","37.0256","-76.3414","","2 EATON ST","HAMPTON","VA","","51","650","1.419371","65.2","","5","","","ARMADA HOFFLER HAMPTON CENTRE ASSOC LP","","","","","","","","","","","","","","","","",""
"1223777","1016697","FCC: Antenna Structure Registration (GIS)","9/17/2010","36.8017","-76.3725","","I-264 EXIT 2","PORTSMOUTH","VA","","51","740","5.826869","48.1","","3","","","City of Portsmouth","","","","","","","","","","","","","","","","",""
"1225926","1270663","FCC: Antenna Structure Registration (GIS)","9/15/2009","36.7834","-76.2006","","1495 Kempsville Road","Virginia Beach","VA","","51","810","5.588045","134.1","","5","","","Pinnalce Towers LLC","","","","","","","","","","","","","","","","",""
