OBJECTID,PAR_TAX_ID,PAR_GPIN
2,14801872400000,14801872400000
1,13873205950000,13873205950000
3,13893685020000,13893685020000
6,14929670060000,14929670060000
4,24023949530000,24023949530000
5,14900488080000,14900488080000
7,23087334190000,23087334190000
10,23187055880000,23187055880000
11,13875249390000,13875249390000
9,23191947460000,23191947460000
12,13886159970000,13886159970000
8,24138282690000,24138282690000
13,13972796070000,13972796070000
14,14805424730000,14805424730000
15,13980187260000,13980187260000
16,13897811710000,13897811710000
17,13970112030000,13970112030000
18,13894171570000,13894171570000
19,23085400570000,23085400570000
21,14804667380000,14804667380000
23,14926537630000,14926537630000
24,14809199680000,14809199680000
22,13878055140000,13878055140000
26,23089210330000,23089210330000
28,14929951020000,14929951020000
20,23093029880000,23093029880000
30,13888715050000,13888715050000
25,14804188140000,14804188140000
31,13891098420000,13891098420000
32,24013420370000,24013420370000
33,14926980340000,14926980340000
34,23183791110000,23183791110000
35,14903222180000,14903222180000
29,14806109950000,14806109950000
27,13889757570000,13889757570000
36,13970532350000,13970532350000
39,13885051100000,13885051100000
37,24028753470000,24028753470000
38,14803445080000,14803445080000
41,24111961320000,24111961320000
40,23187541500000,23187541500000
42,13971560510000,13971560510000
43,23187526900000,23187526900000
44,24011154440000,24011154440000
45,13878732400000,13878732400000
47,23184500300000,23184500300000
46,24131022190000,24131022190000
48,13881087740000,13881087740000
49,13970605870000,13970605870000
50,13896514040000,13896514040000
53,13971303240000,13971303240000
52,23187622690000,23187622690000
51,14901250450000,14901250450000
56,23087930900000,23087930900000
54,24131998450000,24131998450000
55,14808547450000,14808547450000
57,14902077840000,14902077840000
58,14806484230000,14806484230000
59,23183579020000,23183579020000
61,14808444840000,14808444840000
60,24120974600000,24120974600000
63,24117953530000,24117953530000
64,24011547050000,24011547050000
65,24013526700000,24013526700000
66,13884602880000,13884602880000
62,24127091040000,24127091040000
68,14936116460000,14936116460000
69,24136044820000,24136044820000
67,23093299530000,23093299530000
71,13971431700000,13971431700000
72,24110894150000,24110894150000
70,23188187470000,23188187470000
75,24011245830000,24011245830000
73,13883772250000,13883772250000
74,24126093150000,24126093150000
76,24024826140000,24024826140000
77,23177546270000,23177546270000
79,14803197940000,14803197940000
78,13960926780000,13960926780000
80,14901049410000,14901049410000
81,13878555290000,13878555290000
82,13884422060000,13884422060000
83,13881157670000,13881157670000
85,14927634870000,14927634870000
86,14927548080000,14927548080000
87,14927736420000,14927736420000
84,13883492070000,13883492070000
89,14927542490000,14927542490000
88,14927730800000,14927730800000
90,14926831180000,14926831180000
91,13885205990000,13885205990000
94,23184613200000,23184613200000
92,14902136340000,14902136340000
95,14807322690000,14807322690000
96,24012468100000,24012468100000
97,23185643800000,23185643800000
93,14929732910000,14929732910000
98,23180298520000,23180298520000
99,23093207960000,23093207960000
100,23177621430000,23177621430000
103,14806756850000,14806756850000
102,24136028880000,24136028880000
104,13873640820000,13873640820000
101,24013540060000,24013540060000
105,13873620330000,13873620330000
106,24116937430000,24116937430000
107,13898768730000,13898768730000
109,24121903380000,24121903380000
108,13898766920000,13898766920000
110,24120943940000,24120943940000
111,14807443450000,14807443450000
112,13982118880000,13982118880000
113,13981166100000,13981166100000
115,13879218470000,13879218470000
114,24020425140000,24020425140000
118,24013586040000,24013586040000
119,14808045950000,14808045950000
117,23087936580000,23087936580000
120,23084446710000,23084446710000
116,13887175320000,13887175320000
121,24000494810000,24000494810000
123,14928208130000,14928208130000
125,13884731480000,13884731480000
124,24122340250000,24122340250000
122,13982848300000,13982848300000
127,24122195460000,24122195460000
128,24132124180000,24132124180000
130,13981961640000,13981961640000
126,13971676380000,13971676380000
129,14929208760000,14929208760000
131,23187277300000,23187277300000
133,13877705520000,13877705520000
132,13877207880000,13877207880000
134,13875457450000,13875457450000
135,14926441140000,14926441140000
137,13897414650000,13897414650000
138,13897441730000,13897441730000
139,13897429840000,13897429840000
136,13896397030000,13896397030000
140,13897470790000,13897470790000
143,13898409530000,13898409530000
141,13897477260000,13897477260000
142,13898424840000,13898424840000
144,13897549800000,13897549800000
145,24120442400000,24120442400000
148,24123187100000,24123187100000
147,24124142770000,24124142770000
150,24124322550000,24124322550000
146,13878652880000,13878652880000
149,24122132290000,24122132290000
151,13871264950000,13871264950000
154,13883158940000,13883158940000
153,13884029940000,13884029940000
152,13883158940000,13883158940000
156,24104403940000,24104403940000
155,13882169300000,13882169300000
159,13877176950000,13877176950000
160,13894417990000,13894417990000
158,13876174990000,13876174990000
157,14929471330000,14929471330000
163,13974278340000,13974278340000
162,24105585460000,24105585460000
161,23182128000000,23182128000000
164,13974261470000,13974261470000
165,14801209440000,14801209440000
166,14800290170000,14800290170000
168,13961939650000,13961939650000
170,13964981380000,13964981380000
169,13965905860000,13965905860000
167,13963968540000,13963968540000
171,14900010130000,14900010130000
172,23098772260000,23098772260000
173,23095682650000,23095682650000
174,23096733430000,23096733430000
175,23182025830000,23182025830000
176,14808260030000,14808260030000
178,13876582200000,13876582200000
179,13899880820000,13899880820000
177,14808363140000,14808363140000
180,14926261060000,14926261060000
181,23188673510000,23188673510000
182,23193118330000,23193118330000
183,23193129460000,23193129460000
184,23191159470000,23191159470000
185,13891411270000,13891411270000
186,13891423620000,13891423620000
187,13891441160000,13891441160000
188,14803149030000,14803149030000
189,14801197520000,14801197520000
192,24121876510000,24121876510000
190,24127376120000,24127376120000
191,24129453350000,24129453350000
