OBJECTID_12,BROOK,BROWN,RAINBOW,NRCS_HUC,UPSTR_QUAD,DNSTR_QUAD,REACHCODE,NAME,STREAMCODE,CLASS,TYPE,USGS_HUC
1, ,Y,Y,P05,Hutchinson Rock,Tazewell South,02MSC-01,Maiden Spring Creek,02MSC,III, ,6010205
2, , ,Y,O02,Konnarock,Konnarock,03BAC-01,Back Fork,03BAC,II, ,6010102
3, , , , , , ,03BAC-01T,Back Fork,03BAC,II,tributary,6010102
4, , ,Y,O01,White-top Mtn.,White-top Mtn.,03BCK-01,Bark Camp Branch,03BCK,III, ,6010102
5,Y, ,Y,O01,Trout Dale,Trout Dale,03BEL-01,Bell Hollow,03BEL,III, ,6010102
6, , ,Y,O02,White-top Mtn.,White-top Mtn.,03BIG-01,Big Branch,03BIG,II, ,6010102
7,Y, , ,O02,Grayson,Grayson,03BKE-01,Buckeye Creek,03BKE,III, ,6010102
8, , , , , , ,03BKE-01T,Buckeye Creek,03BKE,III,tributary,6010102
9, , ,Y,O02,White-top Mtn.,Konnarock,03BLC-01,Big Laurel Creek,03BLC,II, ,6010102
10, , , , , , ,03BLC-01T,Big Laurel Creek,03BLC,II,tributary,6010102
11,Y, ,Y,O10,Hutchinson Rock,Hutchinson Rock,03BRK-01,Barkcamp Branch,03BRK,II, ,6010101
12, , ,Y,O02,Konnarock,Konnarock,03BRS-01,Brush Creek,03BRS,III, ,6010102
13, , ,Y,O09,Chatham Hill,Chatham Hill,03BRT-01,Beartown Branch,03BRT,II, ,6010101
14, ,Y, ,O11,Brumley,Brumley,03BRU-01,Brumley Creek,03BRU,III, ,6010101
15, , , , , , ,03BRU-01T,Brumley Creek,03BRU,III,tributary,6010101
16, ,Y, ,O02,Laurel Bloomery,Damascus,03BVD-01,Beaverdam Creek,03BVD,III, ,6010102
17, , , , , , ,03BVD-01T,Beaverdam Creek,03BVD,III,tributary,6010102
18, , ,Y,O09,Chatham Hill,Chatham Hill,03CAM-01,Campbell Creek,03CAM,III, ,6010101
19, , ,Y,O02,White-top Mtn.,White-top Mtn.,03CHR-01,Charlies Branch,03CHR,II, ,6010102
20,Y, ,Y,O01,White-top Mtn.,White-top Mtn.,03COL-01,Cold Branch,03COL,III, ,6010102
21, ,Y,Y,O10,Hutchinson Rock,Hutchinson Rock,03CON-01,Coon Branch,03CON,II, ,6010101
22, , , , , , ,03CON-01T,Coon Branch,03CON,II,tributary,6010101
23, , ,Y,O01,Cedar Springs,Atkins,03CRS-01,Cressy Creek,03CRS,II, ,6010102
24, , , , , , ,03CRS-01T,Cressy Creek,03CRS,II,tributary,6010102
25, , ,Y,O06,Shady Valley,Shady Valley,03CXC-01,Cox Mill Creek,03CXC,II, ,6010102
26, , , , , , ,03CXC-01T,Cox Mill Creek,03CXC,II,tributary,6010102
27, , ,Y,O02,White-top Mtn.,White-top Mtn.,03DAV-01,Daves Branch,03DAV,II, ,6010102
28, , ,Y,O01,Trout Dale,Atkins,03DIC-01,Dickey Creek,03DIC,III, ,6010102
29, , ,Y,O01,White-top Mtn.,Konnarock,03DRK-01,Dry Fork,03DRK,II, ,6010102
30, , , ,O01,Konnarock,Konnarock,03DRY-01,Dry Fork,03DRY,II, ,6010102
31, , , , , , ,03DRY-01T,Dry Fork,03DRY,II,tributary,6010102
32, , ,Y,O03,Atkins,Atkins,03ENI-01,"Nick Creek, EF",03ENI,III, ,6010102
33, ,Y,Y,O02,Konnarock,Konnarock,03FEA-01,Feather Camp Branch,03FEA,II, ,6010102
34,Y, , ,O02,White-top Mtn.,White-top Mtn.,03GRD-01,Grindstone Branch,03GRD,II, ,6010102
35,Y,Y,Y,O02,Grayson,Konnarock,03GRE-01,Green Cove Creek,03GRE,II, ,6010102
36, , , , , , ,03GRE-01T,Green Cove Creek,03GRE,II,tributary,6010102
37,Y, ,Y,O02,White-top Mtn.,White-top Mtn.,03GRS-01,Grassy Branch,03GRS,II, ,6010102
38,Y, , ,O09,Hutchinson Rock,Hutchinson Rock,03HES-01,Henshaw Branch,03HES,II, ,6010101
39, , ,Y,O01,White-top Mtn.,Marion,03HOP-01,Hopkins Branch,03HOP,III, ,6010102
40, , , , , , ,03HOP-01T,Hopkins Branch,03HOP,III,tributary,6010102
41,Y, ,Y,O01,Middle Fox Creek,Trout Dale,03HOU-01,Houndshell Branch,03HOU,III, ,6010102
42, , , , , , ,03HOU-01T,Houndshell Branch,03HOU,III,tributary,6010102
43,Y, ,Y,O02,Grayson,Grayson,03HTB-01,High Trestle Branch,03HTB,III, ,6010102
44, , , , , , ,03HTB-01T,High Trestle Branch,03HTB,III,tributary,6010102
45,Y, ,Y,O01,Trout Dale,Trout Dale,03HUT-01,Hutton Branch,03HUT,III, ,6010102
46,Y, , ,O01,White-top Mtn.,White-top Mtn.,03JER-01,Jerrys Creek,03JER,III, ,6010102
47, , , , , , ,03JER-01T,Jerrys Creek,03JER,III,tributary,6010102
48, ,Y,Y,O02,Laurel Bloomery,Laurel Bloomery,03LAL-01,Laurel Creek,03LAL,II, ,6010102
49, , , , , , ,03LAL-01T,Laurel Creek,03LAL,II,tributary,6010102
50,Y, ,Y,O02,White-top Mtn.,Konnarock,03LLC-01,Little Laurel Creek,03LLC,II, ,6010102
51, , ,Y,O02,Laurel Bloomery,Laurel Bloomery,03LND-01,London Bridge Branch,03LND,II, ,6010102
52,Y, , ,O01,White-top Mtn.,White-top Mtn.,03LON-01,Long Branch,03LON,III, ,6010102
53,Y, , ,O10,Saltville,Broadford,03LTC-02,Little Tumbling Creek,03LTC,III, ,6010101
54, , ,Y,O02,Konnarock,Konnarock,03MLC-01,Mill Creek,03MLC,II, ,6010102
55, , , , , , ,03MLC-01T,Mill Creek,03MLC,II,tributary,6010102
56,Y, , ,O03,Atkins,Atkins,03NIK-01,Nick Creek,03NIK,III, ,6010102
57,Y, , ,O02,White-top Mtn.,Konnarock,03PNN-01,Pennington Branch,03PNN,II, ,6010102
58,Y, ,Y,O01,Middle Fox Creek,Cedar Springs,03PRK-01,Parks Creek,03PRK,III, ,6010102
59,Y, ,Y,O01,Trout Dale,Atkins,03QRT-01,Quarter Branch,03QRT,III, ,6010102
60, , ,Y,O01,Trout Dale,Trout Dale,03RAC-01,Raccoon Branch,03RAC,III, ,6010102
61, , ,Y,O02,Shady Valley,Abingdon,03RCH-01,Rockhouse Run,03RCH,II, ,6010102
62, , , , , , ,03RCH-01T,Rockhouse Run,03RCH,II,tributary,6010102
63,Y, , ,O10,Hutchinson Rock,Hutchinson Rock,03ROA-01,Roaring Fork,03ROA,II, ,6010101
64, , ,Y,O01,White-top Mtn.,White-top Mtn.,03ROW-01,Rowland Creek,03ROW,II, ,6010102
65, , , , , , ,03ROW-01T,Rowland Creek,03ROW,II,tributary,6010102
66, , ,Y,O02,Konnarock,Konnarock,03RUS-01,Rush Creek,03RUS,II, ,6010102
67, , , , , , ,03RUS-01T,Rush Creek,03RUS,II,tributary,6010102
68, , ,Y,O01,Trout Dale,Trout Dale,03SCO-01,Scott Branch,03SCO,III, ,6010102
69,Y, ,Y,O01,Trout Dale,Trout Dale,03SHA-01,Shanty Branch,03SHA,IV, ,6010102
70, ,Y,Y,O01,Atkins,Chilhowie,03SHF-01,"Holston River, SF",03SHF,II, ,6010102
71,Y, ,Y,O01,Atkins,Atkins,03SLM-01,Slemp Creek,03SLM,III, ,6010102
72, , , , , , ,03SLM-01T,Slemp Creek,03SLM,III,tributary,6010102
73, , ,Y,O09,Chatham Hill,Chatham Hill,03SRU-01,Sprouts Creek,03SRU,II, ,6010101
74, , , , , , ,03SRU-01T,Sprouts Creek,03SRU,II,tributary,6010101
75,Y, ,Y,O01,White-top Mtn.,White-top Mtn.,03STC-01,St. Clair Creek,03STC,II, ,6010102
76,Y, ,Y,O02,Konnarock,Konnarock,03STR-01,Star Hill Branch,03STR,II, ,6010102
77, , , , , , ,03STR-01T,Star Hill Branch,03STR,II,tributary,6010102
78,Y, , ,O02,White-top Mtn.,Konnarock,03STU-01,Sturgill Branch,03STU,II, ,6010102
79, , ,Y,O11,Abingdon,Hayters Gap,03TOO-01,Toole Creek,03TOO,II, ,6010101
80, , , , , , ,03TOO-01T,Toole Creek,03TOO,II,tributary,6010102
81, , ,Y,O11,Saltville,Glade Spring,03TUM-01,Tumbling Creek,03TUM,II, ,6010101
82, , , , , , ,03TUM-01T,Tumbling Creek,03TUM,II,tributary,6010101
83,Y,Y,Y,O02,Grayson,Grayson,03VAL-01,Valley Creek,03VAL,III, ,6010102
84, , , , , , ,03VAL-01T,Valley Creek,03VAL,III,tributary,6010102
85,Y,Y,Y,O02,Konnarock,Laurel Bloomery,03WLC-01,Whitetop Laurel Creek,03WLC,I, ,6010102
86,Y, ,Y,N16,Hiawassee,Hiawassee,04BCC-01,Bark Camp Branch,04BCC,IV, ,5050001
87,Y, , ,N01,Park,Park,04BDW-01,Baldwin Branch,04BDW,II, ,5050001
88,Y,Y, ,N13,Willis,Willis,04BFL-01,Buffalo Branch,04BFL,II, ,5050001
89,Y,Y, ,N01,Grayson,Park,04BHC-01,Big Horse Creek,04BHC,III, ,5050001
90, , , , , , ,04BHC-01T,Big Horse Creek,04BHC,III,tributary,5050001
91,Y, , ,N14,Hillsville,Hiawassee,04BIB-01,Big Branch,04BIB,II, ,5050001
92,Y, , ,N21,Alum Ridge,Indian Valley,04BIC-01,Big Indian Creek,04BIC,II, ,5050001
93, , , , , , ,04BIC-01T,Big Indian Creek,04BIC,II,tributary,5050001
