X,Y,OBJECTID_1,LOCATION,ADDRESS,PHONE,WEBSITE,TYPE,DIV_BUREAU
-76.265370519795539,36.866435367632548,1,BARRAUD PARK,1136 Vista Street,441-2787, ,Recreation & Human Develo,Parks and Forestry
-76.235129791160873,36.935156304162,2,BAYVIEW RECREATION CENTER,8613 Willow Terrace,441-1626, ,Recreation & Human Develo,"Recreation, Park and Open Space"
-76.284670982981027,36.831848686694265,3,BERKLEY COMMUNITY CENTER,121 W. Liberty Street,441-1912, ,Recreation & Human Develo,"Recreation, Park and Open Space"
-76.267524340594932,36.829993302504533,4,CAMPOSTELLA CENTER,1130 Leake Street,441-1974, ,Recreation & Human Develo,"Recreation, Park and Open Space"
-76.252006279172946,36.918794084304679,5,CROSSROADS RECREATION CENTER,8044 Tidewater Drive,441-17698, ,Recreation & Human Develo,"Recreation, Park and Open Space"
-76.194602270842438,36.926075047172631,6,EAST OCEAN VIEW COMMUNITY CENTER,9520 E. 20th Bay Street,441-1785, ,Recreation & Human Develo,"Recreation, Park and Open Space"
-76.193657963794607,36.85680609167354,7,FAIRLAWN RECREATION CENTER,1014 Kemspville Road,441-5670, ,Recreation & Human Develo,"Recreation, Park and Open Space"
-76.25094722385181,36.841885145052615,8,GRANDY VILLAGE RECREATION CENTER,3017 Kimball Terrace,441-2856, ,Recreation & Human Develo,"Recreation, Park and Open Space"
-76.237256685021677,36.851336262639691,9,INGLESIDE RECREATION CENTER,940 Ingleside Road,441-5675, ,Recreation & Human Develo,"Recreation, Park and Open Space"
-76.27259366288888,36.942568708011592,10,MERRIMAC LANDING RECREATION CENT,8809 Monitor Way,441-1783, ,Recreation & Human Develo,"Recreation, Park and Open Space"
-76.238065533538688,36.877647224950273,11,SHERWOOD FOREST COMMUNITY CENTER,4537 Little John Drive,441-5824, ,Recreation & Human Develo,"Recreation, Park and Open Space"
-76.220326676209041,36.92565837618131,12,TARRALLTON COMMUNITY CENTER,2100 Tarrallton Drive,441-1765, ,Recreation & Human Develo,"Recreation, Park and Open Space"
-76.295108915733181,36.915099959852625,13,TITUSTOWN RECREATION /A&C CENTER,7545 Diven Street,441-1259, ,Recreation & Human Develo,"Recreation, Park and Open Space"
-76.283458394239233,36.855758938746156,14,YOUNG TERRACE COMMUNITY CENTER,804 Whitaker Lane,441-2692, ,Recreation & Human Develo,"Recreation, Park and Open Space"
-76.274034193379734,36.964315089107529,15,CAPTAINS QUARTERS,800 Little Bay Avenue,441-1715, ,Recreation & Human Develo,"Recreation, Park and Open Space"
-76.246018054737831,36.949544722782633,16,OCEAN VIEW RECREATION CENTER,600 E. Ocean View Avenue,441-1767, ,Recreation & Human Develo,"Recreation, Park and Open Space"
-76.284616732258598,36.830339426241821,17,SOUTHSIDE SENIOR CENTER,925 S. Main Street, , ,Recreation & Human Develo,"Recreation, Park and Open Space"
-76.277949658744447,36.911108261677882,18,NORFOLK FITNESS & WELLNESS CENTER,7300 Newport Avenue,823-4300,http://www.norfolk.gov/wellness,Recreation & Human Develo,"Recreation, Parks & Open Spaces"
-76.263933534860058,36.8904474722709,19,LAKEWOOD DANCE & MUSIC,1600 Willow Wood Drive, , ,Recreation & Human Develo,"Recreation, Parks & Open Spaces"
-76.275151842611052,36.859561497708413,20,HUNTERSVILLE COMMUNITY CENTER,830 Goff Street,664-7400, ,Recreation & Human Develo,Human Services/ Public Health
-76.291176451109962,36.875939958694502,21,PARK PLACE COMMUNITY CENTER,606 West 29th Street,664-7500, ,Recreation & Human Develo,Human Services/ Public Health
-76.258834805435498,36.934605163260912,22,THERAPEUTIC RECREATION CENTER,180 EVANS STREET, , ,Recreation & Human Develo,"Recreation, Park and Open Space"
-76.263998869134923,36.888486312807657,23,LAKEWOOD PARK & ATHLETICS,1600 Willow Wood Drive, , ,Recreation & Human Develo,"Recreation, Parks & Open Spaces"
-76.279340872174274,36.854528607682695,24,VIVIAN C MASON CENTER,700 E Olney Road,441-1035, ,Recreation & Human Develo,"Recreation, Parks & Open Spaces"
-76.240497973454325,36.896870122865948,25,NORVIEW COMMUNITY CENTER,6380 Sewells Point Road,441-1440, ,Recreation & Human Develo, 
-76.304031198460649,36.882230038345618,26,LAMBERTS POINT COMMUNITY CENTER,1251 W 42nd Street,423-1088, ,Recreation & Human Develo,"Recreation, Parks & Open Spaces"
-76.255637680933219,36.927929993630435,27,NORTHSIDE COMMUNITY CENTER,8400 Tidewater Drive, , ,Recreation & Human Develo,"Recreation, Park and Open Space"
