OBJECTID,PAR_GPIN,PCDESC,LEGAL1,DISTNUM,PROPCLAS,ZONING,OWNER1,MAILADDR,MAILCITY,MAILSTAT,MAILZIP,AREA_DOC,SHAPEarea,SHAPElen
2001,24078523960000, ,,,,,,,,,,,1589.177331,157.549208
2002,14588955700000, ,,,,,,,,,,,1456.111649,152.669277
2003,14588827150000, ,,,,,,,,,,,5728.190145,313.821344
2004,14587985270000, ,,,,,,,,,,,6304.696938,370.630434
2005,24070275930000, ,,,,,,,,,,,2181.017337,209.063344
2006,24172501690000, ,,,,,,,,,,,2915.110326,217.585751
2007,24170544860000, ,,,,,,,,,,,854.596095,128.750458
2008,24175447220000, ,,,,,,,,,,,2355.440558,202.960221
2009,24171675670000, ,,,,,,,,,,,4408.734557,281.021578
2010,24170552360000, ,,,,,,,,,,,859.562168,118.785928
2011,24175510530000, ,,,,,,,,,,,1029.133949,150.601631
2012,24175510960000, ,,,,,,,,,,,1005.666274,156.042755
2013,24170486020000, ,,,,,,,,,,,2710.05419,369.983139
2014,24075475300000, ,,,,,,,,,,,1128.201705,140.443823
2015,14588961080000, ,,,,,,,,,,,3908.820867,274.456696
2016,14588963860000, ,,,,,,,,,,,2122.940309,186.531014
2017,14678932740000, ,,,,,,,,,,,1647.651625,168.212461
2018,14746274640000, ,,,,,,,,,,,6825.214879,330.499546
2019,14746268900000, ,,,,,,,,,,,6078.732371,398.09907
2020,14667962140000, ,,,,,,,,,,,685.467051,130.656266
2021,14892797360000,PARKS AND RECREATION,,,,,,,,,,,536845.677637,4451.643384
2022,14894755330000,PARKS AND RECREATION,,,,,,,,,,,86325.65943,1347.470546
2023,14895790490000,PARKS AND RECREATION,,,,,,,,,,,52637.21479,1476.734163
2024,14746265560000, ,,,,,,,,,,,56530.438249,1168.176691
2025,24178669320000, ,,,,,,,,,,,36355.072556,922.044286
2026,24177664350000, ,,,,,,,,,,,141884.102213,1682.34572
2027,24168933000000, ,,,,,,,,,,,16137.779327,521.63262
2028,14995575050000, ,,,,,,,,,,,74858.274746,1161.031498
2029,14667838450000, ,,,,,,,,,,,13405.58896,562.596102
2030,14937900820000, ,,,,,,,,,,,662851.582366,4281.744904
2031,14979133620000, ,,,,,,,,,,,1861.370224,173.879849
2032,24170641210000, ,,,,,,,,,,,891.68986,131.21089
2033,24070255760000, ,,,,,,,,,,,2178.29999,208.045031
2034,14588920650000, ,,,,,,,,,,,1137.43861,223.975777
2035,24171616350000, ,,,,,,,,,,,2308.778137,230.817202
2036,24077434700000, ,,,,,,,,,,,1104.770745,140.982984
2037,24174349250000, ,,,,,,,,,,,2727.06323,219.07974
2038,24174411160000, ,,,,,,,,,,,2701.821201,217.816686
2039,14587991060000, ,,,,,,,,,,,3112.10788,265.016375
2040,24170589190000, ,,,,,,,,,,,1100.828072,152.282374
2041,14834614490000, ,,,,,,,,,,,208611.913595,4458.2459
2042,14588961810000, ,,,,,,,,,,,1582.899024,199.386849
2043,24076415420000, ,,,,,,,,,,,1009.788255,132.017766
2044,14844216730000, ,,,,,,,,,,,44949.437853,1020.015151
2045,24083899640000, ,,,,,,,,,,,15202.282355,676.126121
2046,14685258400000, ,,,,,,,,,,,704.130551,111.206826
2047,14831743980000, ,,,,,,,,,,,68179.556683,1792.91772
2048,24175419060000, ,,,,,,,,,,,966.979545,135.557299
2049,24076406030000, ,,,,,,,,,,,1036.894686,133.521346
2050,14852100850000, ,,,,,,,,,,,1227.308062,193.105867
2051,24170526120000, ,,,,,,,,,,,907.876012,133.556717
2052,24170425030000, ,,,,,,,,,,,1235.256959,147.243845
2053,14843257770000, ,,,,,,,,,,,1866.754334,204.027552
2054,14832940010000, ,,,,,,,,,,,31043.448471,952.637975
2055,24079499090000, ,,,,,,,,,,,754.607497,129.057475
2056,14833741590000, ,,,,,,,,,,,171358.194442,1838.907427
2057,24078502720000, ,,,,,,,,,,,2105.330418,196.290993
2058,24075478740000, ,,,,,,,,,,,1107.09043,140.777255
2059,24174410210000, ,,,,,,,,,,,2660.770122,216.290632
2060,24170466730000, ,,,,,,,,,,,1400.869949,154.324815
2061,24170465880000, ,,,,,,,,,,,437.606687,113.545699
2062,24170571050000, ,,,,,,,,,,,2832.717625,226.731396
2063,24172713390000, ,,,,,,,,,,,2358.215849,211.497234
2064,14668802190000, ,,,,,,,,,,,1358.959625,149.766612
2065,14667882880000, ,,,,,,,,,,,1101.249762,138.169924
2066,14667882140000, ,,,,,,,,,,,263.661201,102.803758
