OBJECTID,COLUMN_,ROW_,GRIDID
306,J,26,J26
136,E,12,E12
86,I,8,I8
41,M,4,M4
104,M,9,M9
251,K,23,K23
184,N,16,N16
28,K,3,K3
172,L,15,L15
99,H,9,H9
221,K,20,K20
142,K,12,K12
90,M,8,M8
31,C,4,C4
208,H,19,H19
249,I,23,I23
143,L,12,L12
103,L,9,L9
119,A,10,A10
191,K,17,K17
32,D,4,D4
304,P,27,P27
231,K,21,K21
299,R,24,R24
89,L,8,L8
256,P,23,P23
33,E,4,E4
284,F,24,F24
180,J,16,J16
20,C,3,C3
6,D,2,D2
152,K,13,K13
137,F,12,F12
268,H,25,H25
27,J,3,J3
220,J,20,J20
125,F,11,F11
170,J,15,J15
175,O,15,O15
77,M,7,M7
3,D,1,D1
82,E,8,E8
288,Q,20,Q20
65,M,6,M6
244,N,22,N22
21,D,3,D3
242,L,22,L22
10,H,2,H2
129,J,11,J11
79,B,8,B8
228,H,21,H21
163,L,14,L14
303,Q,26,Q26
248,H,23,H23
73,I,7,I7
176,P,15,P15
188,H,17,H17
280,F,20,F20
116,K,10,K10
243,M,22,M22
222,L,20,L20
144,M,12,M12
59,G,6,G6
292,Q,24,Q24
218,H,20,H20
156,O,13,O13
52,L,5,L5
63,K,6,K6
14,L,2,L2
120,N,10,N10
9,G,2,G2
271,K,25,K25
298,R,23,R23
187,G,17,G17
38,J,4,J4
117,L,10,L10
252,L,23,L23
44,D,5,D5
232,L,21,L21
54,B,6,B6
209,I,19,I19
107,B,10,B10
239,I,22,I22
128,I,11,I11
265,O,24,O24
24,G,3,G3
250,J,23,J23
55,C,6,C6
140,I,12,I12
168,H,15,H15
238,H,22,H22
178,H,16,H16
141,J,12,J12
5,C,2,C2
241,K,22,K22
8,F,2,F2
291,Q,23,Q23
214,N,19,N19
290,Q,22,Q22
80,C,8,C8
165,N,14,N14
247,G,23,G23
148,G,13,G13
138,G,12,G12
39,K,4,K4
173,M,15,M15
207,G,19,G19
114,I,10,I10
29,L,3,L3
66,B,7,B7
275,O,25,O25
276,P,25,P25
202,L,18,L18
112,G,10,G10
26,I,3,I3
75,K,7,K7
18,L,1,L1
153,L,13,L13
72,H,7,H7
186,P,16,P16
92,N,8,N8
237,G,22,G22
109,D,10,D10
46,F,5,F5
1,B,1,B1
2,C,1,C1
106,N,9,N9
145,N,12,N12
227,G,21,G21
285,Q,17,Q17
259,I,24,I24
225,O,20,O20
301,S,24,S24
50,J,5,J5
118,M,10,M10
308,Q,28,Q28
64,L,6,L6
87,J,8,J8
12,J,2,J2
93,B,9,B9
94,C,9,C9
192,L,17,L17
7,E,2,E2
171,K,15,K15
262,L,24,L24
127,H,11,H11
167,G,15,G15
71,G,7,G7
100,I,9,I9
274,N,25,N25
147,F,13,F13
254,N,23,N23
282,F,22,F22
40,L,4,L4
199,I,18,I18
289,Q,21,Q21
279,F,19,F19
224,N,20,N20
135,D,12,D12
267,G,25,G25
43,C,5,C5
159,H,14,H14
84,G,8,G8
230,J,21,J21
166,O,14,O14
151,J,13,J13
204,N,18,N18
203,M,18,M18
70,F,7,F7
283,F,23,F23
160,I,14,I14
155,N,13,N13
102,K,9,K9
49,I,5,I5
296,R,21,R21
185,O,16,O16
273,M,25,M25
58,F,6,F6
98,G,9,G9
309,G,26,G26
62,J,6,J6
134,C,12,C12
269,I,25,I25
253,M,23,M23
42,B,5,B5
226,P,20,P20
215,O,19,O19
36,H,4,H4
261,K,24,K24
260,J,24,J24
286,Q,18,Q18
69,E,7,E7
181,K,16,K16
13,K,2,K2
263,M,24,M24
281,F,21,F21
307,P,28,P28
206,P,18,P18
11,I,2,I2
229,I,21,I21
124,E,11,E11
164,M,14,M14
278,F,18,F18
34,F,4,F4
91,A,8,A8
236,P,21,P21
189,I,17,I17
110,E,10,E10
15,I,1,I1
245,O,22,O22
201,K,18,K18
300,S,23,S23
122,C,11,C11
51,K,5,K5
30,B,4,B4
4,B,2,B2
217,G,20,G20
161,J,14,J14
177,G,16,G16
198,H,18,H18
83,F,8,F8
149,H,13,H13
56,D,6,D6
111,F,10,F10
48,H,5,H5
19,B,3,B3
132,M,11,M11
96,E,9,E9
113,H,10,H10
216,P,19,P19
130,K,11,K11
47,G,5,G5
258,H,24,H24
264,N,24,N24
257,G,24,G24
213,M,19,M19
223,M,20,M20
67,C,7,C7
158,G,14,G14
74,J,7,J7
35,G,4,G4
81,D,8,D8
97,F,9,F9
162,K,14,K14
121,B,11,B11
133,N,11,N11
154,M,13,M13
196,P,17,P17
146,O,12,O12
210,J,19,J19
293,Q,25,Q25
76,L,7,L7
197,G,18,G18
150,I,13,I13
302,P,26,P26
25,H,3,H3
205,O,18,O18
212,L,19,L19
234,N,21,N21
266,P,24,P24
277,F,17,F17
200,J,18,J18
270,J,25,J25
183,M,16,M16
16,J,1,J1
246,P,22,P22
211,K,19,K19
57,E,6,E6
139,H,12,H12
126,G,11,G11
61,I,6,I6
233,M,21,M21
60,H,6,H6
101,J,9,J9
123,D,11,D11
235,O,21,O21
240,J,22,J22
305,Q,27,Q27
95,D,9,D9
105,A,9,A9
297,R,22,R22
23,F,3,F3
219,I,20,I20
68,D,7,D7
115,J,10,J10
255,O,23,O23
37,I,4,I4
195,O,17,O17
174,N,15,N15
157,F,14,F14
85,H,8,H8
53,M,5,M5
88,K,8,K8
272,L,25,L25
17,K,1,K1
182,L,16,L16
45,E,5,E5
287,Q,19,Q19
108,C,10,C10
194,N,17,N17
193,M,17,M17
295,R,20,R20
78,A,7,A7
294,R,19,R19
179,I,16,I16
22,E,3,E3
131,L,11,L11
190,J,17,J17
169,I,15,I15
