OBJECTID,FCODE,SOURCE,MODIFIED_DATE,SHAPEarea,SHAPElen
1,Vehicular Bridge,Aerial 2004,2004-03-12T12:00:00.000Z,434.1437371,96.7099162215071
2,Vehicular Bridge,Aerial 2004,2004-03-12T12:00:00.000Z,789.62849204,141.621767519549
3,Vehicular Bridge,Aerial 2004,2004-03-12T12:00:00.000Z,19893.81331722,2791.28899232944
4,Vehicular Bridge,Aerial 2004,2004-03-12T12:00:00.000Z,79.7741275,44.7560110772637
5,Vehicular Bridge,Aerial 2004,2004-03-12T12:00:00.000Z,247.40304771,64.1268854870486
6,Vehicular Bridge,Aerial 2004,2004-03-12T12:00:00.000Z,202.04887216,59.2323672661179
7,Vehicular Bridge,Aerial 2004,2004-03-12T12:00:00.000Z,136.6946422,47.1578829685287
8,Vehicular Bridge,Aerial 2004,2004-03-12T12:00:00.000Z,60.35167939,36.9346503586401
9,Vehicular Bridge,Aerial 2004,2004-03-12T12:00:00.000Z,38.554364695,25.1703835464649
10,Vehicular Bridge,Aerial 2004,2004-03-12T12:00:00.000Z,1659.06949132,256.636809337752
11,Vehicular Bridge,Aerial 2004,2004-03-12T12:00:00.000Z,41.0050635,25.9756574976666
12,Vehicular Bridge,Aerial 2004,2004-03-12T12:00:00.000Z,51.30661298,29.4081139659963
13,Vehicular Bridge,Aerial 2004,2004-03-12T12:00:00.000Z,1100.3652356,207.150177743046
14,Vehicular Bridge,Aerial 2004,2004-03-12T12:00:00.000Z,376.26338816,82.4576865375604
15,Pedestrian Bridge,Aerial 2004,2006-04-06T17:17:21.000Z,390.47696627,171.410710887227
16,Vehicular Bridge,Aerial 2004,2004-03-12T12:00:00.000Z,294.05205342,77.2373705932451
17,Vehicular Bridge,Aerial 2004,2004-03-12T12:00:00.000Z,46.09053978,30.9157847525447
18,Vehicular Bridge,Aerial 2004,2004-03-12T12:00:00.000Z,586.68493186,102.554878114068
19,Vehicular Bridge,Aerial 2004,2004-03-12T12:00:00.000Z,188.37235777,57.7111352738767
20,Vehicular Bridge,Aerial 2004,2004-03-12T12:00:00.000Z,581.09354997,103.164236501222
21,Vehicular Bridge,Aerial 2004,2004-03-12T12:00:00.000Z,51.341337715,31.006535653747
22,Vehicular Bridge,Aerial 2004,2004-03-12T12:00:00.000Z,59.23913502,30.8544582831587
23,Vehicular Bridge,Aerial 2004,2004-03-12T12:00:00.000Z,1393.61036691,155.397674323967
24,Vehicular Bridge,Aerial 2004,2004-03-12T12:00:00.000Z,7.585627205,11.1560406964728
25,Vehicular Bridge,Aerial 2004,2004-03-12T12:00:00.000Z,7.34594568,11.0134428088761
26,Vehicular Bridge,Aerial 2004,2004-03-12T12:00:00.000Z,376.8487165,86.7004737270502
27,Vehicular Bridge,Aerial 2004,2004-03-12T12:00:00.000Z,1591.63456763,161.310498743417
28,Vehicular Bridge,Aerial 2004,2004-03-12T12:00:00.000Z,450.601541145,95.0900767298407
29,Vehicular Bridge,Aerial 2004,2004-03-12T12:00:00.000Z,510.49246357,100.747342275302
30,Vehicular Bridge,Aerial 2004,2004-03-12T12:00:00.000Z,88.791272625,37.7452335678732
31,Vehicular Bridge,Aerial 2004,2004-03-12T12:00:00.000Z,3361.19876765,240.603549806337
