"Report Definition","rank","Group: NAICS 3-digit industry name","Average Quarterly Employment (2012Q2,2012Q3, 2012Q4,2013Q1)","Growth in Employment (%) (2012Q1,2013Q1)","Hiring Growth (2012Q1,2013Q1)","Hiring Growth (%) (2012Q1,2013Q1)","Hiring (2013Q1)","Hiring (2012Q1)","Average Quarterly New Hire Employment (2012Q2,2012Q3, 2012Q4,2013Q1)","Average Quarterly Job Change (2012Q2,2012Q3, 2012Q4,2013Q1)","Average Monthly Earnings ($) (2012Q2,2012Q3, 2012Q4,2013Q1)","Earning Growth ($) (2012Q1,2013Q1)","Average Earning Growth (%) (2012Q1,2013Q1)"
"","36","484 Truck Transportation","3768","-0.13863856924996","1","0.5089058524173","197","196","280","20","3286","97","3.1417004048583"
"","37","515 Broadcasting (except Internet)","3701","-1.32809323756606","46","37.3983739837398","146","100","138","19","4435","-198","-4.55172413793103"
"","38","425 Wholesale Electronic Markets and Agents and Brokers","3347","-13.7172936987149","6","3.2258064516129","189","183","220","39","7980","-296","-3.52045670789724"
"","39","532 Rental and Leasing Services","3205","-5.29886914378029","20","10","210","190","213","-7","3390","-224","-6.15553723550426"
"","40","493 Warehousing and Storage","3144","-7.91685771053033","-12","-6.18556701030928","188","200","166","-18","3797","306","7.09647495361781"
"","41","332 Fabricated Metal Product Manufacturing","3001","-6.94027360694027","-18","-11.1801242236024","152","170","161","20","4334","-158","-3.72114931700424"
"","42","442 Furniture and Home Furnishings Stores","2831","-4.2703370389977","1","0.46189376443418","217","216","235","8","2644","-88","-3.41482343810632"
"","43","221 Utilities","2692","-5.00736377025036","3","11.7647058823529","27","24","29","0","8443","23","0.26823721499795"
"","44","517 Telecommunications","2472","-8.59754911495818","-20","-21.7391304347826","82","102","72","-14","5241","193","3.42775952402095"
"","45","511 Publishing Industries (except Internet)","2126","4.65351542741527","14","17.5","87","73","152","22","4744","357","7.37679512346316"
"","46","454 Nonstore Retailers","2006","-13.4634146341463","-29","-27.7511961722488","90","119","99","-65","2941","250","8.74737578726382"
"","47","712 Museums, Historical Sites, and Similar Institutions","1967","-1.8899388549194","6","11.7647058823529","54","48","81","-1","2412","25","1.02396067990989"
"","48","523 Securities, Commodity Contracts, and Other Financial Investments and Related Activities","1885","3.47314987977558","12","16.9014084507042","77","65","89","23","9943","1465","14.3045452326319"
"","49","562 Waste Management and Remediation Services","1870","1.11607142857142","-4","-3.84615384615384","102","106","131","33","3889","23","0.58591262259584"
"","50","483 Water Transportation","1846","4.46453800508618","-108","-51.4285714285714","156","264","154","33","8457","-221","-2.7682094319534"
"","51","492 Couriers and Messengers","1726","6.65383557877371","10","10.4166666666666","101","91","84","9","3685","98","2.74817722938867"
"","52","512 Motion Picture and Sound Recording Industries","1650","-5.15431116767419","-5","-3.92156862745098","125","130","133","-17","1972","74","3.74493927125506"
"","53","323 Printing and Related Support Activities","1558","3.65569956796277","21","34.7107438016529","71","50","104","20","2985","-37","-1.29483814523184"
"","54","327 Nonmetallic Mineral Product Manufacturing","1548","-7.64955867930696","-27","-62.0689655172413","30","57","54","-12","3945","210","5.3612458514169"
"","55","518 Data Processing, Hosting and Related Services","1459","-2.25641025641025","18","19.1489361702127","103","85","78","5","4391","1","0.02255045664674"
"","56","325 Chemical Manufacturing","1296","-94.4277108433735","-40","-85.1063829787234","27","67","35","-314","5381","1707","32.9250650978879"
"","57","339 Miscellaneous Manufacturing","1189","-1.27605274351339","-32","-52.4590163934426","45","77","57","10","4002","-111","-3.08547602501737"
"","58","711 Performing Arts, Spectator Sports, and Related Industries","1054","-13.023855577047","-8","-13.1147540983606","57","65","83","-13","2593","393","10.6518498441523"
"","59","814 Private Households","1034","8.58768753233316","7","9.27152317880794","79","72","102","34","1883","106","5.80503833515881"
"","60","485 Transit and Ground Passenger Transportation","975","1.57205240174672","46","58.9743589743589","101","55","74","40","2032","-12","-0.51435919417059"
"","61","334 Computer and Electronic Product Manufacturing","892","6.22986036519871","25","76.9230769230769","45","20","33","49","5608","-389","-6.9223240501824"
"","62","312 Beverage and Tobacco Product Manufacturing","873","-5.11600237953599","-2","-15.3846153846153","12","14","23","-4","5884","784","13.0732032683008"
"","63","337 Furniture and Related Product Manufacturing","844","9.16976456009913","2","5.4054054054054","38","36","47","32","3270","68","2.16010165184244"
"","64","481 Air Transportation","819","2.02788339670468","-3","-4.65116279069767","63","66","68","10","4104","-622","-14.7533206831119"
"","65","331 Primary Metal Manufacturing","810","-0.98765432098765","10","62.5","21","11","27","8","4274","24","0.55440055440055"
"","66","326 Plastics and Rubber Products Manufacturing","767","-8.18713450292397","19","74.5098039215686","35","16","23","-7","4197","207","4.83249679000817"
"","67","314 Textile Product Mills","697","-6.83636363636363","-3","-16.2162162162162","17","20","19","-7","2960","41","1.47455493616256"
"","68","335 Electrical Equipment, Appliance, and Component Manufacturing","655","9.24313462826523","15","50.8474576271186","37","22","27","25","3863","3","0.06489994591671"
"","69","111 Crop Production","592","-3.23232323232323","7","51.8518518518518","17","10","37","-2","2749","-391","-13.0878661087866"
"","70","519 Other Information Services","351","5.93548387096774","-18","-62.0689655172413","20","38","27","46","5308","-474","-8.97387353275274"
"","71","321 Wood Product Manufacturing","316","10.8626198083067","21","113.513513513513","29","8","18","11","3270","145","4.32255179609479"
"","72","322 Paper Manufacturing","283","14.4927536231884","10","55.5555555555555","23","13","26","15","3774","177","4.68687938567456"
"","73","443 Electronics and Appliance Stores","252","-7.9002079002079","4","28.5714285714285","16","12","16","-4","3206","177","5.8252427184466"
"","74","487 Scenic and Sightseeing Transportation","181","-8.21917808219178","-1","-15.3846153846153","6","7","17","6","1838","-705","-39.1775493192553"
"","75","115 Support Activities for Agriculture and Forestry","166","21.671826625387","6","60","13","7","15","1","3911","-77","-2.7060270602706"
"","76","315 Apparel Manufacturing","98","6.18556701030928","0","0","7","7","7","1","2669","299","13.8201987520221"
