"Report Definition","rank","Group: NAICS 3-digit industry name","Average Quarterly Employment (2012Q2,2012Q3, 2012Q4,2013Q1)","Growth in Employment (%) (2012Q1,2013Q1)","Hiring Growth (2012Q1,2013Q1)","Hiring Growth (%) (2012Q1,2013Q1)","Hiring (2013Q1)","Hiring (2012Q1)","Average Quarterly New Hire Employment (2012Q2,2012Q3, 2012Q4,2013Q1)","Average Quarterly Job Change (2012Q2,2012Q3, 2012Q4,2013Q1)","Average Monthly Earnings ($) (2012Q2,2012Q3, 2012Q4,2013Q1)","Earning Growth ($) (2012Q1,2013Q1)","Average Earning Growth (%) (2012Q1,2013Q1)"
"High Growth Industries","","",".",".",".",".",".",".",".",".",".",".","."
"All 87 eligible industries ranked on the greatest employment","","",".",".",".",".",".",".",".",".",".",".","."
"State=Virginia, Statewide, Ethnicity=All Ethnicities, Race=All Races","","",".",".",".",".",".",".",".",".",".",".","."
"Private Firms Only","","",".",".",".",".",".",".",".",".",".",".","."
"Source: U.S. Census Bureau, Local Employment Dynamics","","",".",".",".",".",".",".",".",".",".",".","."
"","","All NAICS subsectors","2926928","1.3641879500621","8509","4.26630700463532","203701","195192","216226","44417","4471","12","0.26086956521739"
"","1","541 Professional, Scientific, and Technical Services","401084","0.0070289769575","45","0.16168148746968","27855","27810","28440","5120","8074","131","1.62239147934856"
"","2","722 Food Services and Drinking Places","255794","7.29682037073685","3294","12.4236252545824","28161","24867","30172","6104","1446","-14","-0.99857346647646"
"","3","561 Administrative and Support Services","198274","0.52024802156435","674","3.51224596143824","19527","18853","21634","1968","3215","-21","-0.65451145395044"
"","4","621 Ambulatory Health Care Services","156666","3.17897760353996","416","4.3046357615894","9872","9456","10578","3111","5005","-42","-0.90693154826171"
"","5","238 Specialty Trade Contractors","102102","3.79831469562954","460","7.39193315121324","6453","5993","7606","2268","3846","96","2.64462809917355"
"","6","622 Hospitals","92051","-3.81479927262554","-1419","-31.9630589030296","3730","5149","4539","1484","4308","109","2.4877325116969"
"","7","452 General Merchandise Stores","89557","-7.71202813179408","-879","-9.99261069743648","8357","9236","6268","-457","2040","14","0.66666666666666"
"","8","551 Management of Companies and Enterprises","81698","5.56646407978806","115","3.12372674181719","3739","3624","3990","2064","7518","-267","-2.94913569337825"
"","9","522 Credit Intermediation and Related Activities","70415","2.41921597887849","-159","-4.02990748954505","3866","4025","4161","1095","6649","-98","-1.17014925373134"
"","10","623 Nursing and Residential Care Facilities","68194","0.63803752476401","214","4.20514835920613","5196","4982","5423","1227","2503","190","7.68297614233724"
"","11","624 Social Assistance","66869","2.69486559564965","869","14.0059634136513","6639","5770","6243","1083","1941","-21","-1.1049723756906"
"","12","445 Food and Beverage Stores","65448","27.3001787144882","2200","43.6594562413177","6139","3939","5671","5930","1937","-55","-2.92475405477266"
"","13","611 Educational Services","59851","8.17890190201146","119","3.06819646770658","3938","3819","4134","1997","3398","140","4.2334442092531"
"","14","423 Merchant Wholesalers, Durable Goods","59696","-0.95339784602708","-167","-6.52216363991408","2477","2644","2923","439","6010","83","1.40594562547641"
"","15","441 Motor Vehicle and Parts Dealers","50161","0.73782884789839","117","3.67174015377373","3245","3128","3731","776","3753","-20","-0.54945054945054"
"","16","813 Religious, Grantmaking, Civic, Professional, and Similar Organizations","46140","-0.67513189662881","-17","-0.70204418748709","2413","2430","2795","572","4707","67","1.43668918194489"
"","17","721 Accommodation","46023","-2.76724259025144","-173","-6.42764257848783","2605","2778","3809","363","2163","31","1.41649531642677"
"","18","336 Transportation Equipment Manufacturing","44702","0.71310781298747","-492","-29.3731343283582","1429","1921","1556","311","5439","-83","-1.37156077005701"
"","19","812 Personal and Laundry Services","41221","0.36976889444097","-54","-1.9271948608137","2775","2829","3284","519","2093","17","0.84388185654008"
"","20","524 Insurance Carriers and Related Activities","39951","16.2596997561911","227","13.467813705132","1799","1572","1838","554","6522","124","1.77624982094255"
"","21","531 Real Estate","39725","0.29548929172501","154","6.88421993741618","2314","2160","2643","442","4327","-37","-0.85047695667164"
