"Report Definition","rank","Group: NAICS 3-digit industry name","Average Quarterly Employment (2012Q2,2012Q3, 2012Q4,2013Q1)","Growth in Employment (%) (2012Q1,2013Q1)","Hiring Growth (2012Q1,2013Q1)","Hiring Growth (%) (2012Q1,2013Q1)","Hiring (2013Q1)","Hiring (2012Q1)","Average Quarterly New Hire Employment (2012Q2,2012Q3, 2012Q4,2013Q1)","Average Quarterly Job Change (2012Q2,2012Q3, 2012Q4,2013Q1)","Average Monthly Earnings ($) (2012Q2,2012Q3, 2012Q4,2013Q1)","Earning Growth ($) (2012Q1,2013Q1)","Average Earning Growth (%) (2012Q1,2013Q1)"
"High Growth Industries","","",".",".",".",".",".",".",".",".",".",".","."
"All 74 eligible industries ranked on the greatest employment","","",".",".",".",".",".",".",".",".",".",".","."
"State=Virginia, WIA=Hampton Roads LWIA XVI, Ethnicity=All Ethnicities, Race=All Races","","",".",".",".",".",".",".",".",".",".",".","."
"Private Firms Only","","",".",".",".",".",".",".",".",".",".",".","."
"Source: U.S. Census Bureau, Local Employment Dynamics","","",".",".",".",".",".",".",".",".",".",".","."
"","","All NAICS subsectors","393975","1.62897897878439","1301","4.76094633414451","27977","26676","30214","5705","3645","-8","-0.22203719122953"
"","1","722 Food Services and Drinking Places","39970","4.11496105291431","-250","-6.20963735717834","3901","4151","4693","725","1294","-19","-1.51334129828753"
"","2","541 Professional, Scientific, and Technical Services","36209","-1.20712174331477","-96","-3.92156862745098","2400","2496","2501","366","5776","12","0.2157885272433"
"","3","561 Administrative and Support Services","29521","0.99196405426423","146","4.68549422336328","3189","3043","3435","444","2863","-27","-0.91324200913242"
"","4","621 Ambulatory Health Care Services","27373","3.75485219468498","9","0.51121840386253","1765","1756","1847","496","4645","-37","-0.85598611914401"
"","5","622 Hospitals","17519","-0.69300069300069","79","13.7271937445699","615","536","766","142","4770","156","3.1363088057901"
"","6","238 Specialty Trade Contractors","14841","2.8714150976351","-69","-7.69659788064696","862","931","1094","263","3616","59","1.71636363636363"
"","7","452 General Merchandise Stores","13028","-9.94515539305301","-33","-2.67965895249695","1215","1248","889","-120","1888","61","3.0691823899371"
"","8","623 Nursing and Residential Care Facilities","10448","1.27106403466538","110","15.0273224043715","787","677","760","104","2658","127","4.75388358600037"
"","9","445 Food and Beverage Stores","9209","47.3690406121247","483","69.5464362850972","936","453","855","987","1749","12","0.72639225181598"
"","10","611 Educational Services","9073","0.44642857142857","-98","-18.9922480620155","467","565","537","67","3112","56","1.83606557377049"
"","11","423 Merchant Wholesalers, Durable Goods","8684","-0.98635164583094","17","4.36456996148908","398","381","438","28","4662","-22","-0.47190047190047"
"","12","522 Credit Intermediation and Related Activities","8496","3.64795466619444","92","17.7263969171483","565","473","628","197","4585","313","6.29715320390302"
"","13","624 Social Assistance","8422","-0.09185899644046","314","36.5116279069767","1017","703","781","80","1759","0","0"
"","14","441 Motor Vehicle and Parts Dealers","8079","2.99956437861721","20","3.96039603960396","515","495","655","121","3508","-22","-0.63400576368876"
"","15","551 Management of Companies and Enterprises","7529","3.1325774952487","279","54.3330087633885","653","374","481","195","5443","-60","-1.00033344448149"
"","16","721 Accommodation","7180","-3.0560271646859","16","4.58452722063037","357","341","738","68","1864","23","1.27177218689521"
"","17","812 Personal and Laundry Services","6670","-1.39948109128076","28","6.27802690582959","460","432","535","56","1850","-8","-0.45740423098913"
"","18","524 Insurance Carriers and Related Activities","6540","25.4062038404726","88","30.3448275862069","334","246","368","130","7855","-1101","-17.6343397133018"
"","19","531 Real Estate","6524","0.71925197794293","-11","-3.24963072378138","333","344","452","83","3698","66","1.88571428571428"
"","20","488 Support Activities for Transportation","6298","0.69304537029575","-33","-10.7317073170731","291","324","311","78","4268","295","7.31012266138025"
"","21","336 Transportation Equipment Manufacturing","6193","-0.28266331658291","-30","-8.84955752212389","324","354","301","43","4775","-76","-1.52855993563958"
"","22","811 Repair and Maintenance","5805","4.16113324479858","26","6.84210526315789","393","367","456","96","3440","-10","-0.3052503052503"
"","23","311 Food Manufacturing","5278","7.33670222721317","-3","-1.32450331125827","225","228","255","44","3935","131","3.63031730635998"
"","24","424 Merchant Wholesalers, Nondurable Goods","5272","-1.97791646663466","45","23.7467018469657","212","167","231","-27","4571","331","7.48953501527322"
"","25","236 Construction of Buildings","4881","4.49649691519397","-3","-0.91324200913242","327","330","374","132","4244","228","5.63241106719367"
"","26","813 Religious, Grantmaking, Civic, Professional, and Similar Organizations","4623","-2.23313979455113","-19","-8.20734341252699","222","241","316","-2","1916","29","1.53723827193215"
"","27","237 Heavy and Civil Engineering Construction","4531","5.98664517614552","80","30.188679245283","305","225","390","124","4334","-212","-5.04281636536631"
"","28","448 Clothing and Clothing Accessories Stores","4228","1.28693994280266","-36","-6.41711229946524","543","579","473","26","1491","65","4.64451589853519"
"","29","447 Gasoline Stations","4088","-5.24695159502401","37","10.3786816269284","375","338","383","-27","1745","-17","-0.94786729857819"
"","30","444 Building Material and Garden Equipment and Supplies Dealers","3833","-1.27001656543346","1","0.57306590257879","175","174","249","38","2521","65","2.46538972122131"
"","31","333 Machinery Manufacturing","3810","-7.54422476586888","-35","-32.258064516129","91","126","101","14","5053","273","4.95148272422236"
"","32","713 Amusement, Gambling, and Recreation Industries","3669","10.5370843989769","25","11.7647058823529","225","200","329","125","1511","40","2.86532951289398"
"","33","451 Sporting Goods, Hobby, Book, and Music Stores","3624","1.70142700329308","3","0.77220077220077","390","387","336","23","1969","-39","-1.89642596644784"
"","34","515 Broadcasting (except Internet)","3546","-1.18845500848896","41","35.4978354978355","136","95","132","19","4419","-194","-4.4700460829493"
