FID,FACILITYID,LOCATION,PARKID,SHAPE_STAr,SHAPE_STLe
1,000097PARK,Del Ray Pocket Park,FM01,16220.0932716,526.437189698
2,000002PARK,1020 Prince St.,WF76,1883.97131548,326.535411469
3,000004PARK,115-117 S. Alfred St.,WF45,2217.07516376,501.591482242
6,000007PARK,1900 Russell Rd.,FM63,15627.6990142,516.986386333
5,000006PARK,13 Russell Road,WF85,8603.15046091,770.00937008
4,000005PARK,118 N. Alfred St.,WF43,512.666071537,150.873444619
9,000010PARK,205 North View TR,WF68,4036.6885035,500.107474109
10,000011PARK,205 S. Lee St.,WF67,853.876199585,177.977756844
7,000008PARK,201 Prince St.,WF73,1442.33551128,262.643043012
8,000009PARK,202 Duke St.,WF50,1423.71951318,243.984939282
11,000012PARK,206 N Pitt St.,WF72,825.173830967,226.130713213
12,000013PARK,208 S. St Asaph St,WF86,4136.63682738,400.578140645
13,000014PARK,209 S. Fairfax St.,WF53,2630.70006477,404.550822176
14,000015PARK,209 S. St Asaph St,WF87,1539.50084597,308.803540189
16,000017PARK,211 Cameron St.,WF47,3203.47849956,314.28230767
18,000019PARK,215 N. Fairfax St.,WF52,3084.43897661,320.096928812
15,000016PARK,210 Strand,WF34,7231.02609602,441.978866083
19,000020PARK,216 N Alfred St,WF44,1371.26219674,250.348321486
17,000018PARK,215 Jefferson Street,WF95,7966.96604675,657.686652046
20,000022PARK,218 S. Lee St.,WF59,4375.73263184,439.963946668
21,000023PARK,219 S. Alfred Street,WF92,585.641546131,358.390639533
22,000024PARK,"223 S. St Asaph St./601 Duke St.
",WF88,8337.80053702,540.442090554
23,000025PARK,2413 King St.,WF57,26743.7586864,1046.67472167
24,000027PARK,310 S. Lee St.,WF60,5251.5421861,443.476071851
25,000028PARK,311 E. Howell St.,WF55,3970.66648739,581.821364005
27,000030PARK,3401 Russell Rd.,FM68,8145.99118802,713.031622629
26,000029PARK,312 S. St. Asaph St.,WF89,1312.9281914,473.620558843
28,000031PARK,3511 Duke St.,H29,7757.99149096,575.533180668
29,000032PARK,3550 Commonwealth Ave,FM02,26957.5567341,679.767941377
30,000033PARK,401 S. Lee St.,WF61,554.040649335,130.384785241
31,000034PARK,403 W. Masonic View Av.,S79,78574.2487515,1844.89097094
33,000036PARK,420 S. Lee St.,WF63,4981.51596392,389.641479646
32,000035PARK,418 S. Lee St.,WF62,3639.10401818,439.190638287
34,000037PARK,428 S. Lee St.,WF64,1246.8097479,273.520860816
35,000038PARK,48 South Early Street,H01,18407.1540861,583.337871661
36,000040PARK,506 Queen St.,WF78,1386.30800736,316.240943383
37,000041PARK,508 Queen St.,WF79,1930.35956036,280.130132521
38,000044PARK,514-516 Duke St.,WF51,1830.01924744,438.393487404
39,000043PARK,514 Cameron St,WF48,1084.19803486,327.116127345
40,000045PARK,518 Queen St.,WF80,903.273229489,268.701662872
41,000046PARK,520-522 Queen St.,WF81,1827.9076708,233.117497582
43,000048PARK,601 Oronoco St.,WF69,9474.0777847,464.677293951
42,000047PARK,600 N Henry St,S02,21244.2401674,665.317612773
44,000049PARK,607 Cameron St.,WF49,7091.1219038,546.275930046
45,000050PARK,609 Oronoco St.,WF70,10436.5316665,720.128012314
46,000052PARK,619 S. Lee St./207 Franklin St.,WF65,32303.1404834,1181.34255914
47,000053PARK,731 South Pickett Street,BB21,20379.4509163,902.657123959
49,000055PARK,805-807 Prince St.,WF74,3081.58666642,281.599432499
48,000054PARK,735 S. Lee St,WF66,1594.40632987,344.708825787
50,000057PARK,908 Queen Street,WF82,438.804368195,85.7801462206
51,000058PARK,910 Queen Street,WF83,361.162315948,79.8505038388
52,000059PARK,912 Queen Street,WF84,498.16597375,191.832718479
53,000062PARK,Alexandria House Park,WF35,44422.3242603,850.438136481
54,000063PARK,Angel Park,S04,478025.47869,7439.68658174
55,000064PARK,Armistead L. Boothe Park,BB02,493383.9784,3480.59049958
56,000065PARK,Armory Tot Lot,WF01,7570.72881678,366.001517853
57,000068PARK,Battery Rodgers,WF02,3638.99272901,253.244569348
