OBJECTID,NAME,SHAPEarea,SHAPElen
1,Fort Story,9864618.4191267,14760.394565663
2, ,588993.39558432,3548.31057626986
3,Little Creek Amphibious Base,14100809.6379622,22247.8547347019
4,Oceana NAS,33169783.0055763,28094.0339672231
5,Dam Neck,8904893.60223496,25536.4729326611
6,Dam Neck,8904893.60223496,25536.4729326611
