objectid,id,data_source,add_date,lat,lng,structure_name,structure_address,structure_city,structure_st,structure_zip,state_ansi,county_ansi,base_elevation,structure_height,structure_type,owner_type,zoom_level,ip_address,structure_owner_name,structure_owner_address,structure_owner_po_box,structure_owner_city,structure_owner_st,structure_owner_zip,structure_owner_phone,structure_owner_email,structure_manager_name,structure_manager_address,structure_manager_po_box,structure_manager_city,structure_manager_st,structure_manager_zip,structure_manager_phone,structure_manager_email,comments,done
"1224784","1203304","FCC: Antenna Structure Registration (GIS)","7/1/2005","38.8487","-77.3036","","4100 Chain Bridge Road","Fairfax","VA","","51","600","125.25785","64","","3","","","County of Fairfax, Virginia","","","","","","","","","","","","","","","","",""
"1246802","","Virginia Municipal League","2/28/2014","38.85063886","-77.32969156","","4105 Williams Place","Fairfax","VA","22030","51","600","482.6491303","","Williams Place Water Tank","","","","Fairfax, City of","","","","","","","","","","","","","","","","",""
"1246803","","Virginia Municipal League","2/28/2014","38.85060912","-77.32975105","","4107 Williams Place","Fairfax","VA","22030","51","600","482.6491303","","Water Storage Tank","","","","Fairfax, City of","","","","","","","","","","","","","","","","",""
"1246854","","Virginia Municipal League","2/28/2014","38.84360878","-77.28021767","","9780 Main Street","Fairfax","VA"," ","51","600","447.4338664","","Main Street Water Tank","","","","Fairfax, City of","","","","","","","","","","","","","","","","",""
"1246855","","Virginia Municipal League","2/28/2014","38.84356357","-77.28019626","","9780 Main Street","Fairfax","VA"," ","51","600","448.6977729","","Water Tower","","","","Fairfax, City of","","","","","","","","","","","","","","","","",""
"1246954","","Virginia Municipal League","2/28/2014","38.84349422","-77.28026236","","Lyndhurst Drive","Fairfax","VA","22030","51","600","447.660746","","Lyndhurst Water Storage Tank","","","","Fairfax, City of","","","","","","","","","","","","","","","","",""
"1242704","0","FCC: Land Mobile - Private (GIS)","","38.8633","-77.276099","","3201 Old Lee Highway","Fairfax","VA","","51","600","93.903106","0","","5","","","HOME DEPOT U.S.A., INC.","","","","","","","","","","","","","","","","",""
"1242648","0","FCC: Land Mobile - Private (GIS)","","38.86","-77.2861","","3500 Old Lee Hwy","Fairfax","VA","","51","600","117.4962","9.1","B","3","","","County of Fairfax VA","","","","","","","","","","","","","","","","",""
"1242632","0","FCC: Land Mobile - Private (GIS)","","38.86","-77.3267","","3801 Jermantown Rd","Fairfax","VA","","51","600","141.596282","9.1","B","3","","","County of Fairfax VA","","","","","","","","","","","","","","","","",""
"1242471","0","FCC: Land Mobile - Private (GIS)","","38.8597","-77.2861","","3500 Old Lee Hwy.","Fairfax","VA","","51","600","116.093795","9.5","BANT","3","","","County of Fairfax","","","","","","","","","","","","","","","","",""
"1242239","0","FCC: Land Mobile - Private (GIS)","","38.8564","-77.3311","","","FAIRFAX","VA","","51","600","139.682266","0","","","","","11180 MAIN STREET LIMITED","","","","","","","","","","","","","","","","",""
"1242111","0","FCC: Land Mobile - Private (GIS)","","38.8589","-77.3208","","","Fairfax","VA","","51","600","131.198181","0","","3","","","City of Fairfax School","","","","","","","","","","","","","","","","",""
"1241953","0","FCC: Land Mobile - Private (GIS)","","38.8608","-77.2961","","","FAIRFAX","VA","","51","600","102.447189","0","","5","","","TRIDENT SYSTEMS INC","","","","","","","","","","","","","","","","",""
"1241841","0","FCC: Land Mobile - Private (GIS)","","38.8508","-77.2992","","3730 Old Lee Highway","Fairfax","VA","","51","600","117.793594","15","BMAST","3","","","City of Fairfax","","","","","","","","","","","","","","","","",""
"1241840","0","FCC: Land Mobile - Private (GIS)","","38.8433","-77.305299","","4081 University Drive","Fairfax","VA","","51","600","124.932205","15","BMAST","3","","","City of Fairfax","","","","","","","","","","","","","","","","",""
"1241712","0","FCC: Land Mobile - Private (GIS)","","38.8472","-77.2719","","3847 PICKETT ROAD","FAIRFAX","VA","","51","600","121.040649","11","BMAST","5","","","USA Mobility Wireless, Inc.","","","","","","","","","","","","","","","","",""
"1241599","0","FCC: Land Mobile - Private (GIS)","","38.8478","-77.3014","","3924 OLD LEE HWY","FAIRFAX","VA","","51","600","127.46421","0","","5","","","VAN MANAGEMENT, INC","","","","","","","","","","","","","","","","",""
