OBJECTID,ZONES,SHAPE_Length,SHAPE_Area
1,C,18063.672467524,7317279.9630156
2,A,33637.6319466886,29313931.1827393
3,B,15816.4288085931,6334350.94130995
4,D,12037.5106253599,1319390.03780288
5,AIRPORT,51068.2979339958,3633219.82205214
6,AIRPORT,14435.7264980882,1061884.53816245
7,"LYH 20,000 feet",140077.701057015,1545544356.03753
8,AIRPORT,7719.55721067114,237981.48040459
9,"OV4 20,000 feet",133361.388597932,1410391335.3039
10,HWY 29,1376.95647729271,129030.957340106
11,HWY 29,3015.0927680373,128668.716362471
12,HWY 29,5543.98496063714,1432890.1827506
13,HWY 29,842.140216257054,23861.1286869395
14,HWY 29,2697.45448133392,451127.568577263
15,HWY 29,1836.16131508961,57360.9785481461
16,HWY 29,1897.65468345943,189380.100690745
17,HWY 29,332.43341641151,5914.41202606384
18,HWY 29,927.893508963823,24653.097228025
19,HWY 29,851.726910629181,8926.12411556576
20,HWY 29,858.198656580169,10160.6747698801
21,HWY 29,658.511354228786,6959.38531556171
22,HWY 29,676.594941630841,8266.66657653369
23,HWY 29,676.69124379483,7249.91583143881
24,HWY 29,979.461047182398,34493.6496239103
25,HWY 29,854.113684234592,9534.99640758816
26,HWY 29,856.423394214615,10166.7420525599
27,HWY 29,857.695705500782,10797.2687964445
28,HWY 29,850.383819743425,9756.69207799262
29,HWY 29,854.551625085042,10785.384074541
30,HWY 29,847.852437524603,9405.07274720242
31,HWY 29,850.533259964861,9661.08294423424
32,HWY 29,855.445012029704,10321.5233202284
33,HWY 29,853.510351083738,9607.19535271319
34,HWY 29,1314.46226230799,95037.4951899975
35,HWY 29,857.975386620148,10199.2224486697
36,HWY 29,857.161209670779,9894.60748061279
37,HWY 29,853.026794456149,9385.90149774181
38,HWY 29,858.524370566946,10516.8115825504
39,HWY 29,855.801152438458,9632.70525328689
40,HWY 29,858.071431943816,9963.89686855719
41,HWY 29,892.361577170345,16926.1649187133
42,HWY 29,853.314345942683,10702.4615039677
43,HWY 29,854.283496480222,11979.4483284794
44,HWY 29,843.685066727575,10445.9161848053
45,HWY 29,848.684600408605,11917.06810185
46,HWY 29,838.514923569824,10054.383423626
47,HWY 29,845.961875750753,11241.5220537535
48,HWY 29,845.272207154336,10360.9644960169
49,HWY 29,852.00640769952,10822.3210625199
50,HWY 29,861.542698445421,11950.6039714833
51,HWY 29,855.720761752595,10169.8821287089
52,HWY 29,5843.43833194545,773688.52104889
53,HWY 29,867.218302633764,12089.3243785219
54,HWY 29,871.201275539657,12279.4020273737
55,HWY 29,852.568357839453,9899.07954881165
56,HWY 29,1097.90354818517,13432.5341893509
57,HWY 29,858.80106856937,10717.9480541401
58,HWY 29,1108.65676972422,12809.7047133557
59,HWY 29,1127.00230621667,14156.1051791595
60,HWY 29,852.162857903952,10249.539780458
61,HWY 29,836.041669498837,7776.52371931185
62,HWY 29,1133.95107919491,12811.5965230225
63,HWY 29,1143.91900526678,12740.7391828511
64,HWY 29,857.16543376409,12306.9071986624
65,HWY 29,848.519506555077,10378.2882555456
66,HWY 29,1195.52503090599,13701.7834335046
67,HWY 29,847.478032186087,11675.6977767516
68,HWY 29,839.721279524879,9919.50338873813
69,HWY 29,1206.18233178471,14538.3091535203
70,HWY 29,840.571203842063,9671.98880101803
71,HWY 29,691.67253747552,20645.8712701049
72,HWY 29,823.2916781709,38777.1629456913
73,HWY 29,397.415533327878,6202.88548602531
74,HWY 29,393.152812842009,4377.86285515483
75,HWY 29,386.265041345574,3943.81682724629
76,HWY 29,389.250413501662,4239.95756248925
77,HWY 29,383.542418894155,3797.78120410679
78,HWY 29,389.310904857192,4324.53854667411
79,HWY 29,391.273045964697,4536.07469694528
80,HWY 29,1485.51582614242,71765.9232954534
81,HWY 29,388.860895570748,4410.83574516179
82,HWY 29,382.875837467898,4033.30050336414
83,HWY 29,384.639412178748,4341.27905262121
84,HWY 29,381.214690908327,4217.62284319953
85,HWY 29,381.78043765745,4401.20417851453
86,HWY 29,368.475821016004,3352.48031836933
87,HWY 29,1677.6175790343,126771.705526453
88,HWY 29,1501.61122026212,64637.4055021127
89,HWY 29,1580.54933586257,91343.3223875907
90,HWY 29,597.456114287962,18735.4950175067
91,HWY 29,1543.69162643782,75100.8292743982
92,HWY 29,996.741958044928,42176.3208472214
93,HWY 29,1515.44897571123,64629.9208034903
94,HWY 29,1496.58366027713,59816.4563126623
95,HWY 29,848.121859746851,44615.717981483
96,HWY 29,973.123709564724,56154.731465932
97,HWY 29,812.268219197598,26026.557378015
98,HWY 29,606.218544016986,6326.43255347992
99,HWY 29,616.359672285965,6165.63590501145
100,HWY 29,752.582591527657,17234.8869015626
101,HWY 29,623.511639994094,7017.65377156927
102,HWY 29,628.307360340613,6754.69564276
103,HWY 29,635.635627246848,7455.85154414475
104,HWY 29,1416.8218711673,54215.6721091104
105,HWY 29,623.008133670443,6763.86445474406
106,HWY 29,629.414881865633,7502.08367636032
107,HWY 29,861.778973899361,32517.5342064201
108,HWY 29,632.203793425732,7711.28136817724
109,HWY 29,634.253829738979,6506.80095360821
110,HWY 29,910.539625294456,30636.9932200556
111,HWY 29,731.127149491002,19073.1468017528
112,HWY 29,916.13148561928,25660.7978656178
113,HWY 29,890.295691869503,11002.6490250881
114,HWY 29,1612.14165041448,151444.5148819
115,HWY 29,1009.06686604033,12715.6179065191
116,HWY 29,1217.86783070931,66877.2027932378
117,HWY 29,306.399123434308,3760.13647192071
118,HWY 29,2680.09833676059,266633.126385086
119,HWY 29,1070.29174802715,43547.3892103253
120,HWY 29,656.510140014146,22577.4288662299
121,HWY 29,1189.88907035461,85227.2668325476
122,HWY 29,794.987656834851,40476.4853995983
123,HWY 29,1189.89243079053,70974.8188712492
124,HWY 29,818.527137259328,17933.1890138079
125,HWY 29,888.773004766846,9902.20502144265
126,HWY 29,888.418216944724,10158.3168026251
127,HWY 29,6184.52045780448,1481105.72391751
128,HWY 29,561.786576362188,17053.4318079586
129,HWY 29,628.847177825822,19223.9340507464
130,HWY 29,531.041503856598,10291.6015002971
131,HWY 29,620.936019838011,13175.4057941402
132,HWY 29,785.247851685591,24464.893072389
133,HWY 29,946.42124558834,27852.755818793
134,HWY 29,881.632938274302,10898.0866540026
135,HWY 29,448.266180955722,2439.83814651607
136,HWY 29,1772.01418534354,84944.6333985922
137,HWY 29,540.541756835458,5894.45518582226
138,HWY 29,549.332907353798,6001.08918152257
139,HWY 29,563.137566390386,7076.7844973806
140,HWY 29,559.756236808866,6380.19307437117
141,HWY 29,320.105012793133,950.860746282921
142,HWY 29,29.7947921001768,35.5137008045984
143,HWY 29,787.065204614123,8347.99565949773
144,HWY 29,845.026117647326,9671.00692102667
145,HWY 29,861.861002260074,9984.47594512344
146,HWY 29,864.921819056458,10288.5482649996
147,HWY 29,862.860925869909,9562.63051762503
148,HWY 29,1437.46350880908,84723.8038451132
149,HWY 29,883.516063346556,10102.5691701637
150,HWY 29,959.223934049244,25361.7072063911
151,HWY 29,898.325418679205,11648.2570221686
152,HWY 29,877.90984057036,9485.8815105009
153,HWY 29,873.644490266113,10780.1020539999
154,HWY 29,1356.90105853247,61220.36953873
155,HWY 29,756.88878673468,21262.1217761475
156,HWY 29,1761.91847153373,148607.925683545
157,HWY 29,1382.16267528798,86537.3838933801
158,HWY 29,1206.58786952731,31242.8639971807
159,HWY 29,1145.93243307767,47162.3652831509
160,HWY 29,271.419024153204,2568.42027618894
161,HWY 29,1325.27914696167,74128.0025025883
162,HWY 29,470.022713797018,11463.4011086796
163,HWY 29,1233.89422616001,68966.45414939
164,HWY 29,1009.12183978275,42719.0305592608
165,HWY 29,841.709635930939,30259.410453161
166,HWY 29,1341.90008833248,110488.924107566
167,HWY 29,1183.52532096592,68428.7748302607
168,HWY 29,1154.78068374003,56287.8774700734
169,HWY 29,1500.19817680047,91325.6147396057
170,HWY 29,1174.08386707467,78236.9344788719
171,HWY 29,855.53772439856,12504.0347161375
172,HWY 29,484.798422741264,8582.99871997423
173,HWY 29,844.927712627928,10419.6397970222
174,HWY 29,1168.30613634102,46271.171769553
