BEACH ID,NAME,COUNTY,BEACH ACT BEACH,START LATITUDE MEASURE,START LONGITUDE MEASURE,END LATITUDE MEASURE,END LONGITUDE MEASURE,SOURCE MAP SCALE,HORIZTONAL COLLECTION METHOD NAME,HORIZONTAL REFERENCE DATUM NAME,BEACH LENGTH (in miles)
VA017488,KIPTOPEKE STATE PARK,NORTHAMPTON,YES,37.17261800,-75.98798600,37.15434200,-75.97638800,,INTERPOLATION-SATELLITE,NAD83,1.480681815
VA152245,LITTLE ISLAND BEACH SOUTH,VIRGINIA BEACH,YES,36.699999,-75.925,36.676388,-75.915277,,INTERPOLATION-SATELLITE,NAD83,1.568939391
VA153278,GUARD SHORE,ACCOMACK,YES,37.844312,-75.680629,37.847313,-75.676459,,INTERPOLATION-SATELLITE,NAD83,0.4350378779
VA197713,CHESAPEAKE BEACH,VIRGINIA BEACH,YES,36.913888,-76.11,36.919851,-76.132358,,INTERPOLATION-SATELLITE,NAD83,1.568939391
VA209936,LESNER BRIDGE EAST,VIRGINIA BEACH,YES,36.90778,-76.093262,36.913888,-76.11,,INTERPOLATION-SATELLITE,NAD83,1.568939391
VA307929,DAM NECK NORTH,VIRGINIA BEACH,YES,36.805555,-75.962499,36.815277,-75.965277,,INTERPOLATION-SATELLITE,NAD83,1.568939391
VA323310,15TH STREET,VIRGINIA BEACH,YES,36.843734,-75.972102,36.856748,-75.97566,,INTERPOLATION-SATELLITE,NAD83,1.568939391
VA351214,FAIRVIEW BEACH,KING GEORGE,YES,38.331211,-77.249068,38.332046,-77.235228,,INTERPOLATION-SATELLITE,NAD83,0.7397727257
VA366712,BACK BAY BEACH,VIRGINIA BEACH,YES,36.676388,-75.915277,36.550476,-75.867882,,INTERPOLATION-SATELLITE,NAD83,1.568939391
VA441400,78TH STREET,VIRGINIA BEACH,YES,36.903328,-75.988591,36.915126,-75.991899,,INTERPOLATION-SATELLITE,NAD83,1.568939391
VA482894,YORKTOWN BEACH,YORK,YES,37.234276,-76.504168,37.238198,-76.507186,,INTERPOLATION-SATELLITE,NAD83,0.2376893934
VA509547,"OCEAN VIEW PARK, EAST SIDE OF PARKING LOT",NORFOLK,YES,36.952805,-76.247617,36.957266,-76.253861,,INTERPOLATION-SATELLITE,NAD83,0.8034090892
