OBJECTID,ID,Shapelen
1,ART53A_E,37974.4140966998
2,ART53B_W,39703.3014638665
4,ART53B_E,38487.0633915992
3,ART53A_W,38412.1856351276
5,ART41N,23519.1420014844
6,ART41S,30776.2118267685
7,ART61A,16029.2256841462
8,ART61B,17028.4995197298
11,ART87AN,15133.3148954836
9,ART74_AM,18470.1531546549
19,ART45S,31953.169825575
10,ART74_PM,20889.8396969355
12,ART87AS,13375.8969263581
23,ART52S,30321.9176632704
14,ART87NB,27802.7095959427
20,ART51N,13890.7004435006
13,ART87SB,28791.0372282387
21,ART51S,9845.20890372308
25,ART62W,29102.4383208201
22,ART52N,28525.8667478011
29,ART84_PM,24033.4334715655
26,ART62E,29629.8867767741
15,ART42W,31346.5488162567
30,ART84_AM,26120.3190253064
27,ART42E,29333.418302622
16,ART77NB,28902.4142679743
28,ART77SB,28469.8413564205
431,ART75N,36669.331765571
436,ART75S,37102.7617541186
844,ART53AW_W,52197.4258928719
838,ART45N,38529.2755465727
846,ART87X_NB,19450.8970922007
1231,ART92NB,11338.9401480593
900,ART87X_SB,18933.0197646777
845,ART53BW_W,53505.0868629735
1232,ART92SB,10663.9579206832
1233,ART43N,24659.2503430828
1234,ART43S,21787.6412897598
