Virginia coal quality database (coal sample analyses) ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
analyses reported:  as-received ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
data source:  raw data from USGS coal quality database / non-USGS collectors / Virginia scan and subset created 2006-01-18 (Hostettler),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
version:  release copy / data revised 2008-07-09 (Lovett) / format revised 2008-09-09 (Lovett),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
database inventory (all 375 samples accounted for - jal),,U.S. location and geologic setting,,,,"Regional location, coal bed name (in stratigraphic order), geologic formation, and VDMR Id. No. ",,,,,,"USGS Lab. No., location detail, and sample information",,,,,,,,,,,,,,,Proximate Analysis (%),,,,Ultimate Analysis (%),,,,,Heat,,Forms of Sulfur (%),,,,Ash-Fusion Temperature (F),,,,,Major- and Minor-Oxides (%),,,,,,,,,,,,Major- and Minor-Elements (ppm),,,,,,,,,Trace Elements (ppm),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,USGS supplemental data,,,
 Sample inventory [jal],Inventory notes (jal),CPROVINC,CREGION,SYSTEM,SER_EPOC,STATE,CFIELD,CBED,CFORMATN,ESTRANK,POINTID [modified to VDMR Id. No.2] ,LABID,USGS Lab No.,POINTID [modified to VDMR Field Id. No.2],LATITUDE1,NS,LONGITUDE1,EW,Quad Map Name,COUNTY,SAMPTHK,COMMENTS [USGS],SAMP_TYPE [VDMR (jal)]2,SAMPTYPE [USGS],SAMP_COND [VDMR (jal)]2,PART_OF_BED [VDMR (jal)]2,MOISTR,VOLMAT,FIXEDC,STDASH,HYDRGN,CARBON,NITRGN,OXYGEN,SULFUR,BTU/LB,ADLOSS,SLFATE,SLFPYR,SLFORG,FRESWL,ASHDEF,ASHSOF,ASHFLD,HGI [VDMR (jal)]2,COMPL_No [VDMR (jal)]2,GSASH,SIO2,AL2O3,CAO,MGO,MNO,NA2O,K2O,FE2O3,TIO2,P2O5,SO3,SI_E,AL_E,CA_E,MG_E,NA_E,K_E,FE_E,TI_E,S_E,AG_E,AS_E,AU_E,B_E,BA_E,BE_E,BI_E,BR_E,CD_E,CE_E,CL_E,CO_E,CR_E,CS_E,CU_E,DY_E,ER_E,EU_E,F_E,GA_E,GD_E,GE_E,HF_E,HG_E,HO_E,IN_E,IR_E,LA_E,LI_E,LU_E,MN_E,MO_E,NB_E,ND_E,NI_E,OS_E,P_E,PB_E,PD_E,PR_E,PT_E,RB_E,RE_E,RH_E,RU_E,SB_E,SC_E,SE_E,SM_E,SN_E,SR_E,TA_E,TB_E,TE_E,TH_E,TL_E,TM_E,U_E,V_E,W_E,Y_E,YB_E,ZN_E,ZR_E,,POINTID [USGS],COLLECTR,SUBDATE,IDMARPLOT       [end]
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1 / 10,,EASTERN,CENTRAL APPALACHIAN,PENNSYLVANIAN,LOWER,VIRGINIA,SOUTHWEST VIRGINIA,POCAHONTAS NO 3,POCAHONTAS,BITUMINOUS,R-6882,W,193935,88A-1,37.221122,N,-82.093305,W,VANSANT (7.5'),BUCHANAN,67.32,"UG,VA POCAHONTAS #3",Underground mine,1,fresh / unweathered,Full Thickness,1.2,15.3,67.5,16,4,74.8,1,3.3,0.9,"12,838",0.7,0.01,0.26,0.6,4.5,"2,725","2,800","2,800", --- ,1.40,16.9,42,28,4,0.61,0.01,0.65,1.6,3.6,1.3,0.19,0.32,33000,25000,4800,630,810,2200,4300,1300,220,0.035,13,1.2,15,150,2.4,2.6,62,0.1,24,0,3.8,21,0.9,24,3.8,2,0.43,58,4.6,0.8,0.54,1.3,0.078,0.8,0.8,1.8,13,29,0.19,22,2.7,4.1,5.4,8.3,1.2,140,9.1,0.18,8,0.8,10,1.2,0.12,0.38,1.1,4.6,4.5,2.4,0.8,100,0.28,0.37,0,4.6,1.2,0.54,2.3,24,1,11,1.1,9.6,37,,R6882-88A-1,VADMR-HENDERSON J A,76/11/01,AAAAAAAAAAAA5950
2 / 10,,EASTERN,CENTRAL APPALACHIAN,PENNSYLVANIAN,LOWER,VIRGINIA,SOUTHWEST VIRGINIA,POCAHONTAS NO 3,POCAHONTAS,BITUMINOUS,R-6883,W,193934,88A-2,37.182925,N,-82.074482,W,VANSANT (7.5'),BUCHANAN,65.64,"UG,VA POCAHONTAS #5",Underground mine,1,fresh / unweathered,Full Thickness,0.8,17.6,69.2,12.4,4,78.4,1,3.3,0.9,"13,472",0.4,0.01,0.38,0.47,6.5,"2,210","2,310","2,400", --- ,1.34,11.8,28,13,20,1.6,0.05,0.63,0.72,9.1,0.88,0.15,16,15000,8000,17000,1200,550,710,7500,620,7500,0.018,15,0.83,11,110,0.98,1.8,50,0.083,17,0,6.2,10,0.3,15,2.6,0.83,0.3,29,3.1,1.3,0.38,0.7,0.11,0.56,0.56,1.2,10,11,0.13,46,1.9,1.2,3.8,5.8,0.83,77,1.2,0.12,5.6,0.56,6.3,0.83,0.083,0.26,1.1,2.2,3.9,1.7,0.56,99,0.18,0.24,0,2.3,0.83,0.38,1.4,8.4,0.83,5.8,0.8,3.2,18,,R6883-88A-2,VADMR-HENDERSON J A,76/11/01,AAAAAAAAAAAA5948
3 / 10,,EASTERN,CENTRAL APPALACHIAN,PENNSYLVANIAN,LOWER,VIRGINIA,SOUTHWEST VIRGINIA,POCAHONTAS NO 3,POCAHONTAS,BITUMINOUS,R-6884,W,193933,87B-1,37.230140,N,-81.995789,W,KEEN MOUNTAIN (7.5'),BUCHANAN,53.04,"UG,VA POCAHONTAS BEATRICE MN",Underground mine,1,fresh / unweathered,Full Thickness,0.9,15.6,76,7.5,4.3,83.6,1.1,2.9,0.6,"14,415",0.5,0.01,0.19,0.45,3.5,"2,345","2,425","2,495", --- ,0.83,5.7,31,17,14,1.3,0.04,0.53,0.78,12,1.2,0.12,13,8300,5200,5700,450,220,370,4800,410,2900,0.031,6.3,0.4,4.3,52,1.7,0.88,75,0.035,15,0,8.9,9,0.35,17,1.3,0.8,0.26,23,1.9,1.5,0.86,0.6,0.06,0.4,0.27,0.6,8,7.4,0.13,19,1.9,1.1,1.8,6.3,0.4,30,1.7,0.06,2.7,0.27,6.3,0.4,0.04,0.13,1.1,2,1.2,1.5,0.54,52,0.17,0.27,0,1.7,0.4,0.18,0.88,8,0.88,6.3,0.8,3.2,13,,R6884-87B-1,VADMR-HENDERSON J A,76/11/01,AAAAAAAAAAAA5951
4 / 10,,EASTERN,CENTRAL APPALACHIAN,PENNSYLVANIAN,LOWER,VIRGINIA,SOUTHWEST VIRGINIA,POCAHONTAS NO 3,POCAHONTAS,BITUMINOUS,R-7161,W,199465,59A-4,36.889917,N,-82.349298,W,ST PAUL (7.5'),RUSSELL,56.40,SURFACE MINE,Surface mine,11,slightly weathered,Full Thickness,2.5,32.2,61.5,3.8,5.1,82.2,1.1,7.3,0.4,"14,346",0.6,0.02,0.02,0.4,3.5,"2,410","2,460","2,780", --- ,0.56,4,40,26,6.4,0.88,0.03,0.39,0.52,14,1.1,0.13,9.7,7500,5600,1800,210,120,170,3800,270,1600,0.017,2.8,0.28,15,21,0.76,0.42,86,0.038,9,0,1.8,4.5,0.49,13,1.2,0.28,0.15,64,1.1,0.84,0.12,0.3,0.016,0.19,0.19,0.42,6,6,0.035,10,1.2,0.68,3.4,8.8,0.62,23,2.7,0.042,1.9,0.19,23,0.28,0.062,0.09,0.7,1.1,3,0.75,0.042,180,0.07,0.11,0,1,0.09,0.13,0.13,6,0.42,3.6,0.25,2.8,7.6,,R7161-59A-4,VADMR-HENDERSON J A,77/10/14,AAAAAAAAAAAA5944
5 / 10,,EASTERN,CENTRAL APPALACHIAN,PENNSYLVANIAN,LOWER,VIRGINIA,SOUTHWEST VIRGINIA,POCAHONTAS NO 3,POCAHONTAS,BITUMINOUS,R-8477,W,214764,88A-8,37.165503,N,-82.017151,W,VANSANT (7.5'),BUCHANAN,62.40,"UG,VA POCAHONTAS #6",Underground mine,1,fresh / unweathered,Full Thickness,1.24,18.25,68.31,12.2,3.99,78.73,1.09,3.29,0.7,"13,520",0.63,0.02,0.19,0.49,7.5,"2,420","2,500","2,600", --- ,1.04,12.9,43,19,13,1.4,0.03,0.8,1.2,7.1,1.2,0.19,8.2,26000,13000,12000,1100,760,1300,6400,920,4200,0.048,12,0.9,14,170,1.2,0.9,39,0.021,17,1300,5.9,12,0.6,25,3.7,0.9,0.32,70,2.5,2.7,0.3,0.7,0.05,0.61,0.61,1.4,11,7.7,0.1,39,3,3.2,6.6,10,2,110,7.2,0.09,6.1,0.42,21,0.9,0.2,0.2,0.6,2.4,2.7,1.4,0.65,210,0.22,0.24,0,2.4,0.42,0.42,0.96,14,0.5,6.7,0.7,4.3,36,,R8477-88A-8,VADMR-WILKES G P,81/09/01,AAAAAAAAAAAA5946
6 / 10,,EASTERN,CENTRAL APPALACHIAN,PENNSYLVANIAN,LOWER,VIRGINIA,SOUTHWEST VIRGINIA,POCAHONTAS NO 3,POCAHONTAS,BITUMINOUS,R-8478,W,214765,88A-9,37.180780,N,-82.075312,W,VANSANT (7.5'),BUCHANAN,64.80,"UG,VA POCAHONTAS #5",Underground mine,1,fresh / unweathered,Full Thickness,1.14,18.81,70.03,10.02,4.16,79.69,1.14,4.15,0.84,"13,894",0.31,0.04,0.28,0.52,6.5,"2,360","2,480","2,570", --- ,1.15,8.1,31,20,12,2.3,0.04,1.2,2.5,13,0.8,0,11,12000,8700,6900,1100,750,1700,7400,390,3700,0.019,30,0.57,19,120,0.28,0.57,33,0.036,12,1500,3.2,8.8,0.8,14,1.2,0.57,0.21,80,2.5,0.85,0.085,0.4,0.072,0.39,0.39,0.85,6,2.9,0.05,27,2.1,0.28,1.8,4.5,1.2,2.4,5.8,0.057,3.9,0.26,21,0.57,0.12,0.12,0.9,1.9,3.7,0.9,0.28,110,0.12,0.17,0,1.6,0.26,0.26,0.49,7.5,0.49,2.1,0.4,6.5,6,,R8478-88A-9,VADMR-WILKES G P,81/09/01,AAAAAAAAAAAA5947
7 / 10,,EASTERN,CENTRAL APPALACHIAN,PENNSYLVANIAN,LOWER,VIRGINIA,SOUTHWEST VIRGINIA,POCAHONTAS NO 3,POCAHONTAS,BITUMINOUS,R-8479,W,214766,88A-10,37.233256,N,-82.103863,W,VANSANT (7.5'),BUCHANAN,55.80,"UG,VA POCAHONTAS #3",Underground mine,11,slightly weathered,Full Thickness,1.56,20.3,73.94,4.2,4.56,85.24,1.17,4.27,0.56,"14,668",0.64,0.04,0.05,0.47,5.0,"2,140","2,210","2,290", --- ,0.82,4.2,28,19,15,1.7,0.05,1.4,0.82,10,0.82,0.11,15,5400,4200,4600,420,420,290,3000,210,2500,0.008,2.7,0.29,6.3,71,0.71,0.29,38,0.008,7,2100,2.6,3.8,0.2,8.4,0.65,0.29,0.15,40,0.92,0.44,0.071,0.2,0.05,0.2,0.2,0.44,5,1.6,0.04,18,3.2,0.67,5,3.2,0.65,21,2.2,0.029,3.1,0.14,14,0.29,0.065,0.065,0.2,0.82,1.6,0.7,0.044,110,0.05,0.13,0,0.6,0.14,0.14,0.2,5.5,0.49,4.2,0.4,1.3,12,,R8479-88A-10,VADMR-WILKES G P,81/09/01,AAAAAAAAAAAA5952
8 / 10,,EASTERN,CENTRAL APPALACHIAN,PENNSYLVANIAN,LOWER,VIRGINIA,SOUTHWEST VIRGINIA,POCAHONTAS NO 3,POCAHONTAS,BITUMINOUS,R-8480,W,214762,87B-7,37.247140,N,-81.953630,W,KEEN MOUNTAIN (7.5'),BUCHANAN,42.60,"UG,VA POCAHONTAS #2",Underground mine,11,slightly weathered,Full Thickness,1.53,17.67,76.43,4.37,4.32,84.99,1.16,4.51,0.65,"14,735",0.61,0.06,0.14,0.45,3.0,"2,270","2,380","2,470", --- ,0.81,5.9,40,20,10,1.4,0.05,0.49,1.1,13,1.1,0.12,8.8,11000,6400,4400,510,210,570,5500,380,2100,0.035,7.2,0.41,2.7,65,1.5,0.41,51,0.026,11,1400,6.6,6.4,0.3,14,0.91,0.41,0.21,30,2.4,1.6,0.83,0.4,0.056,0.28,0.28,0.62,6,6.5,0.08,23,3.3,0.71,7.1,11,0.91,31,5.3,0.041,2.8,0.19,10,0.41,0.091,0.091,0.8,1.7,2,1,0.1,65,0.13,0.21,0,1.3,0.19,0.19,0.24,8.9,0.4,4.8,0.8,6.5,11,,R8480-87B-7,VADMR-WILKES G P,81/07/17,AAAAAAAAAAAA5954
9 / 10,,EASTERN,CENTRAL APPALACHIAN,PENNSYLVANIAN,LOWER,VIRGINIA,SOUTHWEST VIRGINIA,POCAHONTAS NO 3,POCAHONTAS,BITUMINOUS,R-8481,W,214767,88A-11,37.244109,N,-82.026688,W,VANSANT (7.5'),BUCHANAN,46.80,"UG,VA POCAHONTAS #1",Underground mine,11,slightly weathered,Full Thickness,1.45,18.05,76.86,3.64,4.29,85.76,1.17,4.48,0.66,"14,773",0.55,0.09,0.11,0.46,3.5,"2,200","2,340","2,420", --- ,0.95,8.8,51,24,5,0.88,0.02,0.82,0.83,7.4,1.4,0.09,4.2,21000,11000,3100,470,540,610,4500,730,1500,0.044,10,0.62,7.6,86,2.5,0.62,47,0.018,17,1800,5.8,9.3,0.3,17,1.4,1.2,0.28,70,2.5,0.92,0.67,0.6,0.072,0.42,0.42,0.92,10,11,0.11,14,4.2,2.4,11,13,1.4,35,5.6,0.062,4.2,0.28,21,0.62,0.14,0.14,0.7,2.3,2.7,1.2,0.43,110,0.2,0.26,0,2,0.28,0.28,0.24,14,0.4,8,0.8,4.8,26,,R8481-88A-11,VADMR-WILKES G P,81/09/01,AAAAAAAAAAAA5953
