OBJECTID,PARK_NAME,ADDRESS,PARK_TYPE,ACRES,BASEBALL_F,SOFTBALL_F,FOOTBALL_S,BASKETBALL,TENNIS_COU,PLAYGROUND,POOLS,GYMS,PICNIC_SHE,PICNIC_TAB,REC_CENTER,LIGHTED_FI,RESTROOMS,DETAILS
1,Pollard Street Playground,913 Pollard Street,NAP,1,0,0,0,2,0,1,0,0,0,0,0,0,no,none
10,Campostella Center,1130 Leake Street,CCAPA,5,0,0,0,2,0,1,0,0,0,0,1,0,no,none
14,St Helena Elementary Berkley Community Center,903 South Main Street,SCSSAPA,7,0,1,1,1,1,1,0,0,0,5,1,0,yes,none
16,Barraud Park,1136 Vista Street,CP,23,1,0,1,3,3,0,0,0,3,3,0,1,yes,"ampitheater, boxing, nature trail, canoe launch"
17,Azalea Little League Park,1147 Pineridge Road,NAP,27,0,8,1,0,0,1,0,0,1,1,0,0,no,none
18,Azalea Acres Playground,5860 Townley Avenue,NAP,4,0,0,0,1,1,1,0,0,0,2,0,0,no,none
19,Winona Dog Park,3400 Norway Place,DP,1,0,0,0,0,0,0,0,0,0,0,0,0,no,none
20,Ashby Street Park,5416 Ashby Street,NAP,1,0,0,0,0,0,0,0,0,0,0,0,0,no,none
23,38th Street Playground,841 38th Street,NAP,1,0,0,0,2,0,0,0,0,0,1,0,0,no,none
24,37th Street Park,1430 37th Street,NAP,1,0,0,0,0,0,1,0,0,0,1,0,0,no,none
26,Greenway Court Park,930 Greenway Park,NAP,3,0,0,0,0,0,1,0,0,0,0,0,0,no,none
27,Graydon Place,1400 Block Graydon Place,MUOS,7,0,0,0,0,0,0,0,0,0,0,0,0,no,none
29,Goff and Maltby Mini Park,1305 Maltby Avenue,NAP,1,0,0,0,0,0,1,0,0,0,1,0,0,no,none
33,Fergis Reid Tennis Courts,915 Orapax Avenue,NAP,2,0,0,0,0,8,0,0,0,0,0,0,0,no,none
34,Diggs Town Park,1401 Melon Street,NAP,0.5,0,1,0,4,0,1,0,1,0,0,1,0,no,none
35,Craig Street Playground,435 Craig Street,NAP,0.25,0,0,0,1,0,1,0,0,0,1,0,0,no,none
41,North Fox Hall Playground,2651 Bartin Street,NAP,2,0,1,1,0,0,1,0,0,0,1,0,0,no,none
43,Munson Park Playground,2608 Gosnold Avenue,NAP,2,0,0,0,1,0,1,0,0,0,0,0,0,no,none
45,Monticello Village Park,8075 West Glen Road,NAP,5,1,1,1,1,0,1,0,0,0,0,0,0,no,none
46,Mona Avenue Park,8230 Mona Avenue,NAP,0.5,0,0,0,0,0,1,0,0,0,0,0,0,no,none
51,Lakewood Park,1612 Willow Wood Drive,CP,51.8,1,1,2,1,9,1,0,0,3,3,0,2,yes,"canoe launch, rowing center, music and dance center"
54,Hyde Park Playground,555 Austin Street,NAP,1,0,0,0,0,0,1,0,0,0,0,0,0,no,none
56,Harbor Park,150 Park Avenue,FBOS, ,0,0,0,0,0,0,0,0,0,0,0,0,no,1 stadium
57,Shoop Park,2400 Shoop Avenue,NAP,10,0,1,1,1,0,1,0,0,2,0,0,0,yes,hiking trail
61,Riverpoint Playground,6050 Newport Avenue,NAP,2,0,0,0,0.5,0,1,0,0,0,0,0,0,no,none
62,River Oaks Park,5392 Roslyn Street,NAP,1.5,0,0,0,1,0,1,0,0,0,1,0,0,no,none
65,Raleigh Avenue Playground,635 Raleigh Avenue,NAP,1,0,0,0,0,0,2,0,0,0,0,0,0,no,none
67,Poplar Hall Park,101 N Military Highway,CP,16,1,1,1,4,0,1,0,0,0,3,0,2,no,canoe launch
