OBJECTID,PARK_NAME,ADDRESS,PARK_TYPE,ACRES,BASEBALL_F,SOFTBALL_F,FOOTBALL_S,BASKETBALL,TENNIS_COU,PLAYGROUND,POOLS,GYMS,PICNIC_SHE,PICNIC_TAB,REC_CENTER,LIGHTED_FI,RESTROOMS,DETAILS
71,East Ocean View Community Center,9520 20th Bay Street,CCAPA,12,0,1,1,0,0,1,0,1,3,3,1,0,yes,beach access
72,Oakmont North Playground,3501 Oakmont Court,NAP,3,0,0,0,0,0,1,0,0,0,2,0,0,no,none
73,Northside Park,8400 Blk Tidewater Drive,CP,52,0,3,1,2,7,2,1,0,16,57,0,2,yes,"1/2 mile hiking trail, indoor pool"
77,Westover Memorial Park,1424 Westover Avenue,NAP,1,0,0,0,0,0,1,0,0,0,0,0,0,no,none
79,Virginia Park,5801 Upper Brandon Place,MUOS, ,0,0,0,0,0,0,0,0,0,0,0,0,no,none
82,Titustown Visual Arts Center,7545 Diven Street,CCAPA,7,0,1,1,0,0,1,0,1,0,0,1,0,no,"computer lab, kilns for cermanics"
91,Ocean View Park,120 W Ocean View Avenue,FP,7,0,0,0,0,0,0,0,0,1,3,0,0,yes,"beach access, large band shell"
8,Captains Quarters Park,800 Little Bay Avenue,CCAPA,3,0,0,0,0,0,0,0,0,0,0,0,0,no,"beach access, volleyball"
30,Glennwood Park,8100 Evergreen Avenue,NAP,2,0,0,0,1,0,0,0,0,0,0,0,0,no,none
97,Sewells Point Elementary School,7928 Hampton Boulevard,SSAPA,,,,,,,,,,,,,,,
98,Hermitage Museum Playground,7637 North Shore Road,NAP,,,,,,,,,,,,,,,
99,Meadowbrook Elementary School,7620 Shirland Avenue,SSAPA,,,,,,,,,,,,,,,
3,North Shore Road Playground,451 North Shore Road,NAP,1,0,0,0,0,0,1,0,0,0,0,0,0,no,none
101,Norfolk Fitness and Wellness Center,7300 Newport Avenue,CCAPA,,,,,,,,,,,,,,,
102,Granby Elementary School,7101 Newport Avenue,SSAPA,,,,,,,,,,,,,,,
103,Granby High School,7101 Granby Street,SSAPA,,,,,,,,,,,,,,,
104,Suburban Park Elementary School,310 Thole Street,SSAPA,,,,,,,,,,,,,,,
105,Forest Lawn Cemetery,8100 Granby Street,CEM,,,,,,,,,,,,,,,
60,Roland Park Playground,598 Summers Drive,NAP,1,0,0,0,0,0,1,0,0,0,1,0,0,no,none
106,Crossroads Elementary School and Recreation Center,7920 Tidewater Drive,SCSSAPA,,,,,,,,,,,,,,,
107,Oakwood Elementary School,900 Ashbury Avenue,SSAPA,,,,,,,,,,,,,,,
108,Northside Middle Mary Calcott Elementary THRC,180 E Evans Street,SCSSAPA,,,,,,,,,,,,,,,
109,Tucker School,2300 Berkley Avenue Extended,SSAPA,,,,,,,,,,,,,,,
9,Campostella Landfill Park,2400 Berkley Avenue Extended,KFPS,60,0,0,0,0,0,0,0,0,0,0,0,0,no,none
89,South Main Street Playground,324 South Main Street,NAP,.5,0,0,0,0,0,1,0,0,0,0,0,0,no,none
110,Berkley Park,706 Walker Avenue,NAP,,,,,,,,,,,,,,,
111,Magnolia Cemetery,500 Lancaster Street,CEM,,,,,,,,,,,,,,,
112,Riverside Cemetery,1000 E Indian River Road,CEM,,,,,,,,,,,,,,,
113,Campostella Elementary School,1106 Campostella Road,SSAPA,,,,,,,,,,,,,,,
81,Town Point Park,201 Waterside Drive,FP,7,0,0,0,0,0,0,0,0,0,0,0,0,no,none
114,Reservior Avenue Mini Park,401 Reservoir Avenue,NAP,,,,,,,,,,,,,,,
115,Ruffner Middle School,610 May Avenue,SSAPA,,,,,,,,,,,,,,,
116,Tidewater Park Elementary School,1045 E Brambleton Avenue,SSAPA,,,,,,,,,,,,,,,
117,Willard Model School,1511 Willow Wood Drive,SSAPA,,,,,,,,,,,,,,,
118,Lafayette Winona Middle School,1701 Alsace Avenue,SSAPA,,,,,,,,,,,,,,,
55,Huntersville Community Center,880 Goff Street,CCAPA,13,0,0,1,0,2,2,1,1,1,3,1,0,no,indoor pool
37,Stuart Early Childhood Center,446 Virginia Avenue,SSAPA,5,0,0,0,0,0,1,0,0,0,1,0,0,no,none
59,Lafayette Residence Park,1270 Lafayette Boulevard,NAP,2,0,0,0,0,0,1,0,0,0,0,0,0,no,none
120,Lafayette Dog Park,1270 Lafayette Boulevard,DP,2,0,0,0,0,0,1,0,0,0,0,0,0,no,none
121,Lake Wright Golf Course,62862 Northampton Boulevard,FBOS,,,,,,,,,,,,,,,
122,Lamberts Point Golf Course,4301 Powhatan Avenue,FBOS,,,,,,,,,,,,,,,
123,Ocean View Golf Course,9548 Norfolk Avenue,FBOS,,,,,,,,,,,,,,,
126,Norfolk Botanical Garden,6700 Azalea Garden Road,FBOS,,,,,,,,,,,,,,,
127,Stockley Garden Dog Park,1300 Stockley Gardens,DP,,,,,,,,,,,,,,,
128,Stockley Garden- North Blocks,1200 1400 Stockley Gardens,MUOS,,,,,,,,,,,,,,,
130,Azalea Garden Middle School,7721 Azalea Garden Road,SSAPA,,,,,,,,,,,,,,,
132,Ballentine School,2415 Ballentine Boulevard,SSAPA,,,,,,,,,,,,,,,
133,Bayview Elementary and Recreation Center,1434 E Bayview Boulevard,SCSSAPA,,,,,,,,,,,,,,,
134,Booker T Washington High School,1111 Park Avenue,SSAPA,,,,,,,,,,,,,,,
143,Tait Terrace Dog Park,2717 Tait Terrace,DP,,,,,,,,,,,,,,,
144,Maple Avenue Dog Park,176 Maple Avenue,DP,,,,,,,,,,,,,,,
145,PB Young Elementary School,543 E Olney Road,SSAPA,,,,,,,,,,,,,,,
146,Willoughby Elementary School,9500 4th View Street,SSAPA,,,,,,,,,,,,,,,
147,WH Taylor Elementary School,1122 W Princess Anne Road,SSAPA,,,,,,,,,,,,,,,
148,Tanners Creek Elementary School,1335 Longdale Drive,SSAPA,,,,,,,,,,,,,,,
149,Rosemont Middle School,1330 Branch Road,SSAPA,,,,,,,,,,,,,,,
150,Poplar Hall Elementary School,5523 Pebble Lane,SSAPA,,,,,,,,,,,,,,,
95,Ocean View Elementary School,9501 Mason Creek Road,SSAPA,,,,,,,,,,,,,,,
151,Oceanair Elementary School,600 Dudley Avenue,SSAPA,,,,,,,,,,,,,,,
152,Norview High School,6501 Chesapeake Boulevard,SSAPA,,,,,,,,,,,,,,,
153,Norview Elementary Norview Community Center,6401 Chesapeake Boulevard,SCSSAPA,,,,,,,,,,,,,,,
154,Norview Middle School,6325 Sewells Point Road,SSAPA,,,,,,,,,,,,,,,
155,Maury High School,322 Shirley Avenue,SSAPA,,,,,,,,,,,,,,,
156,Madison Career Center,3700 Bowdens Ferry Road,SSAPA,,,,,,,,,,,,,,,
157,Little Creek Elementary School,7900 Tarpon Place,SSAPA,,,,,,,,,,,,,,,
158,Lindenwood Elementary School,2700 Ludlow Street,SSAPA,,,,,,,,,,,,,,,
159,Larrymore Elementary School,7600 Halprin Drive,SSAPA,,,,,,,,,,,,,,,
160,Lake Taylor Middle and High School,1380 Kempsville Road,SSAPA,,,,,,,,,,,,,,,
161,Jacox Elementary School,1300 Marshall Avenue,SSAPA,,,,,,,,,,,,,,,
162,Ghent Elementary School,200 Shirley Avenue,SSAPA,,,,,,,,,,,,,,,
163,Easton PreSchool,6045 Curlew Drive,SSAPA,,,,,,,,,,,,,,,
164,Dreamkeepers Academy,2600 E Princess Anne Avenue,SSAPA,,,,,,,,,,,,,,,
165,Coronado School,1025 Widgeon Road,SSAPA,,,,,,,,,,,,,,,
166,Coleman Place Elementary School,2445 Palmyra Street,SSAPA,,,,,,,,,,,,,,,
168,Richard Bowling Elementary School,2861 E Princess Anne Road,SSAPA,,,,,,,,,,,,,,,
169,James Blair Middle School,730 Spotswood Avenue,SSAPA,,,,,,,,,,,,,,,
170,Berkley Campostella Early Childhood Center,1530 Cypress Street,SSAPA,,,,,,,,,,,,,,,
171,Tarrallton Elementary and Community Center,2080 Tarrallton Drive,SCSSAPA,,,,,,,,,,,,,,,
172,Sherwood Forest Elementary and Community Center,3035 Sherwood Forest Lane,SCSSAPA,,,,,,,,,,,,,,,
173,Larchmont Elementary and Recreation Center,1167 Bolling Avenue,SCSSAPA,,,,,,,,,,,,,,,
174,James Monroe Elementary and Park Place Recreation,520 W 29th Street,SCSSAPA,,,,,,,,,,,,,,,
175,Ingleside Elementary and Recreation Center,976 Ingleside Road,SCSSAPA,,,,,,,,,,,,,,,
176,Fairlawn Elementary and Recreation Center,1132 Wade Street,SCSSAPA,,,,,,,,,,,,,,,
177,Chesterfield Elementary and Community Pool,2915 Westminster Avenue,SCSSAPA,,,,,,,,,,,,,,,
185,Redgate Playground,935 Redgate Avenue,NAP,,,,,,,,,,,,,,,
186,Pretty Lake Playground,2400 Pretty Lake  Drive,NAP,,,,,,,,,,,,,,,
188,Monkey Bottom Park,9635 Mason Creek Road,NAP,,,,,,,,,,,,,,,
189,Lafayette Park,3500 Granby Street,CP,60,0,1,2,6,2,1,0,0,7,7,0,0,yes,"1 hiking trail, 1 boat ramp"
190,West Point Cemetery,238 E Princess Anne Road,CEM,,,,,,,,,,,,,,,
191,Elmwood Cemetery,238 E Princess Anne Road,CEM,,,,,,,,,,,,,,,
192,Hebrew Cemetery,1200 Tidewater Drive,CEM,,,,,,,,,,,,,,,
193,Calvary Cemetery,1600 Saint Julian Avenue,CEM,,,,,,,,,,,,,,,
194,Vivian C Mason Center,700 E Olney Road,CCNPC,,,,,,,,,,,,,,,
195,Ocean View Community Center,600 E Ocean View Avenue,CCAPA,,,,,,,,,,,,,,,
196,Cedar Grove Cemetery,239 E Princess Anne Road,CEM,,,,,,,,,,,,,,,
198,Botetourt Gardens- North Blocks,"1100, 1200 Botetourt Gardens",MUOS,,,,,,,,,,,,,,,
199,Botetourt Gardens- South Blocks,"600, 700, 800 Botetourt Gardens",MUOS,,,,,,,,,,,,,,,
200,Poplar Halls,"5400, 5500, 5600 Poplar Hall Drive",MUOS,,,,,,,,,,,,,,,
92,Tarrallton Park,2080 Tarrallton Drive,CP,,,,,,,,,,,,,,,
93,Bluestone Playground,5209 Bluestone Avenue,NAP,,,,,,,,,,,,,,,
94,Kaboom Playground,352 San Antonio Boulevard,NAP,,,,,,,,,,,,,,,
201,Berkley Dog Park,500 Culpepper Street,DP,,,,,,,,,,,,,,,
15,Beechwood Park,350 Beechwood Place,NPP,1,0,0,0,0,0,0,0,0,0,0,0,0,no,none
22,Airport Gateway Park,1936 Norview Avenue,NPP,2,0,0,0,0,0,0,0,0,0,0,0,0,no,none
31,Friendship Park,265 W Tazwell Street,NPP,1,0,0,0,0,0,0,0,0,0,0,0,0,no,"pagoda, water garden"
36,Community Beach,700 E Ocean View Avenue,NPP,10,0,0,0,0,0,0,0,0,1,0,0,0,yes,beach access
47,MLK Plaza,701 Church Street,NPP,0.5,0,0,0,0,0,0,0,0,0,0,0,0,no,viewing garden
63,Myrtle Park,6125 Myrtle Park,NPP,0.75,0,0,0,0,0,0,0,0,0,0,0,0,no,none
68,Plume Fountain,435 E Plume Street,NPP,1,0,0,0,0,0,0,0,0,0,0,0,0,no,none
69,Plum Point Park,1001 W Brambleton Avenue,NPP,4,0,0,0,0,0,0,0,0,0,0,0,0,no,walking trails
75,Yellow Fever Park,900 W Princess Anne Road,NPP,1,0,0,0,0,0,0,0,0,0,0,0,0,no,none
76,Wisconsin Plaza,235 Brooke Avenue,NPP,.25,0,0,0,0,0,0,0,0,0,0,0,0,no,viewing garden
85,Stone Park,601 W Olney Road,NPP,0.5,0,0,0,0,0,0,0,0,0,0,0,0,no,seasonal color garden
58,Sarah Constance Park,324 W Ocean View Avenue,NPP,10,0,0,0,0,0,1,0,0,1,1,0,0,yes,none
100,Algonquin Park,1058 North Shore Road,NPP,,,,,,,,,,,,,,,
70,Olney Road Parks,"300, 400, 500 Blks Olney Road",NPP,3,0,0,2,0,0,0,0,0,0,0,0,0,no,none
124,Lake Modoc,9510 Chesapeake Boulevard,NPP,,,,,,,,,,,,,,,
129,Stockley Garden- South Blocks,600 700 800 Stockley Gardens,NPP,,,,,,,,,,,,,,,
178,Tanners Creek,6700 E Tanners Creek Drive,NPP,,,,,,,,,,,,,,,
84,Stone Bridge Park,3126 South Stone Bridge Drive,NPP,1,0,0,0,0,0,0,0,0,0,0,0,0,no,seasonal color garden
179,Middletown Arch,2724 Park Crescent,NPP,,,,,,,,,,,,,,,
180,MacArthur Memorial Plaza,404 E Plume Street,NPP,,,,,,,,,,,,,,,
181,Fred Huette Center,1000 Botetourt Gardens,NPP,,,,,,,,,,,,,,,
182,Colonial Avenue Park,3300 Colonial Avenue,NPP,,,,,,,,,,,,,,,
184,Broad Creek Park,3000 E Virginia Beach Boulevard,NPP,,,,,,,,,,,,,,,
52,Virginia Zoological Park,3500 Granby Street,FBOS,60,0,1,2,6,2,1,0,0,7,7,0,0,yes,"1 hiking trail, 1 boat ramp"
5,Willoughby Boat Ramp,1275 Bayville Street,PBR,5,0,0,0,0,0,0,0,0,0,0,0,0,no,2 boat ramps
6,Haven Creek Boat Ramp,300 Delaware Avenue,PBR,3,0,0,0,0,0,0,0,0,0,0,0,0,no,1 boat ramp
40,45th Street Boat Ramp,798 45th Street,PBR,1,0,0,0,0,0,0,0,0,0,2,0,0,no,2 boat ramps
66,Princess Anne Park,1450 Kempsville Road,NAP,3,0,1,0,1,0,0,0,0,1,0,0,0,no,volleyball
202,Harbor Park Boat Ramp,1235 Water Street,PBR,,,,,,,,,,,,,,,1 boat ramp
203,Lafayette City Park Boat Ramp,279 LaValette Avenue,PBR,,,,,,,,,,,,,,,
204,Lamberts Point Community Center,,CCAPA,,,,,,,,,,,,,,,
50,Gleneagles Dog Park,1201 Daniel Avenue,DP,3,0,0,0,0,0,0,0,0,0,0,0,0,no,none
197,Brambleton Dog Park,1306 Corprew Avenue,DP,,,,,,,,,,,,,,,
135,Cambridge Crescent Dog Park,6125 Carroll Place,DP,0.75,0,0,0,0,0,0,0,0,0,0,0,0,no,dog park
11,Cambridge Park,6125 Carroll Place,NPP,0.75,0,0,0,0,0,0,0,0,0,0,0,0,no,dog park
119,Colonial Greenway Dog Park,405 Delaware Avenue,DP,5,0,0,0,0,0,0,0,0,0,1,0,0,no,dog park (lighted)
38,Colonial Greenway,3901 Llewellyn Avenue,NAP,5,0,0,0,0,0,0,0,0,0,1,0,0,no,dog park (lighted)
25,Hague Dog Park,700 W Brambleton Avenue,DP,7,0,0,0,0,0,0,0,0,0,0,0,0,no,none
206,Hague Park,700 W Brambleton Avenue,NPP,7,0,0,0,0,0,0,0,0,0,0,0,0,no,none
183,Freemason Green,255 College Cross,NPP,,,,,,,,,,,,,,,
13,Jeff Robertson Park,1220 Azalea Court,NAP,15,0,1,1,0,0,0,0,0,0,1,0,0,no,large seperate dog park
209,Camp Allen Elementary School,501 C Street,SSAPA,,,,,,,,,,,,,,,
