OBJECTID_12,OBJECTID_1,OBJECTID,WATERSHEDI,WATERSHED_,Shapearea,Shapelen
1,19,6,11,Lower West Neck Creek,26687630.1788715,27005.3995824528
2,17,4,16,Lower North Landing River,43532485.0286295,42051.4766937904
3,7,24,2,Lake Wright - Lake Taylor,5736760.31367184,15403.5621560258
4,14,1,27,Munden Point,16329997.6312678,19261.6156829385
5,16,3,26,Blackwater,134794006.87204,53490.1475169829
6,9,26,5,Eastern Branch Lynnhaven River,29202155.2312351,29129.1275474935
7,13,29,30,Seashore,80657112.5840795,48742.0492029971
8,22,9,14,Lower Canal No. 3 South,42407924.6059552,36339.3279407483
9,20,7,23,Upper Back Bay Basins,47658446.1499674,31580.405300667
10,11,28,3,Western Branch Lynnhaven River,34032942.5649085,26941.8897150569
11,6,23,4,Thalia Creek,51382080.3629765,40311.8574951717
12,29,16,18,King Creek & Banbury - Level Green,8374300.68238072,15660.868718266
13,27,14,22,Watershed 22,15957079.6454312,23438.5125162189
14,26,13,10,Upper West Neck Creek,82532392.0769981,46397.4639212256
15,3,20,8,Great Neck Creek,12645088.714007,17208.8940724486
16,15,2,25,Lower Back Bay,17665979.4138998,23218.3144822036
17,21,8,28,Sandbridge,236145901.387345,79770.4667474343
18,10,27,31,Little Creek Amphibious Base,19381861.6413209,24053.351124855
19,18,5,24,Middle Back Bay,45028038.2640236,34277.0275606475
20,30,17,20,Watershed 20,2557928.1844099,9092.28917408348
21,4,21,6,London Bridge Creek,52718071.8695221,35286.9636055588
22,28,15,17,Watershed 17,11461027.6183069,17297.3390301961
23,23,10,15,Canal No. 4,13776692.844101,20907.6925485316
24,1,18,29,Owls Creek,16129813.8752566,20805.8903782106
25,25,12,12,Stumpy Lake,30935245.6639814,27356.8330956767
26,2,19,21,Huntington Basin,10836854.9470976,15501.6281247348
27,24,11,13,Salem Canal,25690348.763145,27461.933807431
28,31,17,19,Other Basins South of E. Branch Elizabeth River,5623386.09716224,11644.7588520496
29,5,22,7,Wolfsnare Creek,16637987.0242483,18389.6268345976
30,8,25,1,Little Creek,31319344.6205075,26835.5923267896
31,12,30,9,Canal No. 1 South,72228090.7797069,51959.0211534318
