OBJECTID,STATE10,COUNTY10,TRACT10,BLKGRP10,GEOID10,ALAND10,AWATER10,Shape_Length,Shape_Area
2,51,510,200201,3,515102002013,389600,0,8781.4938590806,4193200.31919416
1,51,510,200801,2,515102008012,737460,0,18423.3705750415,7937207.81976551
3,51,510,200703,2,515102007032,294024,50986,8626.34224407555,3713292.94662785
4,51,510,201801,4,515102018014,305526,61950,9321.68979329928,3955086.35470016
5,51,510,201203,1,515102012031,255042,67426,11214.5719054412,3470701.36393626
6,51,510,200107,3,515102001073,138716,0,5298.02244240497,1492985.11259129
9,51,510,201801,1,515102018011,121246,0,6407.05138902024,1304970.71904598
7,51,510,200703,3,515102007033,97146,0,4652.984130234,1045557.40871961
8,51,510,200102,1,515102001021,84815,0,4111.62034745021,912857.684712025
10,51,510,200801,1,515102008011,1119147,0,15838.204020261,12045272.5682771
12,51,510,200600,2,515102006002,1207394,92621,25115.0666839938,13991882.6715782
11,51,510,200404,1,515102004041,593139,33407,14087.5009553535,6743442.42510734
13,51,510,201203,2,515102012032,68018,0,3623.91570937193,732071.191178001
14,51,510,200202,1,515102002021,817559,0,16436.2090847478,8799286.34494579
16,51,510,200202,2,515102002022,610398,0,13391.0853551671,6569637.1918367
17,51,510,200106,1,515102001061,287405,0,11083.7448193818,3093324.96185932
15,51,510,201802,2,515102018022,210434,13831,7866.49583440273,2413740.68627931
18,51,510,200405,1,515102004051,402571,0,8919.62442841002,4332819.27473242
19,51,510,200406,3,515102004063,155340,0,5791.56497743151,1671901.22215672
20,51,510,201500,3,515102015003,327438,0,8346.24055179554,3524182.11686855
21,51,510,200103,1,515102001031,514009,13832,12154.057067052,5681103.25402024
22,51,510,201203,4,515102012034,500668,80280,11083.1833861854,6252703.49465822
23,51,510,200302,2,515102003022,175816,0,7350.95107603631,1892302.18527186
24,51,510,202002,2,515102020022,236165,406611,11473.8158172788,6918101.78676695
25,51,510,200405,2,515102004052,235277,0,7698.95581346577,2532263.59632543
26,51,510,200102,2,515102001022,611692,841,16353.8902336893,6592618.67236976
28,51,510,200600,1,515102006001,268231,0,8190.83469878491,2886946.04544134
27,51,510,200703,1,515102007031,754062,1287,11615.4320585018,8129701.14633319
29,51,510,201400,4,515102014004,222096,0,7568.53564120674,2390389.23013409
30,51,510,201100,2,515102011002,514963,0,12275.8379586801,5542522.92178698
31,51,510,200600,5,515102006005,56447,0,3631.06488710401,607529.812125608
32,51,510,200500,3,515102005003,190648,0,6476.91794049922,2051922.07299582
33,51,510,200201,2,515102002012,1270128,0,17389.9562407182,13670252.7269144
34,51,510,200102,3,515102001023,440512,1106,13504.2949856284,4753098.71643528
35,51,510,201204,1,515102012041,200993,0,8316.19322912816,2163257.52513646
36,51,510,201900,2,515102019002,387364,0,10025.7955114451,4169140.95240044
40,51,510,201600,1,515102016001,234322,0,8281.79088309427,2521975.45028648
37,51,510,200303,2,515102003032,65615,0,3587.24371668113,706205.908498868
39,51,510,201204,2,515102012042,280927,0,8147.46857328316,3023584.47122114
38,51,510,201600,3,515102016003,128682,0,5894.67316405158,1384996.33045314
41,51,510,200107,1,515102001071,260689,0,9827.82749157901,2805793.8261805
42,51,510,200407,2,515102004072,208548,0,7440.59897373587,2244565.99551024
43,51,510,201802,1,515102018021,175781,0,6163.50768414434,1891911.69946877
44,51,510,200403,1,515102004031,1204479,74550,21445.614101494,13765978.1374566
46,51,510,202002,1,515102020021,382819,11672,8500.62435873258,4245845.10556733
45,51,510,200900,1,515102009001,389365,0,9759.54253698942,4190732.56815916
47,51,510,200302,1,515102003021,1220322,640,19610.0571277351,13141069.1680467
48,51,510,200802,3,515102008023,458713,3168,12643.1553046541,4971167.20713365
49,51,510,200106,2,515102001062,282369,0,8018.93115084462,3039123.00226958
50,51,510,202001,3,515102020013,108391,17107,8400.78238900206,1350728.81469374
51,51,510,200900,3,515102009003,771490,0,12713.4839710167,8303463.46949052
52,51,510,200405,5,515102004055,330418,0,12970.7057019671,3556257.16560451
53,51,510,200802,1,515102008021,306742,2161,8327.70692589256,3324690.94553737
54,51,510,201000,2,515102010002,307523,0,8364.03809672896,3309850.53409379
56,51,510,200201,1,515102002011,509894,0,11402.6414744031,5487938.33733923
55,51,510,200600,3,515102006003,176342,0,7503.31926204913,1897940.13008589
57,51,510,201600,2,515102016002,303000,0,9802.4257843057,3261148.20755234
58,51,510,200900,4,515102009004,616711,0,12278.6699891892,6637586.92370151
59,51,510,200302,3,515102003023,87760,0,3770.85338345054,944545.725857892
60,51,510,200104,2,515102001042,153019,0,5876.32281972634,1646926.13426631
61,51,510,200301,2,515102003012,48829,0,2878.73555219932,525538.606348661
62,51,510,200303,3,515102003033,59876,0,3762.46789798116,644442.853633852
63,51,510,201203,3,515102012033,161660,0,8536.31476976044,1739949.44096483
64,51,510,200405,4,515102004054,143929,0,5930.26310935905,1549090.74485916
66,51,510,201300,3,515102013003,572164,0,10576.4898054748,6158138.5471615
65,51,510,200701,1,515102007011,877369,37308,13934.3492835568,9844552.37486209
68,51,510,201900,1,515102019001,307508,24521,12347.8348114815,3573598.38200733
67,51,510,200500,2,515102005002,219163,0,8079.83719236798,2358825.65611389
69,51,510,200406,1,515102004061,231449,0,9505.75546605639,2491065.00179743
70,51,510,201100,1,515102011001,239632,0,13171.2614644125,2579135.0910939
72,51,510,201500,2,515102015002,271440,0,9284.18509916241,2921483.62530523
73,51,510,200406,2,515102004062,174045,0,5696.82045374026,1873228.85881975
71,51,510,201400,3,515102014003,157479,0,6388.48860771837,1694931.70663047
74,51,510,201600,4,515102016004,146797,0,5027.78555633361,1579938.25281398
75,51,510,200103,3,515102001033,156816,0,5336.0303190113,1687790.20694211
76,51,510,201400,1,515102014001,413649,0,11318.3680862656,4452048.63510896
78,51,510,200303,1,515102003031,412721,2308,10103.3807618764,4466898.8161336
77,51,510,201801,3,515102018013,1026382,6956,27847.6789640458,11121698.0836398
80,51,510,200104,1,515102001041,729505,13732,12238.8240777609,7999396.36984445
