OBJECTID,STATE10,COUNTY10,TRACT10,GEOID10,NAME10,ALAND10,AWATER10,Shape_Length,Shape_Area
2,51,510,200104,51510200104,2001.04,882524,13732,14635.83438,9646322.504111
1,51,510,200102,51510200102,2001.02,1137019,1947,18817.839976,12258575.073517
3,51,510,200105,51510200105,2001.05,186228,0,5937.882218,2004356.974549
4,51,510,200201,51510200201,2002.01,2169622,0,20807.32633,23351391.383448
5,51,510,200202,51510200202,2002.02,1427957,0,18927.912139,15368923.536782
6,51,510,200301,51510200301,2003.01,514295,0,11558.030997,5535285.36051
7,51,510,200302,51510200302,2003.02,1483898,640,18567.591576,15977917.079176
8,51,510,200303,51510200303,2003.03,811632,35915,16463.567212,9122036.173421
9,51,510,200500,51510200500,2005,635150,0,12887.401159,6836035.606214
10,51,510,200600,51510200600,2006,1895544,92621,25092.697076,21398360.067965
11,51,510,200801,51510200801,2008.01,1856607,0,23363.400242,19982480.388043
13,51,510,200900,51510200900,2009,2158935,0,23378.887662,23236400.256485
14,51,510,201000,51510201000,2010,767895,10639,14385.951113,8379271.50353
12,51,510,200802,51510200802,2008.02,996082,5329,20519.339424,10778068.984564
16,51,510,201202,51510201202,2012.02,516118,0,9612.252506,5554912.756879
15,51,510,201100,51510201100,2011,1081307,0,14707.890697,11638037.395023
19,51,510,201300,51510201300,2013,1183712,0,16326.658121,12740162.34146
17,51,510,201203,51510201203,2012.03,985388,147706,21125.112062,12195425.490737
20,51,510,201400,51510201400,2014,1013311,0,17441.111729,10906151.097757
18,51,510,201204,51510201204,2012.04,481920,0,9900.659301,5186841.996358
21,51,510,201500,51510201500,2015,1223878,0,15891.16102,13172448.177154
22,51,510,201600,51510201600,2016,812801,0,15423.683393,8748058.241106
23,51,510,201801,51510201801,2018.01,2818410,95248,33739.744258,31359426.677106
24,51,510,201802,51510201802,2018.02,386215,13831,8676.649386,4305652.385748
25,51,510,201900,51510201900,2019,694872,24521,19853.833692,7742739.334408
26,51,510,202001,51510202001,2020.01,491687,43462,11620.299669,5759731.471846
29,51,510,200106,51510200106,2001.06,821584,0,15320.918077,8842661.061904
27,51,510,202002,51510202002,2020.02,618984,418283,14029.125239,11163946.892334
28,51,510,200103,51510200103,2001.03,1134598,21782,19946.307084,12445979.593048
30,51,510,200107,51510200107,2001.07,638644,0,11985.090959,6873694.969698
32,51,510,200406,51510200406,2004.06,560834,0,11878.7593,6036195.082774
31,51,510,200405,51510200405,2004.05,1231729,0,19420.493807,13256958.915879
33,51,510,200407,51510200407,2004.07,280497,0,7895.944268,3018939.93743
34,51,510,200702,51510200702,2007.02,1199637,17177,16378.71847,13096423.379869
35,51,510,200701,51510200701,2007.01,877369,37308,13934.349284,9844552.374862
36,51,510,200703,51510200703,2007.03,1145232,52273,14830.663646,12888551.501681
37,51,510,200404,51510200404,2004.04,593139,33407,14087.500955,6743442.425107
38,51,510,200403,51510200403,2004.03,1204479,74550,21445.614101,13765978.137457
