OBJECTID,ZONE,LINK,ORDINANCE,ORDDATE,ZONEDFROM,ITEMNO,url,Shapearea
8964,R-13,Residential - MF,,,,,https://www.municode.com/library/va/norfolk/codes/code_of_ordinances?nodeId=COCI_APXAZOOR_ARTIISPDIRE_CH4REDI_4-0GEPR,69644.267506
8966,R-13,Residential - MF,,,,,https://www.municode.com/library/va/norfolk/codes/code_of_ordinances?nodeId=COCI_APXAZOOR_ARTIISPDIRE_CH4REDI_4-0GEPR,105706.694004
8969,C-2,Commercial,,,,,http://library.municode.com/HTML/10121/level4/COCI_APXAZOOR_ARTIISPDIRE_CH6CODI.html#COCI_APXAZOOR_ARTIISPDIRE_CH6CODI_6-2COCODI,196371.708992
8970,R-5,Residential - SF Suburban,,,,,https://www.municode.com/library/va/norfolk/codes/code_of_ordinances?nodeId=COCI_APXAZOOR_ARTIISPDIRE_CH4REDI_4-0GEPR,139065.972659
8971,C-2,Commercial,,,,,http://library.municode.com/HTML/10121/level4/COCI_APXAZOOR_ARTIISPDIRE_CH6CODI.html#COCI_APXAZOOR_ARTIISPDIRE_CH6CODI_6-2COCODI,171227.451736
8972,R-13,Residential - MF,,,,,https://www.municode.com/library/va/norfolk/codes/code_of_ordinances?nodeId=COCI_APXAZOOR_ARTIISPDIRE_CH4REDI_4-0GEPR,257752.833339
8973,R-13,Residential - MF,,,,,https://www.municode.com/library/va/norfolk/codes/code_of_ordinances?nodeId=COCI_APXAZOOR_ARTIISPDIRE_CH4REDI_4-0GEPR,993318.061892
8974,C-3,Commercial,,,,,http://library.municode.com/HTML/10121/level4/COCI_APXAZOOR_ARTIISPDIRE_CH6CODI.html#COCI_APXAZOOR_ARTIISPDIRE_CH6CODI_6-3RECEDI,530066.459433
8975,R-13,Residential - MF,,,,,https://www.municode.com/library/va/norfolk/codes/code_of_ordinances?nodeId=COCI_APXAZOOR_ARTIISPDIRE_CH4REDI_4-0GEPR,378643.70701
8976,C-4,Commercial,,,,,http://library.municode.com/HTML/10121/level4/COCI_APXAZOOR_ARTIISPDIRE_CH6CODI.html#COCI_APXAZOOR_ARTIISPDIRE_CH6CODI_6-4LASCCODI,305106.625125
8977,C-2,Commercial,,,,,http://library.municode.com/HTML/10121/level4/COCI_APXAZOOR_ARTIISPDIRE_CH6CODI.html#COCI_APXAZOOR_ARTIISPDIRE_CH6CODI_6-2COCODI,292045.542872
