objectid,id,data_source,add_date,lat,lng,structure_name,structure_address,structure_city,structure_st,structure_zip,state_ansi,county_ansi,base_elevation,structure_height,structure_type,owner_type,zoom_level,ip_address,structure_owner_name,structure_owner_address,structure_owner_po_box,structure_owner_city,structure_owner_st,structure_owner_zip,structure_owner_phone,structure_owner_email,structure_manager_name,structure_manager_address,structure_manager_po_box,structure_manager_city,structure_manager_st,structure_manager_zip,structure_manager_phone,structure_manager_email,comments,done
"1225925","1270499","FCC: Antenna Structure Registration (GIS)","9/8/2009","37.6861","-77.7944","","RANDOLPH SCHOOL, 1552 SHEPPARD TOWN ROAD","CROZIER","VA","","51","075","103.545089","59.4","","5","","","NATIONAL COMMUNICATION TOWERS, LLC","","","","","","","","","","","","","","","","",""
"1225313","1239695","FCC: Antenna Structure Registration (GIS)","7/24/2003","37.7058","-77.672","","Near Short Pump, VA","Short Pump","VA","","51","075","86.756805","77.7","","5","","","4M Communications, Inc.","","","","","","","","","","","","","","","","",""
"1225312","1239694","FCC: Antenna Structure Registration (GIS)","7/24/2003","37.7064","-77.6719","","Near Short Pump, VA","Short Pump","VA","","51","075","89.42453","76.7","","5","","","4M Communications, Inc.","","","","","","","","","","","","","","","","",""
"1225311","1239693","FCC: Antenna Structure Registration (GIS)","7/24/2003","37.7056","-77.6727","","Near Short Pump, VA","Short Pump","VA","","51","075","84.654327","75.7","","5","","","4M Communications, Inc.","","","","","","","","","","","","","","","","",""
"1225310","1239692","FCC: Antenna Structure Registration (GIS)","7/24/2003","37.7061","-77.672599","","Near Short Pump, VA","Short Pump","VA","","51","075","86.425354","75.7","","5","","","4M Communications, Inc.","","","","","","","","","","","","","","","","",""
"1224933","1212732","FCC: Antenna Structure Registration (GIS)","5/15/2000","37.7493","-77.860599","","Intersection of State Route 634/U.S. Route 250","Gum Springs","VA","","51","075","109.127319","152","","","","","","","","","","","","","","","","","","","","","",""
"1223703","1016172","FCC: Antenna Structure Registration (GIS)","5/14/2004","37.8001","-77.9275","","3763 THREE CHOPT ROAD","GUM SPRINGS","VA","","51","075","110.694839","60.4","","5","","","CROWN CASTLE GT COMPANY LLC","","","","","","","","","","","","","","","","",""
"1225463","1247765","FCC: Antenna Structure Registration (GIS)","4/8/2011","37.5992","-77.7116","","495 Boscobel Rd. (VA14118-A)","Manakin","VA","","51","075","67.510589","59.4","","5","","","SBA Towers III LLC","","","","","","","","","","","","","","","","",""
"1225396","1244082","FCC: Antenna Structure Registration (GIS)","4/7/2011","37.6403","-77.668099","","1217 Hockett Rd.  (VA14115-A)","Goochland","VA","","51","075","66.721244","60.4","","5","","","SBA Towers III LLC","","","","","","","","","","","","","","","","",""
"1225395","1244055","FCC: Antenna Structure Registration (GIS)","4/7/2011","37.7057","-77.8929","","2011 Bulldog Way (VA14104-A)","Goochland","VA","","51","075","91.106018","59.4","","5","","","SBA Towers III LLC","","","","","","","","","","","","","","","","",""
"1224418","1041165","FCC: Antenna Structure Registration (GIS)","4/2/2003","37.6994","-77.7478","","REST AREA ONE MILE EAST OF OILVILLE ON I-64","GOOCHLAND","VA","","51","075","108.925598","82.9","","5","","","Richmond 20MHz, LLC","","","","","","","","","","","","","","","","",""
"1225542","1251964","FCC: Antenna Structure Registration (GIS)","4/12/2011","37.7525","-78.0643","","N of  SR667 &amp; SR606 (VA14103-A)","Georges Tavern","VA","","51","075","100.807128","59.4","","5","","","SBA Towers III LLC","","","","","","","","","","","","","","","","",""
"1223530","1001499","FCC: Antenna Structure Registration (GIS)","2/9/2004","37.6661","-77.6525","","1623 THREECHOPT ROAD","RICHMOND","VA","","51","075","61.453819","60.7","","5","","","CROWN CASTLE GT COMPANY LLC","","","","","","","","","","","","","","","","",""
"1225452","1247582","FCC: Antenna Structure Registration (GIS)","2/23/2009","37.7502","-77.8461","","2425 Good luck rd","Maidens","VA","","51","075","103.441764","59.4","","5","","","RCTC Wholesale Corporation d/b/a Alltel","","","","","","","","","","","","","","","","",""
"1224663","1061933","FCC: Antenna Structure Registration (GIS)","2/23/2009","37.7998","-77.9275","","ROUTE 250 &amp; THREE CHOPT","RICHMOND","VA","","51","075","112.924331","57.9","","5","","","RCTC Wholesale Corporation d/b/a Alltel","","","","","","","","","","","","","","","","",""
"1223872","1017159","FCC: Antenna Structure Registration (GIS)","2/23/2009","37.6987","-77.7642","","1990 Triplet Lane","OILVILLE","VA","","51","075","118.571609","76.2","","5","","","RCTC Wholesale Corporation d/b/a Alltel","","","","","","","","","","","","","","","","",""
"1225153","1230904","FCC: Antenna Structure Registration (GIS)","2/14/2011","37.8461","-77.981099","","4440 Old Fredericksburg Rd. (VA14120-A)","Hadensville","VA","","51","075","118.907188","59.4","","5","","","SBA Towers III LLC","","","","","","","","","","","","","","","","",""
"1225278","1237592","FCC: Antenna Structure Registration (GIS)","2/1/2011","37.8258","-77.9575","","Cabin Road","Goochland","VA","","51","075","90.790046","57.9","","5","","","CROWN COMMUNICATION LLC","","","","","","","","","","","","","","","","",""
"1225277","1237590","FCC: Antenna Structure Registration (GIS)","2/1/2011","37.8895","-78.0386","","5620 Three Chopt Road","Louisa","VA","","51","075","139.314163","61.6","","5","","","CROWN COMMUNICATION LLC","","","","","","","","","","","","","","","","",""
