objectid,id,data_source,add_date,lat,lng,structure_name,structure_address,structure_city,structure_st,structure_zip,state_ansi,county_ansi,base_elevation,structure_height,structure_type,owner_type,zoom_level,ip_address,structure_owner_name,structure_owner_address,structure_owner_po_box,structure_owner_city,structure_owner_st,structure_owner_zip,structure_owner_phone,structure_owner_email,structure_manager_name,structure_manager_address,structure_manager_po_box,structure_manager_city,structure_manager_st,structure_manager_zip,structure_manager_phone,structure_manager_email,comments,done
"1224785","1203474","FCC: Antenna Structure Registration (GIS)","9/23/1999","36.8635","-76.2796","","509 East 18th St.","Norfolk","VA","","51","710","3.66706","58","","","","","Tidewater Transportantion District Commission","","","","","","","","","","","","","","","","",""
"1224801","1204167","FCC: Antenna Structure Registration (GIS)","9/15/2008","36.8954","-76.2391","","6304 Sewells Point Road","Norfolk","VA","","51","710","3.940132","46.9","","5","","","Norview Cars, Inc.","","","","","","","","","","","","","","","","",""
"1225820","1266002","FCC: Antenna Structure Registration (GIS)","9/1/2010","36.8445","-76.2431","","Norfolk Southern RR ROW","Norfolk","VA","","51","710","2.968802","53.6","","5","","","Global Tower, LLC","","","","","","","","","","","","","","","","",""
"1223529","1001495","FCC: Antenna Structure Registration (GIS)","8/9/2006","36.8683","-76.196399","","1384 KEMPSVILLE RD","NORFOLK","VA","","51","710","3.080729","39.6","","5","","","CROWN CASTLE GT COMPANY LLC","","","","","","","","","","","","","","","","",""
"1224133","1021772","FCC: Antenna Structure Registration (GIS)","8/30/2010","36.8925","-76.2311","","I64 &amp; Norview Ave, x 279","NORFOLK","VA","","51","710","4.316544","45.4","","6","","","Virginia, Commonwealth of, Dept of Trans","","","","","","","","","","","","","","","","",""
"1223636","1014429","FCC: Antenna Structure Registration (GIS)","8/17/2007","36.8543","-76.245","","3412 VIRGINIA BEACH BLVD","NORFOLK","VA","","51","710","4.197058","36.9","","5","","","Pinnacle Towers LLC","","","","","","","","","","","","","","","","",""
"1223597","1009606","FCC: Antenna Structure Registration (GIS)","7/5/2011","36.8496","-76.2452","","940 BALLENTINE BLVD","NORFOLK","VA","","51","710","1.784","30.5","","3","","","Norfolk Redevelopment &amp; Housing Authority","","","","","","","","","","","","","","","","",""
"1224288","1027472","FCC: Antenna Structure Registration (GIS)","7/28/2009","36.8897","-76.3017","","5200 HAMPTON BLVD","NORFOLK","VA","","51","710","2.31965","55.2","","5","","","HAMPTON ROADS EDUCATIONAL TELECOMMUNICATIONS ASSOCIATION INC  DBA =  WHRO","","","","","","","","","","","","","","","","",""
"1223749","1016563","FCC: Antenna Structure Registration (GIS)","7/25/2011","36.8279","-76.2518","","2400 EAST INDIAN RIVER ROAD","NORFOLK","VA","","51","710","4.5807","140.2","","5","","","Pinnacle Towers LLC","","","","","","","","","","","","","","","","",""
"1224140","1021779","FCC: Antenna Structure Registration (GIS)","7/20/2010","36.9433","-76.2669","","I64 EXIT 274","NORFOLK","VA","","51","710","2.793999","48.1","","6","","","Virginia, Commonwealth of, Dept of Trans","","","","","","","","","","","","","","","","",""
