OBJECTID,NAME,DISTNOTXT,DIST_NO
1,Kempsville,District 2,2
2,Rose Hall,District 3,3
3,Lynnhaven,District 5,5
4,Centerville,District 1,1
5,Beach,District 6,6
6,Bayside,District 4,4
7,Princess Anne,District 7,7
