X,Y,OBJECTID,Name,Address,Web,Address2,City,State,Zip,Ver,Label
-77.438956004933928,37.540958079855045,1,AdvanTech Incubator,501 E. Franklin St,www.advantechva.org, ,Richmond,VA,23219,1,1
-77.4329755051088,37.410016765539964,2,BizWorks Enterprise Center,2545 Bellwood Road,www.bizworkscenter.org, ,Richmond,VA,23237,1,2
-78.478446714676252,38.029838589753638,3,Charlottesville Technology Incubator,501 East Main Street,www.cvilletechincubator.org, ,Charlottesville,VA,22092,1,3
-77.182487342491768,38.765250384249441,4,Community Business Partnership,7001 Loisdale Road,www.cbponline.org,Suite C,Springfield,VA,22150,1,4
-79.344305151241826,36.604421839835766,5,Dan River Business Development Center,300 Ringgold Industrial Parkway,www.drbdc.com, ,Danville,VA,24540,1,5
-76.274306600655194,36.852535955465996,6,"Empowerment 2010, Inc. Small Business Incubator and Resource Center",1130 Tabb Street,www.empowerment2010.org, ,Norfolk,VA,23504,1,6
-77.305091956694,38.844534626294468,7,Fairfax Innovation Center,4031 University Drive,www.fairfaxinnovationcenter.org,Suite 200,Fairfax,VA,22030,1,7
-76.924219842663177,36.680819348353722,8,Franklin Business Incubator,601 N. Mechanic Street,www.franklinsouthamptonva.com,Suite 300,Franklin,VA,23851,1,8
-76.393745608138687,37.080667018683961,9,Hampton Roads Technology Incubator System,144 Research Drive,www.hrtis.org  , ,Hampton,VA,23666,1,9
-76.321458077919644,37.01955807684854,10,Hampton University Business Incubator,6 W. County Street,www.hamptonu.edu/HUBAC/bus_inc/, ,Hampton,VA,23663,1,10
-77.355948641513095,38.964054545756582,11,INC.Spire,1763 Fountain Drive,www.restonchamber.com, ,Reston,VA,20190,1,11
-77.305091956694,38.844534626294468,12,International Accelerator,4031 University Drive,www.masonenterprisecenter.org/intl,Suite 200,Fairfax,VA,22030,1,13
-76.732718183362906,37.285604554879278,13,James City County Technology Incubator,5300 Palmer Lane,www.incubatoramerica.com,Suite 2A,Williamsburg,VA,23188,1,14
-77.227561385621073,38.912010773883594,14,Korea Business Development Center,1952 Gallows Road,www.sbc-kbdc.com, ,Vienna,VA?,22182,1,15
-79.222752794268345,37.373657101433004,15,Lynchburg Business Development Center,147 Mill Ridge Road,www.lbdc.com, ,Lynchburg,VA,24502,1,16
-77.522179363628993,38.754710315472046,16,"Mason Enterprise Center @ Prince William, GMU",10900 University Blvd,www.masonenterprisecenter.org,"MSN 1J2, Bull Run Hall 147",Manassas,VA,20110,1,17
-77.440098144934566,37.545913345245729,17,MBL Small Business Incubator,115 East Marshall Street,www.thembl.org,P.O. Box 26751,Richmond,VA,23261,1,18
-80.544630659660896,37.147459527203971,18,New River Valley Competitiveness Center,6508 Valley Center Drive,www.nrvdc.org/nrvcc.html, ,Radford,VA,24141,1,20
-79.00003567567299,38.194756277569716,19,NewBiz Virginia,50 Lodge Ln.,www.newbizva.org,Ste. 114,Verona,VA,24482,1,21
-77.950679316211847,37.064371522230672,20,Nottoway County Small Business Incubator @ Pickett Park,"1279 W. 10th St., Pickett Park",www.ncvc.com, ,Blackstone,VA,0,1,22
-82.799942098809581,36.713023855750286,21,Pioneer Center for Business Opportunity,Post Office Box 408,www.pcbo.org Norton Facility, ,Duffield,VA,0,1,23
-81.801253705351456,37.094291547854723,22,Richlands Business Incubator,1928 Front St.,www.rbi.tazewellcounty.org/, ,Richlands,VA,24641,1,25
-78.483779696143785,38.030926770043777,23,"Spinner Technologies, Inc.",250 West Main Street,www.spinnertech.com,Suite 210,Charlottesville,VA,22902,1,26
-79.586797073051912,38.409897456217998,24,The Highland Center,P.O. Box 556,www.thehighlandcenter.org, ,Monterey,VA,0,1,27
-80.31750679755956,36.90658507382738,25,The Jacksonville Center,"220 Parkway Ln., South",www.jacksonvillecenter.org, ,Floyd,VA,24091,1,28
-80.929954261648433,36.65782353250173,26,The Southwest Regional Enterprise Center at Crossroads Institute,1117 E. Stuart Drive,www.crossroadsva.org, ,Galax,VA,24333,1,29
-77.431509617459426,37.544303558648778,27,Virginia Biosciences Development Center,800 East Leigh St.,www.vabiotech.com/bioincubator, ,Richmond,VA,23219,1,30
-82.00060764164931,36.696323327971598,28,Virginia Highlands Small Business Incubator,851 French Moore Jr. Blvd.,www.vhsbi.com, ,Abingdon,VA,0,1,31
-78.852690726023212,38.465002606958208,29,Virginia Technology Incubator,1400 Technology Drive,www.vti-ltd.com, ,Harrisonburg,VA,22802,1,32
-80.408275415035703,37.200438604537219,30,VT KnowledgeWorks @ Virginia Tech Corporate Research Center,2201 Kraft Dr.,www.vtknowledgeworks.com,Suite 1000,Blacksburg,VA,24060,1,33
-79.872495130865445,36.690810711936365,31,West Piedmont Business Development Center,22 East Church Street,www.wpbdc.org, ,Martinsville,VA,24112,1,34
-76.79612941280503,37.53115549050392,32,West Point Downtown Business Center,621 Main Street, ,P.O. Box 152,West Point,VA,23181,1,35
-77.085272966956296,38.891873939933234,33,Incubator America,2111 Wilson Blvd, , ,Arlington,VA,22201,1,12
-80.080535394486077,37.283634915077968,34,New Century Venture Center,1390B Southside Drive, , ,Salem,VA,24153,1,19
-82.629115022460738,36.933897080111841,35,Pioneer Center for Business Opportunity (Norton),798 Park Avenue Southwest,www.pcbo.org, ,Norton,VA,24273,1,24
