name,styleUrl,styleHash,lon,lat
Dan Daniel Memorial Park,#style3,-dac1b09,-79.371193,36.575764
Grove Park,#style2,-4620b9e8,-79.400429,36.559361
Ballou Park,#style5,633d22b5,-79.423256,36.575146
Camilla Williams Park,#style1,-7e9558c7,-79.402397,36.592789
Green Street Park,#style7,-2bd99f8d,-79.394951,36.580074
Pumpkin Creek Park,#style4,2ac883d6,-79.409538,36.558231
Anglers Park,#style6,-644e3e6c,-79.350815,36.563911
