OBJECTID,ROUTES
155,116
156,116
157,117
158,119
159,119
160,3
161,6
162,6
163, 
164,71
165,72
166,47
167,"44, 47"
168,"41, 57"
169,44c
170,57
171,57
172,13
173,"6, 13"
174,"13, 13b"
175,"9, 13, 13b"
176,"1, 5, 15"
177,15
178,"19, 22"
179,"19, 22"
180,22b
181,102
182,"102, 113, 118"
1,47
2,41
3,41
4,44
5,"44, 45, 50, 57"
6,"6, 13b, 45"
7,"1, 4, 13, 45"
8,57
9,"6, 13, 15, 57, 58"
10,"23, 44"
11,13
12,13
13,"6, 13b"
14,13b
15,15
16,15
17,22b
18,"13, 58"
19,"6, 12, 58"
20,"6, 12, 13, 13b, 58"
21,103
22,103
23,103
24,"101, 102, 103, 110, 118"
25,"101, 102, 103, 110, 117"
26,"104, 110"
27,"105, 110"
28,"110, 111"
29,"110, 111, 118"
30,111
31,112
32,1
33,"3, 22"
34,3
35,4
36,4
37,4
38,"1, 3, 5"
39,"1, 5"
40,8
41,8
42,"2, 11"
43,"1, 2, 4, 9, 11, 18"
44,25
45,115
46,117
47,118
48,118
49,118
50,118
51,121
52,121
53,72
54,73
55,"44, 47"
56,50
57,"41, 44, 45, 50, 57, 962"
58,44
59,44
60,"44, 50"
61,57
62,6
63,13
64,13
65,"3, 15"
66,15
67,"2, 15, 15b, 22"
68,"19, 22"
69,"2, 3, 19, 22"
70,"2, 19, 22, 22b"
71,58
72,58
73,104
74,104
75,"101, 104, 105, 106"
76,"101, 104"
77,"105, 114"
78,"102, 105, 113"
79,"102, 105"
80,"105, 114"
81,"109, 115"
82,111
83,"111, 112, 119"
84,"107, 112"
85,2
86,"3, 22"
87,3
88,"2, 4"
89,4
90,"1, 15"
91,5
92,"2, 3, 4, 11"
93,11
94,17wd
95,18
96,23
97,23
98,1
99,101
100,114
101,115
102,115
103,116
104,118
105,118
106,118
107,9
108,47
109,"47, 50"
110,41
111,41
112,47
113,"44, 45"
114,13
115,"1, 2, 8, 9, 11, 13b, 18, 45"
116,"6, 13b"
117,"12, 13, 13b"
118,13
119,15
120,"3, 15"
121,22b
122,22b
123,"2, 15, 15b, 22"
124,103
125,"102, 110"
126,104
127,"101, 103, 104, 105, 106, 107, 112, 121"
128,105
129,105
130,"102, 114"
131,"102, 105, 113, 114, 118"
132,105
133,105
134,111
135,111
136,111
137,"111, 119"
138,111
139,"111, 112, 119"
140,"112, 114"
141,"1, 3"
142,4
143,"8, 9"
144,17we
145,18
146,"19, 22"
147,20
148,23
149,20
150,64
151,"101, 117"
152,106
153,"106, 107"
154,114
260,"3, 13, 20, 45"
261,23
262,25
263,"20, 27"
264,64
265,107
266,114
267,114
268,115
269,118
270,120
271,120
272,121
273,44
274,41
275,45
276,"3, 45"
277,57
278,57
279,"4, 23, 44"
280,13
281,"13, 13b"
282,15
283,15
284,15
285,"8, 15"
286,"2, 3, 22"
287,22b
288,103
289,103b
290,104
291,104
292,104
293,105
294,105
295,"109, 115"
296,110
297,110
298,110
299,111
300,"111, 112"
301,112
302,"111, 112"
303,"111, 113, 116, 121"
304,113
305,2
306,2
307,"1, 3, 5"
308,"1, 3, 5"
309,8
310,"3, 8, 9"
311,11
312,17we
313,"1, 2, 9, 11, 18"
314,18
315,20
316,20
317,64
318,64
319,101
320,"106, 107"
321,"106, 107"
322,107
323,"106, 107"
324,114
325,118
326,118
183,"101, 103, 118"
184,"101, 103"
185,103
186,103
187,"103, 104"
188,104
189,"104, 110, 114"
190,"102, 105, 114"
191,"104, 105"
192,110
193,"107, 111"
194,"111, 116"
195,112
196,"2, 3"
197,3
198,"2, 4"
199,4
200,4
201,1
202,5
203,5
204,9
205,"9, 20"
206,2
207,"1, 2, 9, 11, 18"
208,"1, 2, 9, 11, 18"
209,"1, 4, 9, 13b, 18, 45"
210,17wd
211,101
212,"106, 107"
213,116
214,117
215, 
216,102
217,73
218,74
219,47
220,41
221,41
222,"41, 45"
223,45
224,45
225,57
226,"6, 57, 58"
227,"6, 13"
228,12
229,13
230,13
231,15
232,22
233,22
234,103
235,"101, 103, 104, 105, 106, 107"
236,105
237,105
238,"109, 120"
239,109
240,110
241,110
242,111
243,111
244,111
245,"111, 112, 119"
246,"110, 112, 114"
247,113
248,113
