OBJECTID,ROUTES
249,2
250,3
251,4
252,"1, 5, 15"
253,8
254,"8, 9"
255,9
256,9
257,9
258,9
259,18
403,58
404,"102, 110"
405,102
406,103
407,103
408,103
409,104
410,104
411,103
412,"101, 104, 105, 106"
413,102
414,"109, 115"
415,110
416,"107, 111, 113, 116, 121"
417,112
418,"106, 107, 112"
419,1
420,1
421,2
422,3
423,1
424,4
425,4
426,4
427,"3, 5"
428,"1, 5"
429,8
430,"8, 9"
431,9
432,9
433,9
434,9
435,"1, 2, 9, 11, 18"
436,23
437,23
438,64
439,64
440,106
441,114
442,119
443,4
444,64
445,8
446,71
327,74
328,74
329,74
330,47
331,"41, 45, 47, 50, 300"
332,41
333,"50, 57"
334,41
335,57
336,6
337,"6, 13b"
338,"13, 13b, 18"
339,"15, 20, 23, 25, 27"
340,"15, 23"
341,15
342,15
343,"15, 22"
344,22b
345,"2, 22"
346,"2, 15, 19, 22, 22b"
347,58
348,"102, 110"
349,103
350,103
351,103
352,103
353,"101, 102, 103, 110, 118"
354,"101, 104, 106, 107"
355,104
356,104
357,104
358,104
359,"104, 110, 112, 114"
360,104b
361,"102, 105, 113, 114, 118"
362,"102, 105, 114"
363,105
364,"104, 114"
365,"107, 111"
366,"111, 112"
367,"113, 121"
368,3
369,4
370,8
371,"15, 23"
372,"20, 25, 27"
373,"106, 107"
374,106
375,107
376,114
377,115
378,115
379,118
380,4
381,72
382,50
383,50
384,50
385,41
386,41
387,41
388,"41, 45"
389,"6, 58"
390,6
391,13
392,13
393,13
394,13b
395,13
396,"15, 23"
397,"15, 23"
398,15
399,15
400,"2, 15b, 19, 22"
401,"19, 22"
402,"2, 3, 15"
