OBJECTID,STATEFP,LINEARID,FULLNAME,RTTYP,MTFCC,SHAPElen
1,51,110516305547,I- 64,I,S1100,403.200327526231
2,51,110516305548,I- 64,I,S1100,463.112129106932
3,51,1101226568846,I- 664,I,S1100,11572.081507392
4,51,1101226568848,I- 664,I,S1100,11523.3832341762
5,51,1102217784208,I- 64,I,S1100,903.024370365038
6,51,1102217784209,I- 64,I,S1100,1031.26149533637
7,51,1101226564180,I- 64,I,S1100,24768.8941119844
8,51,1101226564181,I- 64,I,S1100,24549.993760077
9,51,1101226566925,I- 264,I,S1100,2746.85407586962
10,51,1102214938452,I- 64,I,S1100,11772.6314306994
11,51,1101226566928,I- 264,I,S1100,2785.43999612445
12,51,1103699181813,I- 64,I,S1100,29989.178065927
13,51,1103699181834,I- 64,I,S1100,74.1576163549551
14,51,1103699671896,I- 64,I,S1100,8510.99776109918
15,51,1103699671897,I- 64,I,S1100,29725.2160467729
16,51,110430286681,US Hwy 17,U,S1100,6663.8643240538
35,51,110760930550,I- 664,I,S1100,11340.3442763745
36,51,110760930440,I- 64,I,S1100,25752.804478837
37,51,110323396758,I- 64,I,S1100,3111.13941504285
38,51,110323396759,I- 64,I,S1100,3248.11285876523
39,51,110804078381,I- 64W,I,S1100,24.6867491822795
40,51,110804078138,I- 64,I,S1100,0.9863344772318
41,51,110804078140,I- 64,I,S1100,14125.57073093
42,51,110804078141,I- 64,I,S1100,5569.83844864181
43,51,110804078143,I- 64,I,S1100,857.600572484854
44,51,110568896999,I- 64,I,S1100,22185.1111882923
45,51,110568897000,I- 64,I,S1100,22215.8187272977
46,51,110568897001,I- 64,I,S1100,1610.74465797652
47,51,110568897003,I- 64,I,S1100,22074.7617481652
48,51,110568897004,I- 64,I,S1100,1544.89536374378
49,51,1102215165509,I- 64,I,S1100,17150.8563457531
50,51,1102215165523,I- 64,I,S1100,37.6525369316396
51,51,1102215165527,I- 64,I,S1100,23754.3470998818
52,51,1102216061606,I- 64,I,S1100,233.142985035375
53,51,1102216061608,I- 64,I,S1100,21451.4078147856
54,51,1102216061609,I- 64,I,S1100,19286.4854336994
55,51,110760394280,I- 64,I,S1100,25077.9719773037
56,51,110760394281,I- 64,I,S1100,25091.5009569106
57,51,110760394381,I- 664,I,S1100,6511.78530627381
58,51,110760394382,I- 664,I,S1100,6301.04950151528
59,51,1103738298149,I- 64,I,S1100,4990.27610045228
60,51,1103699181835,I- 64,I,S1100,13957.534280767
61,51,110763358490,I- 64,I,S1100,27130.7709523336
62,51,110763358491,I- 64,I,S1100,27042.2544175776
63,51,110763358544,I- 264,I,S1100,13572.8109357983
64,51,110763358545,I- 264,I,S1100,13746.8602020018
65,51,1102216069827,I- 64,I,S1100,172.658496332328
66,51,1102216069843,I- 64,I,S1100,21998.1340349124
67,51,110339892645,I- 64,I,S1100,2781.39153505633
68,51,110339892646,I- 64,I,S1100,2765.67648240813
69,51,110435499501,I- 64,I,S1100,27499.1209415615
70,51,110435499503,I- 64,I,S1100,27360.7650559187
71,51,1101112413302,I- 64,I,S1100,22766.3821141362
72,51,1101112413303,I- 64,I,S1100,129.419392352619
17,51,110430286682,US Hwy 17,U,S1100,6691.95924850937
18,51,1103699181812,I- 64,I,S1100,11.9782279066422
19,51,1103738298150,I- 64,I,S1100,5226.64973869407
20,51,1103738395491,I- 64,I,S1100,339.345283305859
21,51,1103738395492,I- 64,I,S1100,5237.39498101991
22,51,110271617954,I- 64,I,S1100,17814.7680166097
23,51,110271617955,I- 64,I,S1100,17839.3117394003
