OBJECTID,TRACT,SQ_MILE,SHAPEarea,SHAPElen
62,040000,5.13416034,20844546.6777594,21145.1056544439
55,041003,0.93167449,3775878.61370624,10253.3145627279
31,042000,3.22605769,13083631.3056221,14580.5445064557
42,043200,10.51226828,42676707.3497577,28262.4195911089
5,040802,0.89273149,3618861.40985984,8393.31878220836
36,045601,1.08233844,4386391.75435032,10716.8034037644
8,046214,0.77265219,3126457.77573536,7668.39774025244
32,046006,1.20233287,4867913.73763984,10452.6321870642
69,042801,1.13548971,4598759.81925664,9754.01964175176
6,042202,1.80779852,7326906.61179392,11571.255119213
29,045415,0.35504397,1437440.72338496,5748.97713703169
66,046211,0.81914555,3315586.92501888,7441.08602114695
34,046011,0.39215526,1587584.9324684,5219.63154899228
27,043002,4.52203346,18345470.1632362,20616.1321527384
61,046008,5.59202793,22611305.0486933,31652.7115139997
60,046219,0.50744618,2052236.0953376,6285.62797978776
77,045801,1.3678792,5540407.69486824,12177.9479586563
26,046216,1.34749765,5449396.84631712,10273.095285934
3,045405,0.63447726,2568049.75941424,6640.8344930348
15,041400,2.92347957,11860452.2491395,16362.9670760243
82,045810,0.27320536,1105684.7235183,4766.2237428567
75,040403,1.00928262,4095190.3395088,9287.56072622147
65,041004,0.67834983,2748940.40394768,6926.18046894596
21,046205,1.30671334,5289544.82321056,10043.7000165089
10,042400,0.97527447,3952058.03456768,8733.9457265442
18,045414,0.7405626,2998137.7925608,7577.11632089286
51,044806,1.49918605,6073924.77586553,17451.5807316663
30,046206,1.15565536,4678201.02981288,9594.77578938756
79,044600,4.37936243,17757914.2044874,21382.2548122709
80,044002,4.06784282,16480128.5905178,18858.124837215
16,043800,2.97231572,12052129.4831166,16277.5372411787
13,044200,2.73868145,11092921.2948116,16000.4889681859
33,045406,1.76514076,7142048.93852944,14777.8724607987
20,046212,1.04179704,4216478.2487992,11076.2575132036
39,045417,3.2452864,13124570.5241588,18717.9773495573
57,046010,0.56275319,2279672.17616896,5925.1893986637
11,046009,1.6608855,6728107.4871612,12320.6130800245
44,045809,0.76065263,3079220.61224528,7359.41402884549
86,043001,3.16667157,12853752.9122304,18479.3139980376
41,041002,0.72355237,2931415.83281584,7191.65544570881
54,040200,2.03473243,8252721.44220736,17264.3353552943
70,040600,1.38022062,5593576.26697312,11419.8366955864
28,045806,0.53088399,2149735.88494208,6079.31694384276
49,046013,0.54650242,2211307.21925888,7689.81216079601
76,043400,1.82030274,7387111.15255984,11508.5323486341
58,045602,1.1857882,4803953.58036616,10743.3653408014
25,045412,13.4412386,54293768.4209587,34677.7139478266
24,046218,1.73993498,7038806.41235744,11317.8183553602
19,045418,3.86038355,15616931.517541,23621.0492527841
17,045000,8.24997979,33401529.6595333,28453.2748588878
52,045420,2.06196799,8334197.95661136,15568.0364663667
7,045807,0.14848392,601255.13417808,3018.13246892812
63,000000,162.79605377,659885498.495003,188745.299050712
45,046002,1.5310549,6199850.95624384,12921.9687686555
14,046204,2.04313654,8274083.53676784,13270.6577084141
47,044805,0.66080238,2677753.80147248,10405.2064919722
9,046215,1.57997216,6391419.92225888,11254.0215681219
71,045408,3.68492984,14907870.8567232,17427.4942271954
78,041801,1.09411444,4441150.59962272,12126.6817067062
38,044808,0.70487138,2856327.20357916,8018.55039378952
22,044807,0.80093936,3245823.66335712,8564.02689658222
67,046400,136.59379986,550245941.429747,97750.2536079267
43,041802,3.25665992,13218971.3923134,19577.7549585305
74,046207,2.6322715,10650845.6031472,14114.8445568692
4,044001,0.67241596,2725109.11206396,7841.0865837793
72,041200,2.68969344,10911449.9282928,16744.7330664151
23,045407,3.12799398,12663912.7050623,19771.3863221535
46,042201,1.28384241,5204568.4942544,9967.45404467613
1,045410,22.43286602,90629173.3203055,48320.0325971152
83,046012,0.93537893,3785906.61314536,8425.63065629177
73,045416,3.25868731,13178733.2711862,17975.2612524228
2,044402,1.38457285,5613161.07408888,11072.3247712829
68,045200,8.02077662,32454687.6150811,32383.3538849469
56,042600,1.13798877,4610855.08904248,12556.9588359281
37,046005,1.33222925,5395750.51703664,10197.7802328896
50,045808,0.34634724,1402232.85808064,4911.93143330416
48,040404,2.03756547,8263759.91778112,11773.4174533379
85,045803,0.69584634,2817608.69128768,8000.29418215452
64,045419,2.5516725,10317997.9667736,17187.7482496827
87,040801,0.65650987,2661680.0764552,6961.26975055257
53,041600,1.73626006,7039757.97269312,12122.3478440894
12,043600,1.15254377,4674814.08530104,9881.03511878676
59,040402,0.66781327,2707568.58749344,8526.4685491949
88,046217,2.21267716,8947680.76243248,13738.7256310669
40,044401,2.17078503,8801114.64456416,13388.3451433069
84,046213,0.62503435,2529091.21174528,7450.79525653767
35,042802,0.71706657,2904645.8855072,9352.82545956285
81,045805,0.24277031,983243.56336928,4391.87196354561
