OBJECTID,NAME,PAR_GPIN,OWNER,TYPE,PARKTYPE,ACRES,PLANAREA
1,Aeries on the Bay Park,1580101751,City,GOS,General Open Space sites,9.3198,Bayfront
2,Cape Henry Trail, ,City,LINK,Linkages,0.7729,Bayfront
3,Cape Henry Trail,1590407567,City,LINK,Linkages,0.2757,Bayfront
4,Cape Henry Trail,1590409663,City,LINK,Linkages,0.2614,Bayfront
5,Cape Henry Trail,1590502752,City,LINK,Linkages,0.2614,Bayfront
6,Cape Story Park,1590505729,City,NP,Neighborhood Parks,0.263,Bayfront
7,Cape Henry Trail,1590507877,City,LINK,Linkages,0.27,Bayfront
8,Cape Henry Trail,1590617244,City,LINK,Linkages,1.6607,Bayfront
9,Lockhaven Park,1489593432,City,NP,Neighborhood Parks,1.9874,Bayfront
10,Ocean Park Parcel 2,1489593432,City,GOS,General Open Space sites,0.1994,Bayfront
11,Ocean Park Parcel 1,1489593432,City,GOS,General Open Space sites,0.6418,Bayfront
12,Lynnhaven Boat Launch,1489589234,City,SUWA,Special Use ? Water Access sites,12.2434,Bayfront
13,Bayville Park,1479863266,City,MP,Metro Parks,2.1877,Bayfront
14,Bayside Rec.Center, ,City,SURC,Special Use ? Recreation Center sites,18.7116,Bayfront
15,Bayville Park,1479853723,City,MP,Metro Parks,45.6312,Bayfront
16,Chesapeake Beach Park,1570529046,City,NP,Neighborhood Parks,1.9036,Bayfront
17,Chesapeake Beach Park,1570529046,City,NP,Neighborhood Parks,0.4281,Bayfront
18,Lynnhaven Colony Park,1499093634,City,NP,Neighborhood Parks,1.6758,Bayfront
19,Lynnhaven Municipal Marina,1489982246,City,SUWA,Special Use ? Water Access sites,2.3238,Bayfront
20,Cape Henry Trail,1590305231,City,LINK,Linkages,0.6377,Bayfront
21,Hermitage Park,1479239805,City,NP,Neighborhood Parks,0.6185,Bayside
22,Lake View Shores Park,1479201939,City,NP,Neighborhood Parks,0.9668,Bayside
23,Raleigh Square Park,1468284657,City,NP,Neighborhood Parks,2.5379,Bayside
24,Wesleyan Park,1468283179,City,NP,Neighborhood Parks,2.9852,Bayside
25,Haygood Point Park,1478075498,City,NP,Neighborhood Parks,5.1459,Bayside
26,Lawson Hall Park,1468278615,City,NP,Neighborhood Parks,1.3622,Bayside
27,Lake Edward North Park,1468334331,City,NP,Neighborhood Parks,0.9143,Bayside
28,Lynnbrook Landing Park,1468716014,City,NP,Neighborhood Parks,2.5909,Bayside
29,Witchduck Landing Park,1468909716,City,NP,Neighborhood Parks,1.6192,Bayside
30,Grand lakes Park,1467685416,City,NP,Neighborhood Parks,0.987,Bayside
31,Aragona Christ Pres. Church,1478107600,City,NP,Neighborhood Parks,3.4124,Bayside
32,Lake Edward Park,1468329552,City,NP,Neighborhood Parks,1.0319,Bayside
33,Cypress Point North Park,1468456667,City,NP,Neighborhood Parks,2.5144,Bayside
34,Newsome Farms  Park,1468504876,City,NP,Neighborhood Parks,0.5015,Bayside
35,Amhurst Park,1468404222,City,NP,Neighborhood Parks,2.6513,Bayside
36,Lake Edward Park,1468421766,City,NP,Neighborhood Parks,3.7695,Bayside
37,Romney Lane Park,1478224785,City,NP,Neighborhood Parks,0.2556,Bayside
38,Williams Farm Park,1468822230,City,CP,Community Parks,57.5841,Bayside
39,Baker Park,1468152253,City,NP,Neighborhood Parks,2.487,Bayside
40,Lake Smith Fishing Station, ,City,SUWA,Special Use ? Water Access sites,0.196,Bayside
41,Lake Smith Fishing Station,1469527421,City,SUWA,Special Use ? Water Access sites,0.1163,Bayside
42,Lake Smith Fishing Station,1469524277,City,SUWA,Special Use ? Water Access sites,0.6997,Bayside
43,Lake Smith Fishing Station,1469523280,City,SUWA,Special Use ? Water Access sites,1.0551,Bayside
44,Lake Smith Fishing Station,1469525130,City,SUWA,Special Use ? Water Access sites,0.0525,Bayside
45,Lake Smith Fishing Station,1469526306,City,SUWA,Special Use ? Water Access sites,0.6287,Bayside
46,Pembroke Manor Parcel 3, ,City,GOS,General Open Space sites,1.9924,Bayside
47,Pembroke Manor Parcel 2, ,City,GOS,General Open Space sites,3.3328,Bayside
48,Pembroke Manor Parcel 1, ,City,GOS,General Open Space sites,2.5853,Bayside
49,Diamond Springs Park,1469263476,City,NP,Neighborhood Parks,14.4013,Bayside
50,Northridge Park,1467775862,City,NP,Neighborhood Parks,1.627,Bayside
51,Pembroke Manor Parcel 4, ,City,GOS,General Open Space sites,1.5658,Bayside
52,Pembroke Manor Parcel 5, ,City,GOS,General Open Space sites,1.3683,Bayside
53,Pembroke Manor Parcel 6, ,City,GOS,General Open Space sites,1.4821,Bayside
54,Pembroke Manor Parcel 7,1478502477,City,GOS,General Open Space sites,0.1724,Bayside
55,Margate Ave. Park, ,City,NP,Neighborhood Parks,0.2239,Bayside
56,Lake Smith Fishing Station,1469529638,City,SUWA,Special Use ? Water Access sites,4.5162,Bayside
57,Lake Smith Fishing Station,1469527035,City,SUWA,Special Use ? Water Access sites,8.5364,Bayside
58,"Lake Lawson Parcel ""A""",1469318348,City,GOS,General Open Space sites,5.1906,Bayside
59,"Lake Lawson Parcel ""B""",1469319048,City,GOS,General Open Space sites,1.5052,Bayside
60,Green Hill Park,1499667246,City,NP,Neighborhood Parks,1.0898,Great Neck
61,Chelsea Park,1499745570,City,NP,Neighborhood Parks,0.9393,Great Neck
62,Charlestowne Lakes South Sec. A Park,1464361179,City,NP,Neighborhood Parks,8.7491,Kempsville
63,Saw Pen Point Park, ,City,NP,Neighborhood Parks,2.1116,Bayside
64,Pembroke Wayside Park,1478822289,City,NP,Neighborhood Parks,0.8544,Bayside
65,Little Neck Park,1488572608,City,NP,Neighborhood Parks,3.5766,Little Neck
66,Middle Plantation Park,1488937576,City,NP,Neighborhood Parks,7.2802,Little Neck
67,Blackwater Park,1389443113,City,NP,Neighborhood Parks,7.0243,Pungo Blackwater
68,Munden Point Park,2308528074,City,MP,Metro Parks,100.8627,Pungo Blackwater
69,Brill Field Park,1488721435,City,NP,Neighborhood Parks,9.0893,Little Neck
70,Kings Grant West,1488318574,City,NP,Neighborhood Parks,7.0762,Little Neck
71,Birchwood/Malibu Park, ,City,NP,Neighborhood Parks,16.1412,Little Neck
72,Birchwood South Park,1487357282,City,NP,Neighborhood Parks,1.4,Little Neck
73,Creeds Wayside Park,2318065439,City,NP,Neighborhood Parks,1.9816,Pungo Blackwater
74,Creeds Ath. Airfield Park,2318594274,City,NP,Neighborhood Parks,269.9877,Pungo Blackwater
75,Nawney Creek North Park,2410385572,City,NP,Neighborhood Parks,3.0121,Pungo Blackwater
76,Blackwater Fire Station Park,1398213588,City,NP,Neighborhood Parks,4.9141,Pungo Blackwater
77,Pembroke Meadows Park,1478636290,City,NP,Neighborhood Parks,2.7421,Bayside
78,Adam Thoroughgood Property,1489131417,City,GOS,General Open Space sites,2.4507,Bayside
79,Eureka Park,1497643229,City,NP,Neighborhood Parks,1.4027,Little Neck
80,Bay Colony Park, ,City,NP,Neighborhood Parks,1.4699,Oceanfront
81,Beach Garden Park,2418817133,City,CP,Community Parks,18.1841,Oceanfront
82,24th Street Park,2427193796,City,SURA,Special Use – Recreation Areas,0.7037,Oceanfront
83,Seatack Park, ,City,NP,Neighborhood Parks,11.5576,Oceanfront
84,Salt Marsh Point Park, ,City,NP,Neighborhood Parks,0.6243,Oceanfront
