X,Y,FID,FEATURE,LOCATION,WARRANTYDA
-77.123831,38.823723,2001,Traffic Signal Hanging, ,
-77.123741,38.823889,2002,Traffic Signal Pole, ,
-77.12391,38.823766,2003,Traffic Signal Pole, ,
-77.12577,38.822321,2004,Traffic Signal Pole, ,
-77.125399,38.822259,2005,Traffic Signal Pole, ,
-77.125689,38.822371,2006,Traffic Signal Pole, ,
-77.123443,38.823725,2007,Traffic Signal Pole, ,
-77.123587,38.823578,2008,Traffic Signal Pole, ,
-77.107977,38.817858,2009,Traffic Signal Hanging, ,
-77.107962,38.817873,2010,Traffic Signal Hanging, ,
-77.10795,38.817884,2011,Traffic Signal Hanging, ,
-77.107927,38.817904,2012,Traffic Signal Hanging, ,
-77.107915,38.817915,2013,Traffic Signal Hanging, ,
-77.107907,38.817921,2014,Traffic Signal Hanging, ,
-77.107888,38.817942,2015,Traffic Signal Hanging, ,
-77.107878,38.817951,2016,Traffic Signal Hanging, ,
-77.106591,38.824862,2017,Traffic Signal Hanging, ,
-77.106592,38.824872,2018,Traffic Signal Hanging, ,
-77.106595,38.824891,2019,Traffic Signal Hanging, ,
-77.106596,38.824899,2020,Traffic Signal Hanging, ,
-77.106671,38.824982,2021,Traffic Signal Hanging, ,
-77.106645,38.825012,2022,Traffic Signal Hanging, ,
-77.107805,38.818027,2023,Traffic Signal Pole, ,
-77.108019,38.817819,2024,Traffic Signal Pole, ,
-77.106778,38.824865,2025,Traffic Signal Pole, ,
-77.10658,38.82479,2026,Traffic Signal Pole, ,
-77.106612,38.825047,2027,Traffic Signal Pole, ,
-77.097893,38.821885,2028,Traffic Signal Hanging, ,
-77.097878,38.821912,2029,Traffic Signal Hanging, ,
-77.098028,38.822006,2030,Traffic Signal Hanging, ,
-77.098012,38.822034,2031,Traffic Signal Hanging, ,
-77.097889,38.822032,2032,Traffic Signal Hanging, ,
-77.097924,38.822041,2033,Traffic Signal Hanging, ,
-77.104048,38.82403,2034,Traffic Signal Hanging, ,
-77.104048,38.824002,2035,Traffic Signal Hanging, ,
-77.104051,38.823977,2036,Traffic Signal Hanging, ,
-77.104222,38.823926,2037,Traffic Signal Hanging, ,
-77.10426,38.823935,2038,Traffic Signal Hanging, ,
-77.104326,38.824099,2039,Traffic Signal Hanging, ,
-77.104318,38.824129,2040,Traffic Signal Hanging, ,
-77.104313,38.824153,2041,Traffic Signal Hanging, ,
-77.104176,38.824194,2042,Traffic Signal Hanging, ,
-77.104146,38.824187,2043,Traffic Signal Hanging, ,
-77.097854,38.822017,2044,Traffic Signal Pole, ,
-77.097993,38.822075,2045,Traffic Signal Pole, ,
-77.097903,38.821851,2046,Traffic Signal Pole, ,
-77.104305,38.824237,2047,Traffic Signal Pole, ,
-77.104348,38.823953,2048,Traffic Signal Pole, ,
-77.104058,38.823882,2049,Traffic Signal Pole, ,
-77.104031,38.824159,2050,Traffic Signal Pole, ,
-77.089717,38.817458,2051,Traffic Signal Hanging, ,
-77.089721,38.817433,2052,Traffic Signal Hanging, ,
-77.089722,38.81741,2053,Traffic Signal Hanging, ,
