OBJECTID,MAPNO,INS,DC,BLK,LOT,SUBLOT,ACCOUNT,GPIN,CONDO_NAME,NOTES,CHGDATE,ParcelType,SHAPE_Length,SHAPE_Area
38134,20,J,15,,8,, 20J 15      8,2652-99-4185,,,,101,2245.750304,163102.467019
38135,23,,A,,85,E, 23   A     85E,2692-39-5389,,,2004-03-12T00:00:00.000Z,101,1374.605718,74497.341355
38136,20,J,15,,9,, 20J 15      9,2652-99-3491,,,,101,2465.437831,303884.173722
38137,23,,A,,85,H, 23   A     85H,2692-39-5588,,,2004-03-12T00:00:00.000Z,101,1571.524416,130817.875098
38138,20,J,10,,18,, 20J 10     18,2652-89-9909,,,,101,944.799674,48268.80856
38139,20,J,11,,51,, 20J 11     51,2653-90-7036,,,,101,664.335078,22900.072889
38140,20,J,11,,47,, 20J 11     47,2663-00-1007,,,,101,662.315343,23521.901092
38141,20,J,11,,30,, 20J 11     30,2663-00-3019,,,,101,724.6058,26026.577153
38142,20,J,11,,52,, 20J 11     52,2653-90-6153,,,,101,663.426615,22816.830745
38143,20,J,7,,19,, 20J  7     19,2653-80-0675,,,,101,654.476577,22783.90408
38144,20,J,11,,5,, 20J 11      5,2653-90-9680,,,,101,911.319082,36386.735498
38145,20,J,13,,27,, 20J 13     27,2663-10-2606,,,,101,814.140794,33125.411631
38146,20,J,7,,13,, 20J  7     13,2653-80-6739,,,,101,629.943966,21807.31114
38147,20,J,10,,30,, 20J 10     30,2653-90-0735,,,,101,1064.298906,51542.92193
38148,20,J,10,,11,, 20J 10     11,2653-90-6714,,,,101,1032.003809,46263.973675
38149,20,J,10,,10,, 20J 10     10,2653-90-6890,,,,101,1033.053733,42237.055555
38150,20,J,7,,12,, 20J  7     12,2653-80-7808,,,,101,686.956661,27799.735597
38151,23,,A,,85,, 23   A     85,2693-30-1741,,,2003-11-20T00:00:00.000Z,101,2844.875124,234955.220055
38152,20,J,10,,32,, 20J 10     32,2653-90-2900,,,,101,950.723673,36845.603259
38153,23,,A,,85,A, 23   A     85A,2693-20-8987,,,2003-11-20T00:00:00.000Z,101,870.707985,47564.673853
38154,20,J,13,,20,, 20J 13     20,2663-11-3035,,,,101,639.883211,22702.953829
38155,20,J,13,,32,, 20J 13     32,2663-01-9023,,,,101,787.197198,28130.884906
38156,20,J,2,,18,, 20J  2     18,2653-81-2026,,8,,101,651.196427,23581.557124
38157,23,,A,,85,G, 23   A     85G,2692-39-7704,,,2004-03-12T00:00:00.000Z,101,1341.687426,83199.96729
38158,20,J,14,,5,, 20J 14      5,2652-89-9761,,,,101,1418.68403,61060.644468
38159,20,J,11,,49,, 20J 11     49,2652-99-9883,,,,101,848.305948,44652.731805
38160,20,J,11,,28,, 20J 11     28,2662-09-1982,,,,101,658.595765,25390.875315
38161,20,J,11,,53,, 20J 11     53,2653-90-5280,,,,101,685.318717,25497.767086
38162,20,J,11,,4,, 20J 11      4,2653-90-9503,,,,101,809.354223,28356.719653
38163,20,J,7,,15,, 20J  7     15,2653-80-5622,,,,101,633.771646,22222.694773
38164,20,J,11,,39,, 20J 11     39,2663-00-4653,,,,101,630.425878,21640.534871
38165,20,J,7,,18,, 20J  7     18,2653-80-1660,,,,101,656.861547,22978.985353
38166,20,J,7,,20,, 20J  7     20,2653-70-9772,,,,101,721.362673,29400.853086
38167,20,J,11,,22,, 20J 11     22,2663-00-8783,,,,101,699.681724,27830.345553
