OBJECTID,BLOCKID10,HOUSING10,POP10,LandSqMi,PopSqMi
4721,518100408012010,35,91,0.01405,6476.868327
5206,518100462131007,56,154,0.01321,11657.834973
4722,518100418024026,43,84,0.00857,9801.633606
5207,518100430033022,26,38,0.00309,12297.734628
4723,518100418024030,27,51,0.00483,10559.006211
5211,518100448063019,0,0,0.00283,0
4724,518100418024032,43,68,0.00785,8662.420382
5213,518100460021010,38,90,0.02013,4470.938897
4725,518100418024063,12,27,0.00825,3272.727273
4726,518100418023005,29,86,0.01431,6009.783368
5214,518100454252009,57,160,0.03061,5227.049984
4727,518100414001039,16,33,0.01709,1930.953774
5215,518100454211002,29,98,0.01154,8492.20104
4728,518100414001043,12,32,0.01487,2151.98386
5216,518100454062008,51,140,0.03447,4061.502756
4729,518100454063002,232,578,0.08876,6511.942316
5217,518100454251006,18,58,0.01023,5669.599218
5218,518100454262007,56,148,0.01682,8799.048751
4730,518100460161008,15,58,0.00654,8868.501529
5219,518100454262000,277,809,0.13792,5865.719258
4731,518100454062004,36,83,0.01398,5937.052933
4732,518100454065018,73,163,0.0069,23623.188406
5220,518100454262002,0,0,0.00161,0
4733,518100454232029,27,62,0.54728,113.287531
5221,518100454252007,42,143,0.01773,8065.425832
5222,518100432001071,0,0,0.0155,0
4734,518100454232032,30,70,0.72705,96.279486
5223,518100454081017,144,348,0.0342,10175.438597
5224,518100422011011,60,161,0.05994,2686.019353
4736,518100422022023,16,41,0.00632,6487.341772
5225,518100416002003,0,0,0.00083,0
4737,518100428023011,10,25,0.00553,4520.79566
5226,518100444024013,0,0,0.0008,0
4739,518100462232006,1,3,0.00062,4838.709677
5227,518100402002015,0,0,0.0028,0
4740,518100454081018,0,0,0.00895,0
5228,518100444023006,0,0,0.00348,0
4741,518100448063015,33,76,0.01521,4996.712689
5229,518100402003016,0,0,0.00041,0
5230,518100446003028,0,0,0.00068,0
4742,518100454233028,16,42,0.00711,5907.172996
5231,518100456011028,0,0,0.00012,0
4743,518100440032020,95,152,0.07747,1962.049826
5232,518100440014001,9,13,0.00162,8024.691358
5233,518100446004021,1,4,0.0006,6666.666667
4744,518100404041020,1,2,0.00012,16666.666667
5234,518100448071003,0,0,0.00413,0
4745,518100404043004,76,241,0.03541,6805.987009
5235,518100446004039,1,4,0.00046,8695.652174
4746,518100456041016,98,257,0.0161,15962.732919
5236,518100446003025,0,0,0.00036,0
4747,518100418021015,6,13,0.0023,5652.173913
5237,518100406001018,0,0,0.00014,0
4748,518100418021027,8,15,0.00334,4491.017964
5238,518100448072038,0,0,0.0004,0
5239,518100454171005,0,0,0.00015,0
4749,518100428022012,32,57,0.00256,22265.625
5240,518100462251009,0,0,0.00103,0
4750,518100462114010,0,0,0.00077,0
5241,518100454064034,0,0,0.0068,0
4751,518100454053005,92,188,0.04581,4103.907444
5242,518100454232001,0,0,0.0026,0
5243,518100454232006,0,0,0.00028,0
5244,518100454232007,0,0,0.00078,0
4752,518100458101002,0,0,0.00391,0
5245,518100464001070,0,0,0.00362,0
4753,518100462203006,0,0,0.00119,0
4754,518100454053006,0,0,0.0004,0
5246,518100464002020,0,0,0.00251,0
4755,518100462071017,0,0,0.00132,0
5247,518100464003030,1,0,0.08826,0
4756,518100460123003,0,0,0.00234,0
4757,518100462071010,0,0,0.00133,0
5248,518100464002015,40,93,0.41091,226.326933
4758,518100460131011,7,32,0.00485,6597.938144
4759,518100462133008,0,0,0.00216,0
5249,518100462222009,0,0,0,0
4760,518100460141021,0,0,0.00015,0
4761,518100460131009,39,126,0.01685,7477.744807
5250,518100462171007,19,57,0.00604,9437.086093
5251,518100462224016,14,47,0.00661,7110.438729
4762,518100462133024,2,4,0.00016,25000
5252,518100462134006,11,37,0.00272,13602.941177
4763,518100460141024,0,0,0.00195,0
5253,518100462132005,75,229,0.01793,12771.890686
4764,518100462251003,278,695,0.18033,3854.045361
5254,518100462144006,32,91,0.01452,6267.217631
5255,518100462132004,0,0,0.00027,0
4765,518100418021006,37,68,0.00625,10880
5256,518100458081011,23,59,0.00435,13563.218391
4766,518100408012017,0,0,0.0015,0
5257,518100462172016,177,468,0.07458,6275.140788
4767,518100414003005,46,135,0.0507,2662.721893
4768,518100416003004,120,232,0.10146,2286.615415
5258,518100410033005,42,99,0.18349,539.538939
4769,518100416002005,25,68,0.01836,3703.703704
5259,518100410033016,32,91,0.01367,6656.912948
4770,518100416004014,18,49,0.03438,1425.247237
5260,518100416001031,10,29,0.00491,5906.313646
5261,518100416001026,1,1,0.00241,414.937759
4771,518100416001011,42,105,0.02126,4938.852305
5262,518100456011018,40,109,0.04847,2248.813699
4772,518100418021028,10,21,0.0031,6774.193548
4773,518100418022018,33,62,0.00517,11992.263056
5264,518100402001046,0,0,0.00215,0
4774,518100418022013,45,84,0.00787,10673.443456
5266,518100462041002,57,153,0.0507,3017.751479
4775,518100430033019,1,1,0.00795,125.786164
4776,518100430032003,46,61,0.00696,8764.367816
5267,518100400002036,4,13,0.01029,1263.362488
4777,518100430033001,76,159,0.05978,2659.752426
5268,518100412003001,6,16,0.00279,5734.767025
5269,518100418024015,0,0,0,0
5270,518100416004023,17,43,0.0215,2000
4778,518100430042008,6,8,0.00292,2739.726027
4779,518100422013008,22,48,0.02462,1949.634444
5271,518100446004040,0,0,0.00187,0
5272,518100406001013,3,7,0.00024,29166.666667
4781,518100448081001,3,10,0.00044,22727.272727
5273,518100448072026,0,0,0.00106,0
4782,518100402002022,1,4,0.0002,20000
5274,518100440011007,0,0,0.00054,0
4783,518100428023001,44,113,0.01881,6007.44285
5275,518100448072047,0,0,0.00018,0
4784,518100448072020,0,0,0.00014,0
5276,518100422012008,87,249,0.10366,2402.083735
4785,518100448074019,29,84,0.01109,7574.391344
4786,518100448052022,39,91,0.00391,23273.657289
4787,518100448071033,0,0,0.00106,0
5277,518100406002012,0,0,0.00019,0
4788,518100448062024,0,0,0.00103,0
5278,518100448071010,0,0,0.01328,0
4789,518100450001011,0,0,0.00351,0
4790,518100438003002,3,4,0.00653,612.557427
5279,518100448082003,0,0,0.00503,0
4791,518100444023005,1,2,0.00027,7407.407407
5280,518100440041039,5,4,0.0023,1739.130435
4792,518100462162006,55,188,0.02733,6878.887669
5281,518100440014009,156,289,0.01204,24003.322259
5282,518100448073004,0,0,0.01108,0
4793,518100444022021,6,20,0.00343,5830.90379
4794,518100444022019,5,12,0.00938,1279.317697
5284,518100448073022,0,0,0.00096,0
4795,518100454051010,8,20,0.00584,3424.657534
